Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Brandon Lowe","TBR","2B",133,120,1093,187,270,11,6,5,68,22,52,6,,,,,,0.97649573,,"Brandon Lowe",18882,664040
"Will Smith","LAD","C",117,111,1004.2,1101,43,6,1,4,0,1,0,0,,72,24,9,35,0.99478261,,"Will Smith",19197,669257
"Yuli Gurriel","HOU","1B",142,139,1222,1057,86,6,3,2,90,12,1,90,2,,,,,0.99477807,,"Yuli Gurriel",19198,493329
"Lourdes Gurriel Jr.","TOR","LF",119,115,943.2,169,12,4,1,3,0,2,0,0,,,,,,0.97837838,,"Lourdes Gurriel Jr.",19238,666971
"Pete Alonso","NYM","1B",148,148,1243.2,978,98,8,5,3,95,4,0,97,5,,,,,0.99261993,,"Pete Alonso",19251,624413
"Nick Solak","TEX","2B",121,120,1050.2,169,270,5,4,1,57,19,40,5,,,,,,0.98873874,,"Nick Solak",19294,669256
"Bryan Reynolds","PIT","CF",137,131,1133.2,324,3,2,0,2,0,1,0,0,,,,,,0.99392097,,"Bryan Reynolds",19326,668804
"Nicky Lopez","KCR","SS",148,141,1233.2,156,371,7,4,3,72,40,33,4,,,,,,0.98689139,,"Nicky Lopez",19339,670032
"Sean Murphy","OAK","C",112,104,923.1,873,42,6,3,3,0,4,0,2,,41,13,1,34,0.99348534,,"Sean Murphy",19352,669221
"Tommy Edman","STL","2B",130,115,1032.1,195,308,5,2,3,56,24,33,8,,,,,,0.99015748,,"Tommy Edman",19470,669242
"Nathaniel Lowe","TEX","1B",148,144,1269.1,1164,54,11,8,3,110,14,0,113,1,,,,,0.99104963,,"Nathaniel Lowe",19566,663993
"Vladimir Guerrero Jr.","TOR","1B",133,133,1143.2,1026,46,8,7,0,89,5,0,86,8,,,,,0.99259259,,"Vladimir Guerrero Jr.",19611,665489
"Bo Bichette","TOR","SS",148,148,1271.1,169,364,24,11,13,67,39,28,6,,,,,,0.95691203,,"Bo Bichette",19612,666182
"Bobby Dalbec","BOS","1B",123,111,969.1,828,51,11,9,1,73,6,2,77,2,,,,,0.98764045,,"Bobby Dalbec",19966,666915
"Juan Soto","WSN","RF",144,144,1226,295,5,6,5,1,0,1,0,0,,,,,,0.98039216,,"Juan Soto",20123,665742
"Jonathan India","CIN","2B",148,144,1248.1,269,336,15,5,9,72,26,47,5,,,,,,0.97580645,,"Jonathan India",21523,663697
