Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Trea Turner","- - -",148,595,646,195,130,34,3,28,107,77,41,2,110,6,4,0,18,32,5,0.327731092,"Trea Turner",16252,607208
"Yuli Gurriel","HOU",143,530,605,169,123,31,0,15,83,81,59,2,68,4,12,0,16,1,1,0.318867924,"Yuli Gurriel",19198,493329
"Juan Soto","WSN",151,502,654,157,106,20,2,29,111,95,145,23,93,2,5,0,23,9,7,0.312749003,"Juan Soto",20123,665742
"Michael Brantley","HOU",121,469,508,146,106,29,3,8,68,47,33,1,53,5,1,0,11,1,0,0.311300639,"Michael Brantley",4106,488726
"Vladimir Guerrero Jr.","TOR",161,604,698,188,110,29,1,48,123,111,86,7,110,6,2,0,20,4,1,0.311258278,"Vladimir Guerrero Jr.",19611,665489
"Starling Marte","- - -",120,467,526,145,103,27,3,12,89,55,43,2,99,13,2,1,6,47,5,0.310492505,"Starling Marte",9241,516782
"Bryce Harper","PHI",141,488,599,151,73,42,1,35,101,84,100,14,134,5,4,2,12,13,3,0.309426229,"Bryce Harper",11579,547180
"Tim Anderson","CHW",123,527,551,163,115,29,2,17,94,61,22,1,119,1,1,0,5,18,7,0.309297912,"Tim Anderson",15172,641313
"Nick Castellanos","CIN",138,531,585,164,91,38,1,34,95,100,41,5,121,7,6,0,16,3,1,0.308851224,"Nick Castellanos",11737,592206
"Adam Frazier","- - -",155,577,639,176,130,36,5,5,83,43,48,2,69,10,1,3,10,10,5,0.305025996,"Adam Frazier",15223,624428
"Austin Riley","ATL",160,590,662,179,112,33,1,33,91,107,52,2,168,12,8,0,11,0,1,0.30338983,"Austin Riley",18360,663586
"Bryan Reynolds","PIT",159,559,646,169,102,35,8,24,93,90,75,9,119,8,4,0,10,5,2,0.302325581,"Bryan Reynolds",19326,668804
"Freddie Freeman","ATL",159,600,695,180,122,25,2,31,120,83,85,15,107,8,2,0,11,8,3,0.3,"Freddie Freeman",5361,518692
"Nicky Lopez","KCR",151,497,565,149,120,21,6,2,78,43,49,0,74,4,3,12,9,22,1,0.299798792,"Nicky Lopez",19339,670032
"Bo Bichette","TOR",159,640,690,191,131,30,1,29,121,102,40,0,137,6,4,0,10,25,1,0.2984375,"Bo Bichette",19612,666182
"Brandon Crawford","SFG",138,483,549,144,87,30,3,24,79,90,56,6,105,5,5,0,8,11,3,0.298136645,"Brandon Crawford",5343,543063
"Teoscar Hernández","TOR",143,550,595,163,102,29,0,32,92,116,36,1,148,7,2,0,5,12,4,0.296363636,"Teoscar Hernandez",13066,606192
"Xander Bogaerts","BOS",144,529,603,156,98,34,1,23,90,79,62,2,113,5,7,0,13,5,1,0.29489603,"Xander Bogaerts",12161,593428
"Kyle Tucker","HOU",140,506,567,149,79,37,3,30,83,92,53,5,90,1,5,0,10,14,2,0.294466403,"Kyle Tucker",18345,663656
"Paul Goldschmidt","STL",158,603,679,177,108,36,2,31,102,99,67,2,136,4,5,0,13,12,0,0.293532338,"Paul Goldschmidt",9218,502671
"Ty France","SEA",152,571,650,166,115,32,1,18,85,73,46,1,106,27,6,0,13,0,0,0.290718038,"Ty France",17982,664034
"Cedric Mullins","BAL",159,602,675,175,103,37,5,30,91,59,59,3,125,8,4,1,2,30,8,0.290697674,"Cedric Mullins",17929,656775
"Jean Segura","PHI",131,514,567,149,105,27,3,14,76,58,39,3,78,9,4,1,16,9,3,0.289883268,"Jean Segura",5933,516416
"Alex Verdugo","BOS",146,544,604,157,110,32,2,13,88,63,51,6,96,4,5,0,11,6,2,0.288602941,"Alex Verdugo",17027,657077
"Aaron Judge","NYY",148,550,633,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,0.287272727,"Aaron Judge",15640,592450
"Tyler O'Neill","STL",138,482,537,138,76,26,2,34,89,80,38,0,168,13,4,0,8,15,4,0.286307053,"Tyler O'Neill",15711,641933
"J.D. Martinez","BOS",148,570,634,163,90,42,3,28,92,99,55,6,150,3,5,0,18,0,0,0.285964912,"J.D. Martinez",6184,502110
"Fernando Tatis Jr.","SDP",130,478,546,135,62,31,0,42,99,97,62,6,153,2,4,0,5,25,4,0.282426778,"Fernando Tatis Jr.",19709,665487
