"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Puk, A.J.","640462","2023","242","149",0.241,0.209,0.032,0.42,0.369,0.05099999999999999,0.3,0.271,0.02899999999999997,"3.97","3.04","0.931"
"Martínez, Adrián","661309","2023","241","170",0.278,0.279,-0.0010000000000000009,0.448,0.452,-0.0040000000000000036,0.341,0.351,-0.009999999999999953,"4.75","5.34","-0.595"
"Adon, Joan","672851","2023","240","165",0.284,0.278,0.00599999999999995,0.483,0.48,0.0030000000000000027,0.361,0.357,0.0040000000000000036,"6.45","5.55","0.895"
"Law, Derek","571882","2023","240","166",0.239,0.265,-0.026000000000000023,0.364,0.394,-0.030000000000000027,0.311,0.334,-0.02300000000000002,"3.60","4.77","-1.17"
"Holderman, Colin","670059","2023","240","160",0.256,0.234,0.021999999999999992,0.363,0.364,-0.0010000000000000009,0.299,0.294,0.0050000000000000044,"3.86","3.61","0.247"
"Thompson, Mason","666168","2023","240","170",0.294,0.258,0.035999999999999976,0.417,0.398,0.01899999999999996,0.345,0.329,0.01599999999999996,"5.50","4.61","0.89"
"Nelson, Kyle","669459","2023","239","157",0.267,0.233,0.034,0.484,0.414,0.07,0.339,0.298,0.041000000000000036,"4.18","3.71","0.469"
"Hamilton, Ian","641656","2023","239","141",0.215,0.22,-0.0050000000000000044,0.297,0.321,-0.02400000000000002,0.275,0.289,-0.013999999999999957,"2.64","3.48","-0.842"
"Cabrera, Génesis","650893","2023","239","155",0.232,0.232,0,0.408,0.42,-0.01200000000000001,0.311,0.315,-0.0040000000000000036,"4.04","4.18","-0.138"
"Moreta, Dauri","664294","2023","239","136",0.187,0.188,-0.0010000000000000009,0.33,0.333,-0.0030000000000000027,0.267,0.27,-0.0030000000000000027,"3.72","3.02","0.704"
"Brasier, Ryan","518489","2023","239","160",0.197,0.231,-0.034,0.282,0.346,-0.064,0.248,0.292,-0.043999999999999984,"3.02","3.55","-0.533"
"Sandlin, Nick","680704","2023","239","147",0.182,0.215,-0.033,0.388,0.406,-0.018000000000000016,0.284,0.306,-0.02200000000000002,"3.75","3.93","-0.18"
