Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"DJ LeMahieu","NYY",50,195,216,71,49,10,2,10,41,27,18,0,21,2,1,0,3,3,0,0.364102564,"DJ LeMahieu",9874,518934
"Juan Soto","WSN",47,154,196,54,27,14,0,13,39,37,41,12,28,1,0,0,1,6,2,0.35064935,"Juan Soto",20123,665742
"Freddie Freeman","ATL",60,214,262,73,36,23,1,13,51,53,45,7,37,3,0,0,6,2,0,0.341121495,"Freddie Freeman",5361,518692
"Marcell Ozuna","ATL",60,228,267,77,45,14,0,18,38,56,38,3,60,0,1,0,3,0,0,0.337719298,"Marcell Ozuna",10324,542303
"Trea Turner","WSN",59,233,259,78,47,15,4,12,46,41,22,0,36,2,2,0,5,12,4,0.334763948,"Trea Turner",16252,607208
"Donovan Solano","SFG",54,190,203,62,43,15,1,3,22,29,10,0,39,2,1,0,2,0,0,0.326315789,"Donovan Solano",8623,456781
"Tim Anderson","CHW",49,208,221,67,45,11,1,10,45,21,10,0,50,2,1,0,4,5,2,0.322115384,"Tim Anderson",15172,641313
"Michael Conforto","NYM",54,202,233,65,44,12,0,9,40,31,24,0,57,7,0,0,6,3,3,0.321782178,"Michael Conforto",16376,624424
"Raimel Tapia","COL",51,184,206,59,48,8,2,1,26,17,14,0,38,2,3,1,3,8,2,0.320652173,"Raimel Tapia",14350,606132
"David Fletcher","LAA",49,207,230,66,50,13,0,3,31,18,20,0,25,0,2,1,4,2,1,0.318840579,"David Fletcher",17992,664058
"José Abreu","CHW",60,240,262,76,42,15,0,19,43,60,18,1,59,3,1,0,10,0,0,0.316666666,"Jose Abreu",15676,547989
"Dominic Smith","NYM",50,177,199,56,24,21,1,10,27,42,14,0,45,5,3,0,2,0,0,0.31638418,"Dominic Smith",15653,642086
"Jeff McNeil","NYM",52,183,209,57,39,14,0,4,19,23,20,2,24,3,3,0,3,0,2,0.311475409,"Jeff McNeil",15362,643446
"Alex Verdugo","BOS",53,201,221,62,40,16,0,6,36,15,17,1,45,2,1,0,4,4,0,0.308457711,"Alex Verdugo",17027,657077
"Lourdes Gurriel Jr.","TOR",57,208,224,64,39,14,0,11,28,33,14,0,48,0,2,0,7,3,1,0.307692307,"Lourdes Gurriel Jr.",19238,666971
"Corey Seager","LAD",52,212,232,65,37,12,1,15,38,41,17,0,37,1,2,0,8,1,0,0.306603773,"Corey Seager",13624,608369
"Paul Goldschmidt","STL",58,191,231,58,39,13,0,6,31,21,37,0,43,1,1,0,4,1,0,0.303664921,"Paul Goldschmidt",9218,502671
"Manny Machado","SDP",60,224,254,68,39,12,1,16,44,47,26,4,37,0,4,0,9,6,3,0.303571428,"Manny Machado",11493,592518
"Charlie Blackmon","COL",59,221,247,67,48,12,1,6,31,42,19,4,44,2,5,0,4,2,1,0.30316742,"Charlie Blackmon",7859,453568
"Nelson Cruz","MIN",53,185,214,56,34,6,0,16,33,33,25,5,58,4,0,0,8,0,0,0.302702702,"Nelson Cruz",2434,443558
"David Peralta","ARI",54,203,218,61,45,10,1,5,19,34,13,0,45,0,2,0,4,1,0,0.30049261,"David Peralta",2136,444482
"Xander Bogaerts","BOS",56,203,225,61,42,8,0,11,36,28,21,2,41,0,1,0,3,8,0,0.30049261,"Xander Bogaerts",12161,593428
"Michael Brantley","HOU",46,170,187,51,31,15,0,5,24,22,17,0,28,0,0,0,3,2,0,0.3,"Michael Brantley",4106,488726
"Jeimer Candelario","DET",52,185,206,55,34,11,3,7,30,29,20,0,49,1,0,0,3,1,1,0.297297297,"Jeimer Candelario",13621,600869
"Mike Yastrzemski","SFG",54,192,225,57,29,14,4,10,39,35,30,2,55,3,0,0,2,2,1,0.296875,"Mike Yastrzemski",14854,573262
"Eloy Jiménez","CHW",55,213,226,63,35,14,0,14,26,41,12,0,56,0,1,0,4,0,0,0.295774647,"Eloy Jimenez",17484,650391
"José Ramírez","CLE",58,219,254,64,30,16,1,17,45,46,31,0,43,3,1,0,2,10,3,0.292237442,"Jose Ramirez",13510,608070
"Mookie Betts","LAD",55,219,246,64,38,9,1,16,47,39,24,1,38,2,1,0,2,10,2,0.292237442,"Mookie Betts",13611,605141
"Teoscar Hernández","TOR",50,190,207,55,32,7,0,16,33,34,14,0,63,1,1,0,4,6,1,0.289473684,"Teoscar Hernandez",13066,606192
"Trevor Story","COL",59,235,259,68,40,13,4,11,41,28,24,1,63,0,0,0,5,15,3,0.289361702,"Trevor Story",12564,596115
"Kevin Pillar","- - -",54,208,223,60,39,12,3,6,34,26,13,1,41,2,0,0,4,5,2,0.288461538,"Kevin Pillar",12434,607680
"Wil Myers","SDP",55,198,218,57,26,14,2,15,34,40,18,0,56,2,0,0,0,2,1,0.287878787,"Wil Myers",10047,571976
"Ketel Marte","ARI",45,181,195,52,35,14,1,2,19,17,7,0,21,4,3,0,2,1,0,0.287292817,"Ketel Marte",13613,606466
"Anthony Rendon","LAA",52,189,232,54,33,11,1,9,29,31,38,2,31,5,0,0,10,0,0,0.285714285,"Anthony Rendon",12861,543685
"Jake Cronenworth","SDP",54,172,192,49,27,15,3,4,26,20,18,0,30,1,1,0,4,3,1,0.28488372,"Jake Cronenworth",18036,630105
