"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
109139,671277,"Luis García Jr.",20,2020,"WAS",39,139,134,37,29,6,0,2,49,18,16,5,29,0,1,1,0,0,4,27.8
107182,665742,"Juan Soto",21,2020,"WAS",47,196,154,54,27,14,0,13,107,39,37,41,28,1,6,2,0,0,1,38.5
107184,665489,"Vladimir Guerrero Jr.",21,2020,"TOR",60,243,221,58,34,13,2,9,102,34,33,20,38,2,1,0,0,0,6,41.2
107293,665750,"Leody Taveras",21,2020,"TEX",32,134,119,27,16,6,1,4,47,20,6,14,43,0,8,0,1,0,0,25
108651,665487,"Fernando Tatis Jr.",21,2020,"SD",59,257,224,62,32,11,2,17,128,50,45,27,61,5,11,3,0,1,6,60
105454,660670,"Ronald Acuña Jr.",22,2020,"ATL",46,202,160,40,15,11,0,14,93,46,29,38,60,4,8,1,0,0,3,50
110664,673357,"Luis Robert Jr.",22,2020,"CHW",56,227,202,47,28,8,0,11,88,33,31,20,73,1,9,2,0,2,4,45.5
104023,645302,"Victor Robles",23,2020,"WAS",52,189,168,37,28,5,1,3,53,20,15,9,53,9,4,1,1,2,1,20
104042,646240,"Rafael Devers",23,2020,"BOS",57,248,232,61,33,16,1,11,112,32,43,13,67,3,0,0,0,0,8,40.6
104176,650391,"Eloy Jiménez",23,2020,"CHW",54,226,213,63,35,14,0,14,119,26,41,12,56,0,0,0,0,1,5,61.5
104180,650402,"Gleyber Torres",23,2020,"NYY",42,160,136,33,22,8,0,3,50,17,16,22,28,2,1,0,0,0,5,35.3
104205,650489,"Willi Castro",23,2020,"DET",36,140,129,45,33,4,2,6,71,21,24,7,38,1,0,1,1,2,1,47.6
105735,663757,"Trent Grisham",23,2020,"SD",59,252,215,54,33,8,3,10,98,42,26,31,64,3,10,1,1,1,3,47.6
106527,663624,"Ryan Mountcastle",23,2020,"BAL",35,140,126,42,32,5,0,5,62,12,23,11,30,1,0,1,0,2,2,50
106744,663586,"Austin Riley",23,2020,"ATL",51,206,188,45,29,7,1,8,78,24,27,16,49,1,0,0,0,1,7,58.3
107047,663656,"Kyle Tucker",23,2020,"HOU",58,228,209,56,29,12,6,9,107,33,42,18,46,0,8,1,0,1,3,36.4
110030,669374,"Keston Hiura",23,2020,"MIL",59,246,217,46,29,4,0,13,89,30,32,16,85,11,3,2,0,2,7,56.7
113905,664761,"Alec Bohm",23,2020,"PHI",44,180,160,54,39,11,0,4,77,24,23,16,36,2,1,1,0,2,5,33.3
100344,609275,"Adalberto Mondesi",24,2020,"KC",59,233,219,56,36,11,3,6,91,33,22,11,70,1,24,8,2,0,5,33.3
100406,614177,"Franmil Reyes",24,2020,"CLE",59,241,211,58,39,10,0,9,95,27,34,24,69,1,0,0,0,5,6,51.9
102519,641355,"Cody Bellinger",24,2020,"LAD",56,243,213,51,29,10,0,12,97,33,30,30,42,0,6,1,0,0,5,51.5
103203,642708,"Amed Rosario",24,2020,"NYM",44,148,144,36,28,3,1,4,53,20,15,4,35,0,0,1,0,0,5,30
103209,642715,"Willy Adames",24,2020,"TB",54,205,185,48,24,15,1,8,89,29,23,20,74,0,2,1,0,0,5,34.5
104745,656308,"Michael Chavis",24,2020,"BOS",42,158,146,31,19,5,2,5,55,16,19,8,50,2,3,0,0,2,6,43.8
104938,657077,"Alex Verdugo",24,2020,"BOS",52,221,201,62,40,16,0,6,96,36,15,17,45,2,4,0,0,1,5,30.6
107930,669720,"Austin Hays",24,2020,"BAL",33,134,122,34,28,2,0,4,48,20,9,8,25,2,2,3,0,2,1,30
108097,641786,"Kyle Lewis",24,2020,"SEA",58,242,206,54,40,3,0,11,90,37,28,34,71,0,5,1,0,2,5,40.5
111057,657108,"Evan White",24,2020,"SEA",54,202,182,32,17,7,0,8,63,19,26,18,84,1,1,2,0,1,3,47.4
69600,606115,"Orlando Arcia",25,2020,"MIL",58,189,173,45,29,10,1,5,72,22,20,14,32,1,2,0,0,1,10,50
100279,608577,"Nomar Mazara",25,2020,"CHW",42,149,136,31,24,6,0,1,40,13,15,10,44,3,0,1,0,0,0,30.8
100502,621043,"Carlos Correa",25,2020,"HOU",58,220,200,53,39,9,0,5,77,22,25,16,48,3,0,0,0,1,4,36.4
100988,622534,"Manuel Margot",25,2020,"TB",45,159,145,39,29,9,0,1,51,19,11,13,25,0,12,4,0,1,1,21.1
101093,622682,"Victor Reyes",25,2020,"DET",56,213,202,56,43,7,2,4,79,30,14,9,45,2,8,2,0,0,5,20
101568,623993,"Anthony Santander",25,2020,"BAL",37,165,153,40,15,13,1,11,88,24,32,10,25,2,0,1,0,0,5,54.2
101603,624413,"Pete Alonso",25,2020,"NYM",57,239,208,48,26,6,0,16,102,31,35,24,61,6,1,0,0,1,4,71
101605,624415,"Cavan Biggio",25,2020,"TOR",59,265,220,55,31,16,0,8,95,41,28,41,61,3,6,0,0,0,4,41.5
102429,640449,"Clint Frazier",25,2020,"NYY",39,160,131,35,20,6,1,8,67,24,26,25,44,3,3,0,0,1,6,41.7
102432,640457,"Austin Meadows",25,2020,"TB",36,152,132,27,14,8,1,4,49,19,13,17,50,1,2,1,0,2,0,47.4
102559,641487,"J.P. Crawford",25,2020,"SEA",53,232,204,52,41,7,2,2,69,33,24,23,39,3,6,3,0,2,4,27.3
102668,641857,"Ryan McMahon",25,2020,"COL",52,193,172,37,21,6,1,9,72,23,26,18,66,2,0,1,0,1,4,43.5
102704,641933,"Tyler O'Neill",25,2020,"STL",48,157,139,24,12,5,0,7,50,20,19,15,43,2,3,1,0,1,3,45
