Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jeff McNeil","NYM",148,533,589,174,125,39,1,9,73,62,40,1,61,11,5,0,6,4,0,0.326454033,"Jeff McNeil",15362,643446
"Freddie Freeman","LAD",159,612,708,199,129,47,2,21,117,100,84,12,102,5,7,0,6,13,3,0.325163398,"Freddie Freeman",5361,518692
"Paul Goldschmidt","STL",151,561,651,178,102,41,0,35,106,115,79,1,141,5,4,0,7,7,0,0.317290552,"Paul Goldschmidt",9218,502671
"Luis Arraez","MIN",144,547,603,173,133,31,1,8,88,49,50,2,43,3,3,0,6,4,4,0.316270566,"Luis Arraez",18568,650333
"Aaron Judge","NYY",157,570,696,177,87,28,0,62,133,131,111,19,175,6,5,0,14,16,3,0.310526315,"Aaron Judge",15640,592450
"Xander Bogaerts","BOS",150,557,631,171,118,38,0,15,84,73,57,2,118,10,7,0,14,8,2,0.307001795,"Xander Bogaerts",12161,593428
"Yordan Alvarez","HOU",135,470,561,144,76,29,2,37,95,97,78,9,106,6,7,0,12,1,1,0.306382978,"Yordan Alvarez",19556,670541
"José Abreu","CHW",157,601,679,183,128,40,0,15,85,75,62,2,110,12,4,0,19,0,0,0.304492512,"Jose Abreu",15676,547989
"Andrew Benintendi","- - -",126,461,521,140,109,23,3,5,54,51,52,0,77,2,5,1,7,8,3,0.303687635,"Andrew Benintendi",17901,643217
"Nathaniel Lowe","TEX",157,593,645,179,123,26,3,27,74,76,48,2,147,4,0,0,10,2,2,0.301854974,"Nathaniel Lowe",19566,663993
"Jose Altuve","HOU",141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,0.299810246,"Jose Altuve",5417,514888
"Steven Kwan","CLE",147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,0.29840142,"Steven Kwan",24610,680757
"Manny Machado","SDP",150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,0.297577854,"Manny Machado",11493,592518
"Trea Turner","LAD",160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,0.297546012,"Trea Turner",16252,607208
"Andrés Giménez","CLE",146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,0.297352342,"Andres Gimenez",19950,665926
"Yandy Díaz","TBR",137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,0.295983086,"Yandy Diaz",16578,650490
"Rafael Devers","BOS",141,555,614,164,94,42,1,27,84,88,50,11,114,6,3,0,14,3,1,0.295495495,"Rafael Devers",17350,646240
"Nolan Arenado","STL",148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,0.292639138,"Nolan Arenado",9777,571448
"Starling Marte","NYM",118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,0.291845493,"Starling Marte",9241,516782
"Carlos Correa","MIN",136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,0.291187739,"Carlos Correa",14162,621043
"Bo Bichette","TOR",159,652,697,189,121,43,1,24,91,93,41,0,155,2,2,0,21,13,8,0.2898773,"Bo Bichette",19612,666182
"Gio Urshela","MIN",144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,0.285429141,"Gio Urshela",10681,570482
"Alejandro Kirk","TOR",139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,0.285106382,"Alejandro Kirk",22581,672386
"Julio Rodríguez","SEA",132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,0.283757338,"Julio Rodriguez",23697,677594
"Amed Rosario","CLE",153,637,670,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,0.282574568,"Amed Rosario",15518,642708
"Taylor Ward","LAA",135,495,564,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,0.28080808,"Taylor Ward",17548,621493
"Nico Hoerner","CHC",135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,0.28066528,"Nico Hoerner",21479,663538
"Alex Verdugo","BOS",152,593,644,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,0.279932546,"Alex Verdugo",17027,657077
"Alec Bohm","PHI",152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,0.279863481,"Alec Bohm",21618,664761
"José Ramírez","CLE",157,601,685,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,0.279534109,"Jose Ramirez",13510,608070
"Justin Turner","LAD",128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,0.277777777,"Justin Turner",5235,457759
"Dansby Swanson","ATL",162,640,696,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,0.2765625,"Dansby Swanson",18314,621020
"J.T. Realmuto","PHI",139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,0.27579365,"J.T. Realmuto",11739,592663
"Vladimir Guerrero Jr.","TOR",160,638,706,175,108,35,0,32,90,97,58,6,116,6,4,0,26,8,3,0.27429467,"Vladimir Guerrero Jr.",19611,665489
"Brandon Nimmo","NYM",151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,0.274137931,"Brandon Nimmo",12927,607043
"Ty France","SEA",140,551,613,151,103,27,1,20,65,83,35,3,94,21,5,0,18,0,0,0.274047186,"Ty France",17982,664034
"J.D. Martinez","BOS",139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,0.2739212,"J.D. Martinez",6184,502110
"Austin Riley","ATL",159,615,693,168,89,39,2,38,90,93,57,1,168,17,4,0,13,2,0,0.273170731,"Austin Riley",18360,663586
"Shohei Ohtani","LAA",157,586,666,160,90,30,6,34,90,95,72,14,161,5,3,0,6,11,9,0.273037542,"Shohei Ohtani",19755,660271
"Pete Alonso","NYM",160,597,685,162,95,27,0,40,95,131,67,16,128,12,9,0,17,5,1,0.271356783,"Pete Alonso",19251,624413
"Andrew Vaughn","CHW",134,510,555,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,0.270588235,"Andrew Vaughn",26197,683734
"Ian Happ","CHC",158,573,641,155,94,42,2,17,72,72,58,4,149,6,4,0,11,9,4,0.270506108,"Ian Happ",17919,664023
"Francisco Lindor","NYM",161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,0.269841269,"Francisco Lindor",12916,596019
