Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Carlos Santana","MIN","1B",146,139,1250,998,92,4,4,0,62,6,0,64,15,,,,,0.99634369,,"Carlos Santana",2396,467793
"Freddie Freeman","LAD","1B",147,147,1270.1,1022,115,4,2,1,88,6,0,93,21,,,,,0.9964943,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",147,146,1262,158,312,5,4,1,82,34,49,4,,,,,,0.98947368,,"Jose Altuve",5417,514888
"Paul Goldschmidt","STL","1B",150,148,1313,1216,102,5,3,1,130,11,0,131,16,,,,,0.99622071,,"Paul Goldschmidt",9218,502671
"Nolan Arenado","STL","3B",146,145,1268.1,103,280,9,5,3,21,23,0,4,,,,,,0.97704082,,"Nolan Arenado",9777,571448
"Gio Urshela","- - -","3B",110,102,902.1,59,184,7,5,2,20,20,0,2,,,,,,0.972,,"Gio Urshela",10681,570482
"Jurickson Profar","SDP","LF",148,148,1203.2,230,4,1,1,0,0,1,0,0,,,,,,0.99574468,,"Jurickson Profar",10815,595777
"Bryce Harper","PHI","1B",141,141,1233.1,1050,95,5,4,1,90,6,1,97,14,,,,,0.99565217,,"Bryce Harper",11579,547180
"Nick Castellanos","PHI","RF",157,157,1363.2,263,3,3,2,1,0,0,0,0,,,,,,0.98884758,,"Nick Castellanos",11737,592206
"Marcus Semien","TEX","2B",159,159,1382.2,214,389,7,6,1,72,32,43,2,,,,,,0.98852459,,"Marcus Semien",12533,543760
"Eugenio Suárez","ARI","3B",155,154,1361.2,88,292,10,6,3,31,31,2,0,,,,,,0.97435897,,"Eugenio Suarez",12552,553993
"George Springer","TOR","RF",123,119,1029.2,215,3,2,1,1,0,0,0,0,,,,,,0.99090909,,"George Springer",12856,543807
"Francisco Lindor","NYM","SS",151,150,1311.2,194,358,12,8,4,67,37,33,4,,,,,,0.9787234,,"Francisco Lindor",12916,596019
"Brandon Nimmo","NYM","LF",142,120,1109,202,3,2,1,1,0,0,0,0,,,,,,0.99033816,,"Brandon Nimmo",12927,607043
"Jorge Polanco","SEA","2B",112,109,925.1,138,222,7,5,2,43,14,30,2,,,,,,0.98092643,,"Jorge Polanco",13152,593871
"Orlando Arcia","ATL","SS",157,156,1381.1,168,393,11,7,4,82,48,33,6,,,,,,0.98076923,,"Orlando Arcia",13185,606115
"Christian Walker","ARI","1B",129,126,1104.1,977,76,2,1,1,99,8,0,102,18,,,,,0.99810427,,"Christian Walker",13419,572233
"José Ramírez","CLE","3B",126,126,1108,99,207,9,6,3,18,20,0,5,,,,,,0.97142857,,"Jose Ramirez",13510,608070
"Ketel Marte","ARI","2B",113,109,929.2,216,289,5,4,1,71,20,52,1,,,,,,0.99019608,,"Ketel Marte",13613,606466
"Corey Seager","TEX","SS",113,113,959.1,137,271,7,3,4,46,24,21,7,,,,,,0.98313253,,"Corey Seager",13624,608369
"Matt Olson","ATL","1B",162,162,1443.1,1259,105,6,5,1,117,17,1,119,25,,,,,0.99562044,,"Matt Olson",14344,621566
"Anthony Santander","BAL","RF",130,129,1119.1,262,7,2,1,1,0,2,0,0,,,,,,0.99261993,,"Anthony Santander",14551,623993
"Mike Yastrzemski","SFG","RF",127,113,976.2,188,5,4,2,2,0,1,0,0,,,,,,0.97969543,,"Mike Yastrzemski",14854,573262
"Ryan McMahon","COL","3B",152,149,1306.2,98,323,15,9,6,28,30,0,3,,,,,,0.96559633,,"Ryan McMahon",15112,641857
"Hunter Renfroe","KCR","RF",116,105,933.2,200,9,2,2,0,0,2,0,0,,,,,,0.99052133,,"Hunter Renfroe",15464,592669
