Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"J.T. Realmuto","PHI","C",1139.1,1,-3,10,,,4,,,12,,,,,,,7.989999771118164,,18,31.20789260099617,"J.T. Realmuto",11739,592663
"Javier Báez","CHC","SS",1116.2,,,,3,,3,25,,31,,3.0047199726104736,2.966370105743408,3.998000144958496,9.96908974647522,9.508523958190496,,31,26,28.798280532788894,"Javier Baez",12979,595879
"Roberto Pérez","CLE","C",993.2,11,8,2,,,8,,,30,,,,,,,9.619999885559082,,20,26.75223568100548,"Roberto Perez",2900,547379
"Yasmani Grandal","MIL","C",1095.2,9,-5,-3,,,1,,,0,,,,,,,17,,16,25.827972182569045,"Yasmani Grandal",11368,518735
"Francisco Lindor","CLE","SS",1196.1,,,,1,,4,4,,9,,0.4655579924583435,1.070330023765564,4.91361790895462,6.449498116970062,7.44365084458946,,24,20,23.790614160412474,"Francisco Lindor",12916,596019
"Christian Vázquez","BOS","C",918,7,1,2,,,-4,,,5,,,,,,,12.359999656677246,,14,20.856461953561045,"Christian Vazquez",9774,543877
"Victor Robles","WSN","CF",1199,,,,,8,2,13,,23,2.081249952316284,,3.3100600242614746,-0.08523297309875488,5.306079864501953,6.084133246642538,,20,23,20.596985779292247,"Victor Robles",18363,645302
"Trevor Story","COL","SS",1257.1,,,,1,,2,18,,21,,-0.1348620057106018,4.883059978485107,3.855820894241333,8.604018151760101,10.258933752775192,,18,16,19.710675779915224,"Trevor Story",12564,596115
"Nick Ahmed","ARI","SS",1381,,,,1,,0,15,,16,,0.5311869978904724,1.335129976272583,0.0027876095846295357,1.869106948375702,2.3138399370799014,,17,14,19.169102887651533,"Nick Ahmed",12147,605113
"Nolan Arenado","COL","3B",1319.2,,,,0,,0,24,,23,,0.06667479872703552,8.463370323181152,1.7486809492111206,10.278774827718735,12.025791387024679,,22,18,17.22536793556213,"Nolan Arenado",9777,571448
"Jose Iglesias","CIN","SS",1169.2,,,,2,,1,2,,5,,0.9991430044174194,1.7766300439834595,3.1401393157429993,5.915912985801697,7.573309625898089,,14,12,16.121177814674322,"Jose Iglesias",10231,578428
"Kevin Kiermaier","TBR","CF",1044.1,,,,,2,1,9,,12,4.339389801025391,,2.587660074234009,0.021930992603302002,6.94897985458374,9.77551936228662,,18,18,16.051997145598154,"Kevin Kiermaier",11038,595281
"Rafael Devers","BOS","3B",1353,,,,-3,,-2,0,,-5,,-1.7627300024032593,4.47622013092041,-0.03814101219177246,2.6753498315811157,2.4438299145118654,,18,10,13.924813373859607,"Rafael Devers",17350,646240
"Elvis Andrus","TEX","SS",1279.1,,,,-1,,-2,-6,,-9,,-1.3683199882507324,0.13486100733280182,3.2950619161129,2.061609983444214,2.185500928446608,,10,6,13.715385069393239,"Elvis Andrus",8709,462101
"Paul DeJong","STL","SS",1372,,,,3,,-2,23,,24,,2.165060043334961,2.02593994140625,7.251930117607117,11.442930221557617,9.634717244013597,,7,9,13.027172275819547,"Paul DeJong",18015,657557
"Willy Adames","TBR","SS",1314.2,,,,1,,2,5,,8,,-0.38293901085853577,4.952040195465088,-2.8770810961723328,1.6920109689235687,2.5262938306039695,,8,7,12.407112734219927,"Willy Adames",15986,642715
"Yadier Molina","STL","C",939.1,0,-1,-1,,,3,,,1,,,,,,,1.7999999523162842,,0,11.687253283676345,"Yadier Molina",7007,425877
"Matt Chapman","OAK","3B",1336,,,,-1,,3,24,,28,,0.4307979941368103,6.077139854431152,8.27842891216278,14.786398351192474,12.041258105731298,,15,11,11.601722557820475,"Matt Chapman",16505,656305
"Harrison Bader","STL","CF",909.2,,,,,2,-1,14,,15,4.250589847564697,,10.233799934387207,-1.5624239444732666,12.921949863433838,21.778567185562647,,12,11,9.782599665784296,"Harrison Bader",18030,664056
"Brandon Crawford","SFG","SS",1233,,,,-3,,1,-8,,-10,,-2.577159881591797,1.7342900037765503,0.4130721092224121,-0.42978978157043457,-0.036663697937787454,,5,3,9.763557527849004,"Brandon Crawford",5343,543063
"Freddy Galvis","- - -","SS",939.2,,,,-1,,2,9,,10,,0.261789339594543,-6.3937638103961945,4.469650994054973,-1.6623196424916387,-2.4207311067581503,,7,4,9.499941645255468,"Freddy Galvis",6609,520471
"Adam Frazier","PIT","2B",1180.2,,,,0,,1,4,,5,,1.1622300148010254,1.5916999578475952,0.09641319885849953,2.8503400087356567,4.619696258773185,,9,7,9.282044988697224,"Adam Frazier",15223,624428
"Jackie Bradley Jr.","BOS","CF",1247,,,,,3,4,-7,,0,3.0526700019836426,,-4.187399864196777,-0.10108640044927597,-1.2358198165893555,-1.7630056038804467,,6,11,8.849880499751013,"Jackie Bradley Jr.",12984,598265
"Manuel Margot","SDP","CF",943.1,,,,,-5,1,10,,6,-1.5341800451278687,,6.40054988861084,0.9700849950313568,5.8364497423172,7.549779057574442,,11,10,8.693774728713283,"Manuel Margot",14712,622534
"Corey Seager","LAD","SS",1082.2,,,,2,,1,-4,,-1,,0.3037410080432892,2.9707698822021484,-4.753414849401452,-1.478898972272873,-2.76063409730345,,4,5,8.06388436949742,"Corey Seager",13624,608369
"Starlin Castro","MIA","2B",1012.2,,,,0,,1,2,,3,,0.24322600662708282,1.2529100179672241,-1.0494750142097473,0.44665901362895966,0.8024345027652346,,7,6,7.981874511601433,"Starlin Castro",4579,516770
"Josh Donaldson","ATL","3B",1297,,,,0,,1,8,,10,,0.6829220056533813,-1.0851600170135498,2.7561699599027634,2.353932023048401,2.1403169060701916,,9,7,7.73159852584137,"Josh Donaldson",5038,518626
"Lorenzo Cain","MIL","CF",1177.1,,,,,-3,7,15,,19,-2.9179999828338623,,9.335450172424316,0.5381657760590315,6.955620050430298,8.694525063037872,,14,9,7.276197613794425,"Lorenzo Cain",9077,456715
"Tim Anderson","CHW","SS",1050,,,,1,,1,-8,,-6,,0.8378469944000244,-2.580549955368042,-7.3813300132751465,-9.124032735824585,-11.718466217478051,,2,2,6.832421366790955,"Tim Anderson",15172,641313
"Trea Turner","WSN","SS",1065.1,,,,0,,-1,5,,4,,-1.5331499576568604,-5.532120227813721,0.05870497226715088,-7.006570100784302,-8.792931743524704,,2,2,6.608605365431139,"Trea Turner",16252,607208
"Evan Longoria","SFG","3B",1041,,,,0,,-2,7,,7,,0.5095959901809692,3.423569917678833,-1.1349144247360528,2.7982460260391235,3.1424900651516685,,8,7,6.249966517898174,"Evan Longoria",9368,446334
"Jose Altuve","HOU","2B",1023.2,,,,-2,,0,1,,-1,,-1.9908499717712402,-1.1389100551605225,-3.2238080501556396,-6.353559970855713,-12.11891426823356,,4,3,6.034805756960282,"Jose Altuve",5417,514888
"Robinson Chirinos","HOU","C",966,-6,-1,0,,,10,,,4,,,,,,,-5.550000190734863,,-3,5.94455278055675,"Robinson Chirinos",3142,455139
"Joe Panik","- - -","2B",955.1,,,,-3,,0,-4,,-7,,-0.416794016957283,-0.8444390296936035,3.4713649451732635,2.210125967860222,2.7874666275013062,,5,1,5.889885605250049,"Joe Panik",11936,605412
"Dansby Swanson","ATL","SS",1090.2,,,,1,,0,-3,,-2,,-0.45601001381874084,-9.57610034942627,3.6135091185569763,-6.418600231409073,-5.873526641398148,,1,0,5.553923786303917,"Dansby Swanson",18314,621020
"Jonathan Schoop","MIN","2B",983.1,,,,-1,,0,-1,,-2,,0.08099009841680527,1.499559998512268,-5.309269905090332,-3.7287199273705482,-9.17530584001476,,4,2,5.264664013585237,"Jonathan Schoop",11265,570731
"Cody Bellinger","LAD","RF",911.1,,,,,4,2,12,,18,3.178529977798462,,5.630229949951172,0.6541630253195763,9.46291995048523,15.312257569230614,,6,10,5.190745127569161,"Cody Bellinger",15998,641355
