Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Todd Frazier","NYM","3B",120,112,997.1,89,229,12,7,5,22,22,1,1,,,,,,0.96363636,,"Todd Frazier",785,453943
"Wilson Ramos","NYM","C",124,113,1016.1,1051,50,7,0,7,1,4,1,0,,94,17,10,31,0.99368231,,"Wilson Ramos",1433,467092
"Carlos Santana","CLE","1B",135,135,1185.2,951,73,10,3,6,72,9,1,71,14,,,,,0.99032882,,"Carlos Santana",2396,467793
"Roberto Pérez","CLE","C",118,114,993.2,1082,52,3,0,3,1,9,1,2,,29,20,0,24,0.99736148,,"Roberto Perez",2900,547379
"Tommy Pham","TBR","LF",123,123,1093.1,158,8,0,0,0,0,0,0,0,,,,,,1,,"Tommy Pham",2967,502054
"Robinson Chirinos","HOU","C",112,106,966,1078,51,6,3,3,2,3,2,1,,45,12,4,19,0.99471366,,"Robinson Chirinos",3142,455139
"Anthony Rizzo","CHC","1B",146,144,1226.2,1140,123,5,2,3,117,13,1,110,32,,,,,0.99605678,,"Anthony Rizzo",3473,519203
"Eric Hosmer","SDP","1B",157,155,1356,1128,106,14,10,4,79,6,2,76,23,,,,,0.98878205,,"Eric Hosmer",3516,543333
"Josh Reddick","HOU","RF",119,106,932,202,2,4,2,2,0,1,0,0,,,,,,0.98076923,,"Josh Reddick",3892,502210
"Michael Brantley","HOU","LF",120,110,948.2,159,2,3,1,2,0,0,0,0,,,,,,0.98170732,,"Michael Brantley",4106,488726
"Joey Votto","CIN","1B",133,132,1131.2,944,118,7,4,2,85,7,0,89,17,,,,,0.99345182,,"Joey Votto",4314,458015
"Starlin Castro","MIA","2B",117,115,1012.2,177,249,9,4,4,58,24,35,5,,,,,,0.97931034,,"Starlin Castro",4579,516770
"Josh Donaldson","ATL","3B",148,148,1297,100,304,13,8,5,32,32,3,4,,,,,,0.96882494,,"Josh Donaldson",5038,518626
"Alex Gordon","KCR","LF",146,145,1260,268,7,1,0,1,0,2,0,0,,,,,,0.99637681,,"Alex Gordon",5209,460086
"Justin Turner","LAD","3B",124,119,1023.2,67,219,8,3,5,18,21,0,2,,,,,,0.97278912,,"Justin Turner",5235,457759
"Brandon Crawford","SFG","SS",142,137,1233,190,366,16,12,4,77,43,37,1,,,,,,0.97202797,,"Brandon Crawford",5343,543063
"Freddie Freeman","ATL","1B",158,157,1365.2,1296,63,6,5,1,119,10,2,124,26,,,,,0.9956044,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU","2B",121,119,1023.2,128,257,11,6,5,45,13,34,3,,,,,,0.97222222,,"Jose Altuve",5417,514888
"Jean Segura","PHI","SS",142,141,1212.2,175,351,20,9,11,78,41,38,5,,,,,,0.96336996,,"Jean Segura",5933,516416
"Eduardo Escobar","ARI","3B",144,122,1137,86,219,7,4,3,24,22,5,2,,,,,,0.9775641,,"Eduardo Escobar",6153,500871
"Adam Jones","ARI","RF",130,117,1037.1,207,2,6,5,1,0,0,0,0,,,,,,0.97209302,,"Adam Jones",6368,430945
"Freddy Galvis","- - -","SS",110,106,939.2,136,293,6,5,1,59,29,31,5,,,,,,0.9862069,,"Freddy Galvis",6609,520471
"Yadier Molina","STL","C",111,108,939.1,916,30,1,0,1,2,4,1,0,,22,8,4,31,0.99894403,,"Yadier Molina",7007,425877
"Miguel Rojas","MIA","SS",125,122,1060.2,178,287,11,7,4,69,34,36,4,,,,,,0.97689076,,"Miguel Rojas",7802,500743
"Charlie Blackmon","COL","RF",135,134,1178,232,5,4,3,1,0,1,0,0,,,,,,0.98340249,,"Charlie Blackmon",7859,453568
"Dee Strange-Gordon","SEA","2B",111,105,918.1,190,242,9,5,4,61,22,38,3,,,,,,0.97959184,,"Dee Strange-Gordon",8203,543829
"Elvis Andrus","TEX","SS",146,146,1279.1,205,379,13,6,7,76,45,32,3,,,,,,0.97822446,,"Elvis Andrus",8709,462101
"Lorenzo Cain","MIL","CF",143,133,1177.1,306,5,2,2,0,0,1,0,0,,,,,,0.99361022,,"Lorenzo Cain",9077,456715
"Paul Goldschmidt","STL","1B",159,155,1369.2,1256,111,5,3,1,134,18,2,136,26,,,,,0.99635569,,"Paul Goldschmidt",9218,502671
"Starling Marte","PIT","CF",130,128,1141.1,297,8,5,4,1,0,2,0,0,,,,,,0.98387097,,"Starling Marte",9241,516782
"Evan Longoria","SFG","3B",119,117,1041,69,233,15,7,7,24,22,2,3,,,,,,0.95268139,,"Evan Longoria",9368,446334
"Christian Vázquez","BOS","C",119,103,918,994,71,1,0,1,0,3,1,2,,36,22,9,56,0.99906191,,"Christian Vazquez",9774,543877
"Jason Kipnis","CLE","2B",117,117,1024,150,253,4,3,1,45,21,24,6,,,,,,0.99017199,,"Jason Kipnis",9776,543401
"Nolan Arenado","COL","3B",154,151,1319.2,111,337,9,4,5,38,36,5,2,,,,,,0.98030635,,"Nolan Arenado",9777,571448
"Kyle Seager","SEA","3B",104,103,909.2,64,218,11,7,4,22,20,2,1,,,,,,0.96245734,,"Kyle Seager",9785,572122
"Brian Dozier","WSN","2B",123,114,1009,145,248,5,4,0,58,22,38,1,,,,,,0.98743719,,"Brian Dozier",9810,572821
"Mike Trout","LAA","CF",122,121,1051.2,294,5,4,4,0,0,2,0,0,,,,,,0.98679868,,"Mike Trout",10155,545361
"Jose Iglesias","CIN","SS",144,136,1169.2,122,324,9,3,6,58,33,24,5,,,,,,0.98021978,,"Jose Iglesias",10231,578428
"Brandon Belt","SFG","1B",144,123,1155.1,1017,99,6,6,0,102,15,0,100,21,,,,,0.99465241,,"Brandon Belt",10264,474832
"Marcell Ozuna","STL","LF",129,129,1112,181,4,4,4,0,0,0,0,0,,,,,,0.97883598,,"Marcell Ozuna",10324,542303
"César Hernández","PHI","2B",157,155,1376.2,271,354,12,6,6,88,35,50,12,,,,,,0.9811617,,"Cesar Hernandez",10556,514917
"Gio Urshela","NYY","3B",123,109,978.1,59,212,13,10,2,19,18,1,1,,,,,,0.95422535,,"Gio Urshela",10681,570482
"Jurickson Profar","OAK","2B",124,115,1024,221,245,13,1,11,61,29,31,4,,,,,,0.97286013,,"Jurickson Profar",10815,595777
"Kevin Kiermaier","TBR","CF",125,117,1044.1,250,6,4,1,3,0,1,0,0,,,,,,0.98461538,,"Kevin Kiermaier",11038,595281
"Kole Calhoun","LAA","RF",150,146,1298.2,310,7,6,3,3,0,2,0,0,,,,,,0.98142415,,"Kole Calhoun",11200,594777
"Adam Eaton","WSN","RF",139,137,1164.2,267,3,6,4,2,0,1,0,0,,,,,,0.97826087,,"Adam Eaton",11205,594809
"Jonathan Schoop","MIN","2B",113,110,983.1,166,254,14,8,6,56,16,45,3,,,,,,0.96774194,,"Jonathan Schoop",11265,570731
"Yasmani Grandal","MIL","C",137,124,1095.2,1169,41,8,0,8,0,11,0,0,,73,27,8,30,0.99343186,,"Yasmani Grandal",11368,518735
"Tony Wolters","COL","C",112,102,904.1,773,75,1,0,1,4,7,4,2,,44,23,4,41,0.99882214,,"Tony Wolters",11470,547172
"Christian Yelich","MIL","RF",124,121,1061,218,7,4,2,2,0,2,0,0,,,,,,0.98253275,,"Christian Yelich",11477,592885
"Manny Machado","SDP","3B",119,119,1040,79,187,11,5,6,17,12,4,2,,,,,,0.96028881,,"Manny Machado",11493,592518
"Bryce Harper","PHI","RF",152,152,1318,284,13,5,5,0,0,1,0,0,,,,,,0.98344371,,"Bryce Harper",11579,547180
"Yolmer Sánchez","CHW","2B",149,142,1256.2,248,416,9,9,0,100,41,64,5,,,,,,0.98662704,,"Yolmer Sanchez",11602,570560
"Nick Castellanos","- - -","RF",137,136,1171,281,6,2,1,1,0,1,0,0,,,,,,0.99307958,,"Nick Castellanos",11737,592206
"J.T. Realmuto","PHI","C",133,130,1139.1,1098,67,9,0,9,1,11,3,3,,49,43,8,30,0.9923339,,"J.T. Realmuto",11739,592663
"Joe Panik","- - -","2B",118,104,955.1,179,261,5,3,2,56,19,37,3,,,,,,0.98876404,,"Joe Panik",11936,605412
"Nick Ahmed","ARI","SS",158,155,1381,207,412,13,7,6,71,35,38,7,,,,,,0.97943038,,"Nick Ahmed",12147,605113
"Eddie Rosario","MIN","LF",124,118,1048,188,7,5,4,1,0,1,0,0,,,,,,0.975,,"Eddie Rosario",12155,592696
"Xander Bogaerts","BOS","SS",153,153,1368,165,347,13,8,5,63,35,30,5,,,,,,0.9752381,,"Xander Bogaerts",12161,593428
"Maikel Franco","PHI","3B",110,99,924.2,62,195,8,4,4,10,10,0,0,,,,,,0.96981132,,"Maikel Franco",12179,596748
"Jorge Alfaro","MIA","C",118,112,973,930,55,11,2,7,2,7,0,1,,33,16,11,45,0.98895582,,"Jorge Alfaro",12180,595751
"Rougned Odor","TEX","2B",137,134,1188.1,246,294,15,10,5,82,31,51,3,,,,,,0.97297297,,"Rougned Odor",12282,596059
"Kevin Pillar","- - -","CF",133,130,1170,296,5,4,4,0,0,1,0,0,,,,,,0.98688525,,"Kevin Pillar",12434,607680
"Kolten Wong","STL","2B",147,134,1195.1,250,412,9,4,5,90,34,61,9,,,,,,0.98658718,,"Kolten Wong",12532,543939
"Marcus Semien","OAK","SS",161,161,1435,186,436,12,8,4,82,37,46,3,,,,,,0.98107256,,"Marcus Semien",12533,543760
"C.J. Cron","MIN","1B",117,110,993.1,927,61,8,6,1,79,10,2,83,31,,,,,0.99196787,,"C.J. Cron",12546,543068
