"last_name","first_name","player_id","year","n_called_pitches","runs_extra_strikes","strike_rate","strike_rate_11","strike_rate_12","strike_rate_13","strike_rate_14","strike_rate_16","strike_rate_17","strike_rate_18","strike_rate_19"
"León","Sandy","506702","2016","2020","-7","44.5","22.6","52.3","23.2","73.2","57.9","21.8","32.8","12.8"
"Pierzynski","A.J.","150229","2016","1839","-8","41.7","13.2","30.9","9.8","73","55.8","31.5","40.8","14.3"
"Ruiz","Carlos","434563","2016","1740","-8","42.5","16.9","28.4","8.2","78.4","43","36.9","42.3","13.1"
"Centeno","Juan","518542","2016","1466","-9","40.5","10.9","30.3","6","75.2","47.7","27.5","32.1","9.2"
"Navarro","Dioner","425900","2016","2666","-10","43.4","22.2","43","26.6","66.9","66.5","19.2","28.2","13.4"
"Wieters","Matt","446308","2016","3508","-10","43","26.5","35.8","10.2","83.4","48.8","36.8","34.4","11.4"
"Realmuto","J.T.","592663","2016","3818","-11","44.9","14.8","27.6","4.6","74.8","51","36.8","46","19.5"
"Vogt","Stephen","519390","2016","3084","-12","43.8","15.3","38.5","13.5","73.8","57.8","27.9","36.5","20.6"
"Iannetta","Chris","455104","2016","2718","-14","42","13.6","34.8","8.3","69.7","56.6","23.5","39.2","20.2"
"Cabrera","Ramón","541608","2016","1380","-16","35.8","8.7","20.5","10.5","62.6","50","42.9","33.7","15.6"
"Perez","Salvador","521692","2016","3854","-17","42.6","21.1","41.6","17.3","72.7","57.5","24.5","32.6","14.8"
