"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","R","HR","RBI","SB","BB%","K%","ISO","AVG","OBP","SLG","OPS","DRC+","DRB","DRP","WARP"
67964,595281,"Kevin Kiermaier",33,2023,"TOR",114,408,370,58,8,36,14,7.1,21.1,0.154,0.265,0.322,0.419,0.741,85,,3.8,1.4
69159,542932,"Jon Berti",33,2023,"MIA",130,424,388,53,7,33,16,6.8,18.2,0.111,0.294,0.344,0.405,0.749,103,,0.2,2
69854,607054,"Jace Peterson",33,2023,,130,430,374,35,6,37,15,10.9,23.5,0.096,0.211,0.304,0.307,0.611,91,,0.1,1.2
46980,462101,"Elvis Andrus",34,2023,"CWS",111,406,374,39,6,44,12,6.2,17.5,0.107,0.251,0.304,0.358,0.662,81,,-0.9,0.7
51611,500743,"Miguel Rojas",34,2023,"LAD",123,423,385,49,5,31,8,6.1,11.3,0.086,0.236,0.29,0.322,0.612,84,,7.3,1.3
57478,519058,"Mike Moustakas",34,2023,,111,386,352,43,12,48,0,6,24.6,0.145,0.247,0.293,0.392,0.685,85,,-0.6,0.5
59339,518934,"DJ LeMahieu",34,2023,"NYY",136,562,497,55,15,44,2,10.7,22.2,0.147,0.243,0.327,0.39,0.717,97,,-0.6,1.2
65870,518735,"Yasmani Grandal",34,2023,"CWS",116,405,363,33,8,33,0,8.9,21.2,0.105,0.234,0.309,0.339,0.648,92,,2.6,1.5
66950,592192,"Mark Canha",34,2023,,135,507,435,51,11,62,11,9.7,15.6,0.138,0.262,0.355,0.4,0.755,106,,-1.1,1.6
67175,593160,"Whit Merrifield",34,2023,"TOR",144,592,547,66,11,67,26,6.1,17.1,0.11,0.272,0.318,0.382,0.7,80,,0.9,1.1
48772,456781,"Donovan Solano",35,2023,"MIN",133,450,394,43,5,38,0,8.9,22.2,0.109,0.282,0.369,0.391,0.76,100,,0.1,1.3
50106,502054,"Tommy Pham",35,2023,,127,481,426,55,16,68,22,9.8,22,0.19,0.256,0.328,0.446,0.774,109,,-2.9,1.6
52260,444482,"David Peralta",35,2023,"LAD",132,422,394,47,7,55,4,4.7,17.1,0.122,0.259,0.294,0.381,0.675,88,,-1.1,0.6
59275,502110,"J.D. Martinez",35,2023,"LAD",112,479,432,61,33,103,1,7.1,31.1,0.301,0.271,0.321,0.572,0.893,118,,0,2
59307,502671,"Paul Goldschmidt",35,2023,"STL",154,687,593,89,25,80,11,12.7,23.4,0.179,0.268,0.363,0.447,0.81,126,,1.2,3.9
60834,543228,"Yan Gomes",35,2023,"CHC",115,419,382,44,10,63,1,5,19.3,0.141,0.267,0.315,0.408,0.723,95,,-6.2,0.6
65767,474832,"Brandon Belt",35,2023,"TOR",103,404,339,53,19,43,0,15.1,34.9,0.236,0.254,0.369,0.49,0.859,103,,0.1,1.1
46400,457705,"Andrew McCutchen",36,2023,"PIT",112,473,390,55,12,43,11,15.9,21.1,0.141,0.256,0.378,0.397,0.775,104,,0,1.3
48082,455117,"Martín Maldonado",36,2023,"HOU",116,407,362,33,15,36,0,7.4,34.2,0.157,0.191,0.258,0.348,0.606,65,,-15,-1.7
102005,547989,"José Abreu",36,2023,"HOU",141,594,540,62,18,90,0,7.1,21.9,0.146,0.237,0.296,0.383,0.679,100,,-0.4,1
48929,467793,"Carlos Santana",37,2023,,146,619,550,78,23,86,6,10.5,16.8,0.189,0.24,0.318,0.429,0.747,102,,-0.4,1.7
52804,453568,"Charlie Blackmon",37,2023,"COL",96,413,359,57,8,40,4,9.4,13.3,0.162,0.279,0.363,0.44,0.803,114,,0.3,1.9
51991,457759,"Justin Turner",38,2023,"BOS",146,626,558,86,23,96,4,8.1,17.6,0.179,0.276,0.345,0.455,0.8,102,,0.1,1.5
