Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"DJ LeMahieu","COL",146,552,635,192,141,32,8,11,104,66,66,2,80,3,6,8,19,11,7,0.347826086,"DJ LeMahieu",9874,518934
"Daniel Murphy","WSN",142,531,582,184,107,47,5,25,88,104,35,10,57,8,8,0,4,5,3,0.346516007,"Daniel Murphy",4316,502517
"Jose Altuve","HOU",161,640,717,216,145,42,5,24,108,96,60,11,70,7,7,3,15,30,10,0.3375,"Jose Altuve",5417,514888
"Joey Votto","CIN",158,556,677,181,116,34,2,29,101,97,108,15,120,5,8,0,16,8,1,0.325539568,"Joey Votto",4314,458015
"Charlie Blackmon","COL",143,578,641,187,118,35,5,29,111,82,43,4,102,13,4,3,2,17,9,0.323529411,"Charlie Blackmon",7859,453568
"Jean Segura","ARI",153,637,694,203,135,41,7,20,102,64,39,1,101,12,2,4,6,33,10,0.318681318,"Jean Segura",5933,516416
"Mookie Betts","BOS",158,672,730,214,136,42,5,31,122,113,49,1,80,2,7,0,12,26,4,0.31845238,"Mookie Betts",13611,605141
"Dustin Pedroia","BOS",154,633,698,201,149,36,1,15,105,74,61,0,73,0,3,1,24,7,4,0.317535545,"Dustin Pedroia",8370,456030
"Miguel Cabrera","DET",158,595,679,188,118,31,1,38,92,108,75,15,116,4,5,0,26,0,0,0.315966386,"Miguel Cabrera",1744,408234
"Mike Trout","LAA",159,549,681,173,107,32,5,29,123,100,116,12,137,11,5,0,5,30,7,0.315118397,"Mike Trout",10155,545361
"David Ortiz","BOS",151,537,626,169,82,48,1,38,79,127,80,15,86,2,7,0,22,2,0,0.314711359,"David Ortiz",745,120074
"José Ramírez","CLE",152,565,618,176,116,46,3,11,84,76,44,1,62,4,4,1,10,22,7,0.311504424,"Jose Ramirez",13510,608070
"Starling Marte","PIT",129,489,529,152,104,34,5,9,71,46,23,5,104,16,0,1,8,47,12,0.310838445,"Starling Marte",9241,516782
"Corey Seager","LAD",157,627,687,193,122,40,5,26,105,72,54,5,133,4,2,0,12,3,3,0.307814992,"Corey Seager",13624,608369
"Yadier Molina","STL",147,534,581,164,117,38,1,8,56,58,39,1,63,6,2,0,22,3,2,0.307116104,"Yadier Molina",7007,425877
"Wilson Ramos","WSN",131,482,523,148,101,25,0,22,58,80,35,2,79,2,4,0,17,0,0,0.307053941,"Wilson Ramos",1433,467092
"J.D. Martinez","DET",120,460,517,141,82,35,2,22,69,68,49,2,128,3,5,0,13,1,2,0.306521739,"J.D. Martinez",6184,502110
"Ryan Braun","MIL",135,511,564,156,100,23,3,30,80,91,46,10,98,4,3,0,20,16,5,0.305283757,"Ryan Braun",3410,460075
