"bpid","mlbid","Name","Age","Season","Team","G","PA","AB","H","1B","2B","3B","HR","TB","R","RBI","BB","K","HBP","SB","CS","SF","SH","GDP","GUILLEN"
125372,672284,"Jarred Kelenic",21,2021,"SEA",92,377,337,61,33,13,1,14,118,41,43,36,106,3,6,4,0,1,6,51.2
107182,665742,"Juan Soto",22,2021,"WAS",151,654,502,157,106,20,2,29,268,111,95,145,93,2,9,7,0,5,23,44.1
107184,665489,"Vladimir Guerrero Jr.",22,2021,"TOR",161,698,604,188,110,29,1,48,363,123,111,86,110,6,4,1,0,2,23,56.1
107439,668731,"Akil Baddoo",22,2021,"DET",121,461,413,107,67,20,7,13,180,60,55,45,122,0,18,4,0,3,5,35
107582,666185,"Dylan Carlson",22,2021,"STL",149,619,542,144,91,31,4,18,237,79,65,57,152,11,2,1,1,8,5,40.5
108651,665487,"Fernando Tatis Jr.",22,2021,"SD",130,546,478,135,62,31,0,42,292,99,97,62,153,2,25,4,0,4,6,58.6
107491,666182,"Bo Bichette",23,2021,"TOR",159,690,640,191,131,30,1,29,310,121,102,40,137,6,25,1,0,4,11,45.5
107632,665862,"Jazz Chisholm Jr.",23,2021,"MIA",124,507,464,115,73,20,4,18,197,70,53,34,145,4,23,8,2,3,4,37.1
108127,666158,"Gavin Lux",23,2021,"LAD",101,381,335,81,58,12,4,7,122,49,46,41,83,3,4,1,0,2,4,30.6
142821,683734,"Andrew Vaughn",23,2021,"CHW",127,469,417,98,61,22,0,15,165,56,48,41,101,6,1,1,0,5,16,39.3
104004,645277,"Ozzie Albies",24,2021,"ATL",156,686,629,163,86,40,7,30,307,103,106,47,128,3,20,4,0,7,5,46.6
104023,645302,"Victor Robles",24,2021,"WAS",105,368,314,64,40,21,1,2,93,37,19,33,84,16,8,6,4,1,8,32.4
104042,646240,"Rafael Devers",24,2021,"BOS",156,664,591,165,89,37,1,38,318,101,113,62,143,7,5,5,0,4,15,48.5
104096,649966,"Luis Urías",24,2021,"MIL",149,570,490,122,73,25,1,23,218,77,75,63,116,10,5,1,1,3,10,50.6
104123,650333,"Luis Arraez",24,2021,"MIN",121,479,428,126,101,17,6,2,161,58,42,43,48,2,2,2,0,6,9,31
104180,650402,"Gleyber Torres",24,2021,"NYY",127,516,459,119,88,22,0,9,168,50,51,50,104,1,14,6,2,4,14,40
104205,650489,"Willi Castro",24,2021,"DET",125,450,413,91,61,15,6,9,145,56,38,23,109,8,9,4,3,3,8,37.5
105735,663757,"Trent Grisham",24,2021,"SD",131,527,462,112,66,28,3,15,191,61,62,54,119,6,13,5,1,4,10,32.8
106121,663647,"Ke'Bryan Hayes",24,2021,"PIT",95,396,362,93,65,20,2,6,135,49,38,31,87,1,9,1,0,2,11,34.7
106527,663624,"Ryan Mountcastle",24,2021,"BAL",144,586,534,136,79,23,1,33,260,77,89,41,161,4,4,3,0,7,13,49.4
106744,663586,"Austin Riley",24,2021,"ATL",160,662,590,179,112,33,1,33,313,91,107,52,168,12,0,1,0,8,12,54.9
106765,663898,"Brendan Rodgers",24,2021,"COL",102,415,387,110,71,21,3,15,182,49,51,19,84,7,0,0,0,2,8,51
106960,663886,"Tyler Stephenson",24,2021,"CIN",130,402,350,100,69,21,0,10,151,56,45,41,75,6,0,0,0,5,12,48.2
107047,663656,"Kyle Tucker",24,2021,"HOU",137,567,506,149,79,37,3,30,282,83,92,53,90,1,14,2,0,5,10,49.4
109090,647351,"Abraham Toro",24,2021,,95,375,335,80,57,12,0,11,125,45,46,31,54,7,6,3,0,2,7,42.2
109147,670541,"Yordan Alvarez",24,2021,"HOU",144,597,536,149,80,35,1,33,285,92,104,50,144,8,1,0,0,3,16,46.7
113905,664761,"Alec Bohm",24,2021,"PHI",115,417,380,94,72,15,0,7,130,46,47,31,111,2,4,0,0,4,13,37
124341,663697,"Jonathan India",24,2021,"CIN",150,631,532,143,86,34,2,21,244,98,69,71,141,23,12,3,1,4,13,38.8
100406,614177,"Franmil Reyes",25,2021,"CLE",115,466,418,106,56,18,2,30,218,57,85,43,149,2,4,1,0,3,13,63.2
102110,620443,"Luis Torrens",25,2021,"SEA",105,378,346,84,51,16,2,15,149,39,47,28,99,1,0,0,0,3,9,59
103203,642708,"Amed Rosario",25,2021,"CLE",141,588,550,155,113,25,6,11,225,77,57,31,120,3,13,0,0,4,13,35.1
103209,642715,"Willy Adames",25,2021,,137,555,497,130,72,32,1,25,239,77,73,57,156,0,5,4,0,1,9,39
104938,657077,"Alex Verdugo",25,2021,"BOS",144,604,544,157,110,32,2,13,232,88,63,51,96,4,6,2,0,5,11,37.5
107930,669720,"Austin Hays",25,2021,"BAL",130,529,488,125,73,26,4,22,225,73,71,28,107,9,4,3,3,1,9,38.4
108119,663993,"Nathaniel Lowe",25,2021,"TEX",157,642,557,147,102,24,3,18,231,75,72,80,162,2,8,0,0,3,14,49.3
110857,656976,"Pavin Smith",25,2021,"AZ",145,545,498,133,91,27,4,11,201,68,49,42,106,4,1,0,0,1,12,29.4
100502,621043,"Carlos Correa",26,2021,"HOU",148,640,555,155,94,34,1,26,269,104,92,75,116,4,0,0,0,6,16,45.2
100988,622534,"Manuel Margot",26,2021,"TB",122,464,421,107,76,18,3,10,161,55,57,37,70,1,13,8,1,4,5,38.2
101568,623993,"Anthony Santander",26,2021,"BAL",110,438,406,98,56,24,0,18,176,54,50,23,101,4,1,1,1,4,12,44.4
101603,624413,"Pete Alonso",26,2021,"NYM",152,637,561,147,80,27,3,37,291,81,94,60,127,12,3,0,0,4,20,56.8
102432,640457,"Austin Meadows",26,2021,"TB",142,591,518,121,62,29,3,27,237,79,106,59,122,6,4,3,0,8,4,50.6
