"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Pache, Cristian",665506,"6","0","14","0.0","2","2","100.0","6","6","100.0","18","19","94.7","13","13","100.0"
"Nimmo, Brandon",607043,"6","1","23","4.3","1","2","50.0","11","14","78.6","12","12","100.0","36","37","97.3"
"Bellinger, Cody",641355,"6","1","24","4.2","3","4","75.0","6","11","54.5","21","21","100.0","32","34","94.1"
"Robles, Victor",645302,"5","1","21","4.8","4","6","66.7","8","9","88.9","26","31","83.9","33","33","100.0"
"Tucker, Kyle",663656,"5","0","22","0.0","1","5","20.0","7","8","87.5","23","26","88.5","38","39","97.4"
"Duvall, Adam",594807,"5","1","11","9.1","1","3","33.3","3","3","100.0","15","15","100.0","16","17","94.1"
"Taylor, Michael A.",572191,"5","5","22","22.7","5","11","45.5","6","9","66.7","21","24","87.5","25","27","92.6"
"Taveras, Leody",665750,"4","3","20","15.0","3","4","75.0","9","14","64.3","11","14","78.6","20","20","100.0"
"Judge, Aaron",592450,"4","0","23","0.0","1","4","25.0","12","16","75.0","18","20","90.0","22","23","95.7"
"O'Neill, Tyler",641933,"4","0","17","0.0","4","5","80.0","3","4","75.0","14","16","87.5","11","11","100.0"
"Betts, Mookie",605141,"3","0","17","0.0","3","5","60.0","13","20","65.0","25","27","92.6","17","18","94.4"
"Engel, Adam",641553,"3","1","12","8.3","1","3","33.3","5","6","83.3","6","7","85.7","16","16","100.0"
"Carlson, Dylan",666185,"3","0","25","0.0","1","6","16.7","8","11","72.7","20","20","100.0","22","23","95.7"
"Trout, Mike",545361,"3","0","17","0.0","1","5","20.0","4","6","66.7","22","24","91.7","21","21","100.0"
"Nootbaar, Lars",663457,"2","0","21","0.0","1","4","25.0","5","6","83.3","14","15","93.3","17","17","100.0"
"Hernández, Enrique",571771,"2","2","9","22.2","1","7","14.3","3","4","75.0","12","12","100.0","27","28","96.4"
"Yastrzemski, Mike",573262,"2","0","26","0.0","2","7","28.6","7","11","63.6","26","27","96.3","26","29","89.7"
"Robert Jr., Luis",673357,"2","1","16","6.3","0","1","0.0","8","11","72.7","13","15","86.7","24","24","100.0"
"Celestino, Gilberto",665482,"2","2","18","11.1","1","3","33.3","8","12","66.7","23","26","88.5","17","18","94.4"
"Happ, Ian",664023,"2","1","26","3.8","4","7","57.1","11","14","78.6","30","34","88.2","28","28","100.0"
"Gordon, Nick",624503,"1","2","18","11.1","0","2","0.0","4","4","100.0","11","13","84.6","15","15","100.0"
"Ward, Taylor",621493,"1","0","25","0.0","1","4","25.0","9","12","75.0","14","17","82.4","22","22","100.0"
"Taylor, Chris",621035,"1","0","23","0.0","1","2","50.0","5","6","83.3","10","12","83.3","11","11","100.0"
"Slater, Austin",596103,"1","1","11","9.1","2","3","66.7","4","4","100.0","13","15","86.7","7","8","87.5"
"García, Adolis",666969,"1","2","24","8.3","1","5","20.0","13","14","92.9","17","21","81.0","30","32","93.8"
"Suwinski, Jack",669261,"1","0","19","0.0","1","3","33.3","5","8","62.5","13","13","100.0","16","17","94.1"
"Greene, Riley",682985,"1","4","16","25.0","0","4","0.0","7","13","53.8","24","27","88.9","13","16","81.3"
"Castro, Willi",650489,"0","0","14","0.0","1","1","100.0","6","10","60.0","9","10","90.0","12","13","92.3"
"Grossman, Robbie",543257,"0","0","21","0.0","2","4","50.0","5","8","62.5","18","21","85.7","18","18","100.0"
"Hicks, Aaron",543305,"0","1","20","5.0","0","4","0.0","5","8","62.5","15","16","93.8","16","16","100.0"
"Springer, George",543807,"0","1","11","9.1","3","3","100.0","1","4","25.0","14","15","93.3","21","24","87.5"
"Baddoo, Akil",668731,"0","1","6","16.7","2","4","50.0","7","10","70.0","9","13","69.2","10","10","100.0"
"Canha, Mark",592192,"-1","0","22","0.0","1","4","25.0","6","10","60.0","17","21","81.0","16","17","94.1"
"Senzel, Nick",669222,"-1","1","18","5.6","1","5","20.0","4","6","66.7","21","23","91.3","15","17","88.2"
"Benintendi, Andrew",643217,"-1","1","18","5.6","1","2","50.0","8","13","61.5","13","18","72.2","22","22","100.0"
"Marte, Starling",516782,"-1","1","25","4.0","1","4","25.0","5","9","55.6","9","11","81.8","20","20","100.0"
"Arozarena, Randy",668227,"-1","1","20","5.0","2","6","33.3","5","9","55.6","13","17","76.5","19","21","90.5"
"Vierling, Matt",663837,"-1","0","14","0.0","2","6","33.3","6","12","50.0","11","14","78.6","16","16","100.0"
"McCarthy, Jake",664983,"-1","1","18","5.6","1","8","12.5","3","4","75.0","6","8","75.0","14","14","100.0"
"Calhoun, Kole",594777,"-1","0","18","0.0","0","4","0.0","9","11","81.8","7","9","77.8","11","13","84.6"
"Pollock, AJ",572041,"-1","2","20","10.0","5","12","41.7","6","9","66.7","14","18","77.8","12","15","80.0"
"Renfroe, Hunter",592669,"-2","0","15","0.0","1","6","16.7","5","6","83.3","13","19","68.4","22","23","95.7"
"Reyes, Victor",622682,"-2","0","12","0.0","1","2","50.0","4","8","50.0","10","13","76.9","14","14","100.0"
"Grichuk, Randal",545341,"-2","0","26","0.0","1","5","20.0","7","10","70.0","21","22","95.5","29","33","87.9"
"Daza, Yonathan",602074,"-2","1","26","3.8","1","2","50.0","9","15","60.0","13","15","86.7","18","19","94.7"
"Thomas, Lane",657041,"-3","0","21","0.0","0","3","0.0","3","9","33.3","19","22","86.4","29","31","93.5"
"Sánchez, Jesús",660821,"-3","0","12","0.0","0","2","0.0","4","8","50.0","15","18","83.3","7","9","77.8"
"Gurriel Jr., Lourdes",666971,"-3","0","16","0.0","0","3","0.0","7","14","50.0","13","16","81.3","16","16","100.0"
"De La Cruz, Bryan",650559,"-3","0","17","0.0","2","4","50.0","5","8","62.5","11","14","78.6","17","20","85.0"
"Adell, Jo",666176,"-3","1","11","9.1","2","9","22.2","1","2","50.0","11","15","73.3","9","10","90.0"
"Gallo, Joey",608336,"-3","2","19","10.5","0","3","0.0","6","8","75.0","9","10","90.0","13","15","86.7"
"Hernández, Teoscar",606192,"-3","2","19","10.5","0","5","0.0","6","13","46.2","17","20","85.0","26","26","100.0"
"Suzuki, Seiya",673548,"-3","0","15","0.0","0","3","0.0","2","3","66.7","12","14","85.7","12","14","85.7"
"Santander, Anthony",623993,"-4","0","25","0.0","1","4","25.0","6","12","50.0","12","16","75.0","18","20","90.0"
"Verdugo, Alex",657077,"-4","3","32","9.4","1","6","16.7","8","17","47.1","22","25","88.0","30","32","93.8"
"Sheets, Gavin",657757,"-4","0","17","0.0","1","4","25.0","2","6","33.3","5","7","71.4","14","15","93.3"
"Pinder, Chad",640461,"-4","0","12","0.0","0","1","0.0","1","3","33.3","15","17","88.2","13","16","81.3"
"Tapia, Raimel",606132,"-4","0","17","0.0","2","4","50.0","2","8","25.0","13","15","86.7","18","18","100.0"
"Profar, Jurickson",595777,"-4","1","29","3.4","1","6","16.7","5","11","45.5","14","15","93.3","24","26","92.3"
"Yelich, Christian",592885,"-4","1","17","5.9","1","4","25.0","3","4","75.0","13","18","72.2","16","18","88.9"
"Laureano, Ramón",657656,"-5","0","21","0.0","1","4","25.0","6","11","54.5","11","13","84.6","19","22","86.4"
"Pham, Tommy",502054,"-5","0","24","0.0","1","4","25.0","6","11","54.5","16","19","84.2","20","22","90.9"
"Gonzalez, Oscar",660757,"-5","1","14","7.1","0","2","0.0","2","6","33.3","11","13","84.6","13","15","86.7"
"Hays, Austin",669720,"-5","0","24","0.0","0","10","0.0","7","12","58.3","17","21","81.0","23","25","92.0"
"González, Luis",670768,"-5","1","13","7.7","0","2","0.0","2","3","66.7","20","22","90.9","11","18","61.1"
"Gamel, Ben",592325,"-6","2","15","13.3","0","4","0.0","2","7","28.6","17","18","94.4","16","18","88.9"
"Reynolds, Bryan",668804,"-6","0","24","0.0","1","7","14.3","3","5","60.0","13","17","76.5","18","22","81.8"
"Acuña Jr., Ronald",660670,"-7","0","10","0.0","1","4","25.0","0","3","0.0","11","19","57.9","12","14","85.7"
"Castellanos, Nick",592206,"-8","0","29","0.0","1","7","14.3","4","12","33.3","17","22","77.3","16","18","88.9"
"Winker, Jesse",608385,"-9","0","22","0.0","0","7","0.0","1","8","12.5","8","12","66.7","25","25","100.0"
"Pederson, Joc",592626,"-11","0","22","0.0","0","4","0.0","2","8","25.0","11","16","68.8","10","13","76.9"
"Schwarber, Kyle",656941,"-12","0","26","0.0","1","6","16.7","2","9","22.2","12","14","85.7","13","16","81.3"
"Soto, Juan",665742,"-15","1","24","4.2","0","7","0.0","3","15","20.0","29","35","82.9","25","27","92.6"
"Vaughn, Andrew",683734,"-18","0","15","0.0","0","8","0.0","1","5","20.0","4","12","33.3","15","17","88.2"
