"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Varsho, Daulton",662139,"17","6","21","28.6","6","7","85.7","19","22","86.4","12","14","85.7","21","21","100.0"
"Grisham, Trent",663757,"16","8","27","29.6","7","8","87.5","11","17","64.7","29","32","90.6","33","34","97.1"
"Siri, Jose",642350,"15","7","16","43.8","3","3","100.0","13","14","92.9","15","17","88.2","13","13","100.0"
"Straw, Myles",664702,"14","3","30","10.0","6","11","54.5","12","17","70.6","33","33","100.0","25","25","100.0"
"Kepler, Max",596146,"12","5","25","20.0","7","12","58.3","6","7","85.7","9","9","100.0","22","22","100.0"
"Isbel, Kyle",664728,"12","4","25","16.0","7","8","87.5","8","9","88.9","14","14","100.0","19","21","90.5"
"Mullins, Cedric",656775,"10","4","36","11.1","6","11","54.5","14","16","87.5","30","34","88.2","27","28","96.4"
"Kwan, Steven",680757,"9","2","26","7.7","5","6","83.3","17","21","81.0","23","25","92.0","31","31","100.0"
"McCormick, Chas",676801,"9","2","19","10.5","3","6","50.0","5","5","100.0","19","19","100.0","15","15","100.0"
"Rodríguez, Julio",677594,"8","4","14","28.6","2","3","66.7","4","6","66.7","27","29","93.1","18","19","94.7"
"Bradley Jr., Jackie",598265,"7","6","28","21.4","3","6","50.0","10","14","71.4","15","17","88.2","18","19","94.7"
"Azocar, José",640492,"7","2","6","33.3","6","6","100.0","3","5","60.0","13","13","100.0","12","13","92.3"
"Thomas, Alek",677950,"7","4","20","20.0","2","4","50.0","16","17","94.1","25","30","83.3","24","26","92.3"
"Taylor, Tyrone",621438,"7","0","16","0.0","2","5","40.0","13","15","86.7","13","14","92.9","21","21","100.0"
"Bader, Harrison",664056,"6","1","10","10.0","3","6","50.0","6","7","85.7","13","13","100.0","14","15","93.3"
"Peralta, David",444482,"6","2","24","8.3","2","3","66.7","9","11","81.8","17","18","94.4","17","18","94.4"
"Harris II, Michael",671739,"6","1","15","6.7","7","11","63.6","8","13","61.5","17","18","94.4","24","26","92.3"
"Marsh, Brandon",669016,"6","1","21","4.8","2","2","100.0","6","6","100.0","30","33","90.9","20","21","95.2"
