Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Tim Anderson","CHW",123,498,518,167,117,32,0,18,81,56,15,0,109,3,2,0,12,17,5,0.335341365,"Tim Anderson",15172,641313
"Christian Yelich","MIL",130,489,580,161,85,29,3,44,100,97,80,16,118,8,3,0,8,30,2,0.329243353,"Christian Yelich",11477,592885
"Ketel Marte","ARI",144,569,628,187,110,36,9,32,97,92,53,2,86,4,2,0,7,10,2,0.328646748,"Ketel Marte",13613,606466
"DJ LeMahieu","NYY",145,602,655,197,136,33,2,26,109,102,46,0,90,2,4,1,14,5,2,0.327242524,"DJ LeMahieu",9874,518934
"Anthony Rendon","WSN",146,545,646,174,93,44,3,34,117,126,80,8,86,12,9,0,13,5,1,0.319266055,"Anthony Rendon",12861,543685
"Jeff McNeil","NYM",133,510,567,162,100,38,1,23,83,75,35,2,75,21,1,0,5,5,6,0.317647058,"Jeff McNeil",15362,643446
"Yoán Moncada","CHW",132,511,559,161,97,34,5,25,83,79,40,2,154,4,3,1,1,10,3,0.315068493,"Yoan Moncada",17232,660162
"Nolan Arenado","COL",155,588,662,185,111,31,2,41,102,118,62,11,93,4,8,0,14,3,2,0.31462585,"Nolan Arenado",9777,571448
"Charlie Blackmon","COL",140,580,634,182,101,42,7,32,112,86,40,1,104,9,5,0,11,2,5,0.313793103,"Charlie Blackmon",7859,453568
"Bryan Reynolds","PIT",134,491,546,154,97,37,4,16,83,68,46,0,121,6,3,0,9,3,2,0.313645621,"Bryan Reynolds",19326,668804
"Michael Brantley","HOU",148,575,637,179,115,40,2,22,88,90,51,3,66,7,4,0,21,3,2,0.311304347,"Michael Brantley",4106,488726
"Rafael Devers","BOS",156,647,702,201,111,54,4,32,129,115,48,7,119,4,2,1,8,8,8,0.310664605,"Rafael Devers",17350,646240
"Nelson Cruz","MIN",120,454,521,141,74,26,0,41,81,108,56,8,131,7,3,0,14,0,1,0.310572687,"Nelson Cruz",2434,443558
"Xander Bogaerts","BOS",155,614,698,190,105,52,0,33,110,117,76,2,122,2,6,0,11,4,2,0.309446254,"Xander Bogaerts",12161,593428
"Kevin Newman","PIT",130,493,531,152,114,20,6,12,61,64,28,2,62,7,1,2,5,16,8,0.30831643,"Kevin Newman",17696,621028
"Hanser Alberto","BAL",139,524,550,160,125,21,2,12,62,51,16,1,50,4,3,3,9,4,4,0.305343511,"Hanser Alberto",11902,593643
"Cody Bellinger","LAD",156,558,660,170,86,34,3,47,121,115,95,21,108,3,4,0,10,15,5,0.304659498,"Cody Bellinger",15998,641355
"J.D. Martinez","BOS",146,575,657,175,104,33,2,36,98,105,72,9,138,4,5,0,19,2,0,0.304347826,"J.D. Martinez",6184,502110
"Whit Merrifield","KCR",162,681,735,206,139,41,10,16,105,74,45,5,126,5,4,0,8,20,10,0.302496328,"Whit Merrifield",11281,593160
"Jose Altuve","HOU",124,500,548,149,88,27,3,31,89,74,41,0,82,3,3,1,19,6,5,0.298,"Jose Altuve",5417,514888
"Yuli Gurriel","HOU",144,564,612,168,95,40,2,31,85,104,37,2,65,5,6,0,12,5,3,0.29787234,"Yuli Gurriel",19198,493329
"Trea Turner","WSN",122,521,569,155,94,37,5,19,96,57,43,2,113,3,2,0,10,35,5,0.297504798,"Trea Turner",16252,607208
"Alex Bregman","HOU",156,554,690,164,84,37,2,41,122,112,119,2,83,9,8,0,9,5,1,0.29602888,"Alex Bregman",17678,608324
"Ozzie Albies","ATL",160,640,702,189,114,43,8,24,102,86,54,6,112,4,4,0,2,15,4,0.2953125,"Ozzie Albies",16556,645277
"Starling Marte","PIT",132,539,586,159,99,31,6,23,97,82,25,1,94,16,4,2,15,25,6,0.294990723,"Starling Marte",9241,516782
"Freddie Freeman","ATL",158,597,692,176,102,34,2,38,113,121,87,11,127,6,2,0,17,6,3,0.29480737,"Freddie Freeman",5361,518692
"Mookie Betts","BOS",150,597,706,176,102,40,5,29,135,80,97,6,101,3,9,0,11,16,3,0.29480737,"Mookie Betts",13611,605141
"Jorge Polanco","MIN",153,631,704,186,117,40,7,22,107,79,60,2,116,4,7,2,11,4,3,0.294770206,"Jorge Polanco",13152,593871
"Trevor Story","COL",145,588,656,173,95,38,5,35,111,85,58,0,174,7,3,0,3,23,8,0.294217687,"Trevor Story",12564,596115
"Anthony Rizzo","CHC",146,512,613,150,91,29,3,27,89,94,71,3,86,27,3,0,15,5,2,0.29296875,"Anthony Rizzo",3473,519203
"George Springer","HOU",122,479,556,140,78,20,3,39,96,96,67,1,113,6,4,0,12,6,2,0.292275574,"George Springer",12856,543807
"Mike Trout","LAA",134,470,600,137,63,27,2,45,110,104,110,14,120,16,4,0,5,11,2,0.291489361,"Mike Trout",10155,545361
"Trey Mancini","BAL",154,602,679,175,100,38,2,35,106,97,63,3,143,9,5,0,22,1,0,0.290697674,"Trey Mancini",15149,641820
"Austin Meadows","TBR",138,530,591,154,85,29,7,33,83,89,54,6,131,7,0,0,3,12,7,0.290566037,"Austin Meadows",15672,640457
"David Fletcher","LAA",154,596,653,173,133,30,4,6,83,49,55,2,64,0,1,1,8,8,3,0.290268456,"David Fletcher",17992,664058
"Justin Turner","LAD",135,479,549,139,88,24,0,27,80,67,51,1,88,14,5,0,11,2,0,0.290187891,"Justin Turner",5235,457759
"Nick Castellanos","- - -",151,615,664,178,90,58,3,27,100,73,41,1,143,5,3,0,12,2,2,0.289430894,"Nick Castellanos",11737,592206
"Jose Iglesias","CIN",146,504,530,145,110,21,3,11,62,59,20,3,70,3,2,1,17,6,6,0.287698412,"Jose Iglesias",10231,578428
"Wilson Ramos","NYM",141,473,524,136,103,19,0,14,52,73,44,5,69,4,3,0,16,1,0,0.287526427,"Wilson Ramos",1433,467092
"Amed Rosario","NYM",157,616,655,177,125,30,7,15,75,72,31,2,124,3,3,2,13,19,10,0.287337662,"Amed Rosario",15518,642708
"Ryan Braun","MIL",144,459,508,131,76,31,2,22,70,75,34,1,105,8,3,0,15,11,1,0.28540305,"Ryan Braun",3410,460075
"Marcus Semien","OAK",162,657,747,187,104,43,7,33,123,92,87,2,102,2,1,0,11,10,8,0.284627092,"Marcus Semien",12533,543760
"Kolten Wong","STL",148,478,549,136,96,25,4,11,61,59,47,5,83,13,5,6,2,24,4,0.284518828,"Kolten Wong",12532,543939
"Francisco Lindor","CLE",143,598,654,170,96,40,2,32,101,74,46,9,98,3,6,1,13,22,5,0.284280936,"Francisco Lindor",12916,596019
"José Abreu","CHW",159,634,693,180,108,38,1,33,85,123,36,4,152,13,10,0,24,2,2,0.283911671,"Jose Abreu",15676,547989
"Miguel Rojas","MIA",132,483,526,137,102,29,1,5,52,46,32,2,62,5,5,1,15,9,5,0.283643892,"Miguel Rojas",7802,500743
"Danny Santana","TEX",130,474,511,134,77,23,6,28,81,81,25,2,151,6,5,0,8,21,6,0.282700421,"Danny Santana",10322,542454
"Juan Soto","WSN",150,542,659,153,82,32,5,34,110,110,108,3,132,3,6,0,11,12,1,0.282287822,"Juan Soto",20123,665742
"Avisaíl García","TBR",125,489,530,138,91,25,2,20,61,72,31,2,125,7,3,0,15,10,4,0.282208588,"Avisail Garcia",5760,541645
"Miguel Cabrera","DET",136,493,549,139,106,21,0,12,41,59,48,4,108,3,5,0,18,0,0,0.281947261,"Miguel Cabrera",1744,408234
"Kris Bryant","CHC",147,543,634,153,86,35,1,31,108,77,74,1,145,15,2,0,10,4,0,0.281767955,"Kris Bryant",15429,592178
"Carlos Santana","CLE",158,573,686,161,96,30,1,34,110,93,108,12,108,3,2,0,13,4,0,0.280977312,"Carlos Santana",2396,467793
"Javier Báez","CHC",138,531,561,149,78,38,4,29,89,85,28,3,156,0,2,0,16,11,7,0.280602636,"Javier Baez",12979,595879
"Ronald Acuña Jr.","ATL",156,626,715,175,110,22,2,41,127,101,76,4,188,9,1,0,8,37,9,0.279552715,"Ronald Acuna Jr.",18401,660670
"Jean Segura","PHI",144,576,618,161,108,37,4,12,79,60,30,1,73,8,3,1,11,10,2,0.279513888,"Jean Segura",5933,516416
"César Hernández","PHI",161,612,667,171,123,31,3,14,77,71,45,4,100,6,4,0,9,9,2,0.279411764,"Cesar Hernandez",10556,514917
"Hunter Dozier","KCR",139,523,586,146,81,29,10,26,75,84,55,2,148,3,5,0,9,2,2,0.279158699,"Hunter Dozier",15117,641531
"Adam Eaton","WSN",151,566,656,158,111,25,7,15,103,49,65,0,106,13,3,9,8,15,3,0.279151943,"Adam Eaton",11205,594809
"Leury García","CHW",140,577,618,161,123,27,3,8,93,40,21,0,139,6,3,11,6,15,5,0.279029462,"Leury Garcia",5913,544725
"Gleyber Torres","NYY",144,546,604,152,88,26,0,38,96,90,48,3,129,3,6,1,10,5,2,0.278388278,"Gleyber Torres",16997,650402
"Adam Frazier","PIT",152,554,608,154,104,33,7,10,80,50,40,4,75,9,1,4,6,5,5,0.277978339,"Adam Frazier",15223,624428
"Josh Bell","PIT",143,527,613,146,69,37,3,37,94,116,74,13,118,5,7,0,11,0,1,0.277039848,"Josh Bell",13145,605137
"Colin Moran","PIT",149,466,503,129,85,30,1,13,46,80,30,4,117,3,4,0,13,0,1,0.276824034,"Colin Moran",16909,592567
"Christian Vázquez","BOS",138,482,521,133,83,26,1,23,66,72,33,3,101,0,3,3,17,4,2,0.275933609,"Christian Vazquez",9774,543877
"Eddie Rosario","MIN",137,562,590,155,94,28,1,32,91,109,22,2,86,0,6,0,10,3,1,0.275800711,"Eddie Rosario",12155,592696
"Josh Reddick","HOU",141,501,550,138,102,19,3,14,57,56,36,1,66,0,9,1,9,5,2,0.275449101,"Josh Reddick",3892,502210
"J.T. Realmuto","PHI",145,538,593,148,84,36,3,25,92,83,41,2,123,5,8,0,12,9,1,0.275092936,"J.T. Realmuto",11739,592663
"Elvis Andrus","TEX",147,600,648,165,122,27,4,12,81,72,34,1,96,4,10,0,16,31,8,0.275,"Elvis Andrus",8709,462101
"Jonathan Villar","BAL",162,642,714,176,114,33,5,24,111,73,61,0,176,4,4,2,8,40,9,0.274143302,"Jonathan Villar",10071,542340
"Tommy Pham","TBR",145,567,654,155,99,33,2,21,77,68,81,4,123,5,1,0,22,25,4,0.273368606,"Tommy Pham",2967,502054
"Corey Seager","LAD",134,489,541,133,69,44,1,19,82,87,44,3,98,4,4,0,8,1,0,0.27198364,"Corey Seager",13624,608369
"Vladimir Guerrero Jr.","TOR",123,464,514,126,83,26,2,15,52,69,46,0,91,2,2,0,17,0,1,0.271551724,"Vladimir Guerrero Jr.",19611,665489
"Eugenio Suárez","CIN",159,575,662,156,83,22,2,49,87,103,70,4,189,11,6,0,12,3,2,0.271304347,"Eugenio Suarez",12552,553993
"Starlin Castro","MIA",162,636,676,172,115,31,4,22,68,86,28,2,111,3,9,0,23,2,2,0.270440251,"Starlin Castro",4579,516770
"Eduardo Escobar","ARI",158,636,699,171,97,29,10,35,94,118,50,3,130,3,10,0,8,5,1,0.268867924,"Eduardo Escobar",6153,500871
"Eloy Jiménez","CHW",122,468,504,125,74,18,2,31,69,79,30,0,134,4,2,0,11,0,0,0.267094017,"Eloy Jimenez",17484,650391
"Matt Olson","OAK",127,483,547,129,67,26,0,36,73,91,51,7,138,12,1,0,11,0,0,0.267080745,"Matt Olson",14344,621566
"Yasiel Puig","- - -",149,555,611,148,92,30,2,24,76,84,44,1,133,8,4,0,13,19,7,0.266666666,"Yasiel Puig",14225,624577
"Alex Gordon","KCR",150,556,633,148,103,31,1,13,77,76,51,4,100,19,6,1,13,5,3,0.26618705,"Alex Gordon",5209,460086
"Andrew Benintendi","BOS",138,541,615,144,86,40,5,13,72,68,59,1,140,7,5,3,6,10,3,0.266173752,"Andrew Benintendi",17901,643217
"Eric Hosmer","SDP",160,619,667,164,111,29,2,22,72,99,40,3,163,3,5,0,12,0,3,0.264943457,"Eric Hosmer",3516,543333
"Jorge Soler","KCR",162,589,679,156,74,33,1,48,95,117,73,3,178,10,4,0,16,3,1,0.264855687,"Jorge Soler",14221,624585
"Shin-Soo Choo","TEX",151,563,660,149,92,31,2,24,93,61,78,3,165,18,1,0,6,15,1,0.264653641,"Shin-Soo Choo",3174,425783
"Luke Voit","NYY",118,429,510,113,70,21,1,21,72,62,71,2,142,9,1,0,12,0,0,0.263403263,"Luke Voit",14811,572228
"Brian Anderson","MIA",126,459,520,120,66,33,1,20,57,66,44,1,114,14,3,0,15,5,1,0.261437908,"Brian Anderson",18289,605119
"Joey Votto","CIN",142,525,608,137,89,32,1,15,79,47,76,2,123,4,3,0,14,5,0,0.26095238,"Joey Votto",4314,458015
"Freddy Galvis","- - -",147,557,589,145,93,28,1,23,67,70,28,1,145,1,2,1,14,4,2,0.260323159,"Freddy Galvis",6609,520471
"Bryce Harper","PHI",157,573,682,149,77,36,1,35,98,114,99,11,178,6,4,0,10,15,3,0.260034904,"Bryce Harper",11579,547180
"Adam Jones","ARI",137,485,528,126,84,25,1,16,66,67,31,2,101,8,3,0,15,2,1,0.259793814,"Adam Jones",6368,430945
"Lorenzo Cain","MIL",148,562,623,146,105,30,0,11,75,48,50,0,106,6,4,0,14,18,8,0.259786476,"Lorenzo Cain",9077,456715
"Paul Goldschmidt","STL",161,597,682,155,95,25,1,34,97,97,78,2,166,2,3,0,11,3,1,0.25963149,"Paul Goldschmidt",9218,502671
"Pete Alonso","NYM",161,597,693,155,70,30,2,53,103,120,72,6,183,21,3,0,13,1,0,0.25963149,"Pete Alonso",19251,624413
"Asdrúbal Cabrera","- - -",131,447,514,116,72,25,1,18,69,91,57,2,103,3,7,0,9,4,0,0.259507829,"Asdrubal Cabrera",4962,452678
"Christian Walker","ARI",152,529,603,137,81,26,1,29,86,73,67,6,155,6,1,0,11,8,1,0.258979206,"Christian Walker",13419,572233
"Josh Donaldson","ATL",155,549,659,142,72,33,0,37,96,94,100,2,155,8,2,0,13,4,2,0.258652094,"Josh Donaldson",5038,518626
"Kevin Pillar","- - -",161,611,645,158,97,37,3,21,83,88,18,4,89,9,7,0,15,14,5,0.258592471,"Kevin Pillar",12434,607680
"Michael Conforto","NYM",151,549,648,141,78,29,1,33,90,92,84,5,149,10,5,0,11,7,2,0.256830601,"Michael Conforto",16376,624424
"Manny Machado","SDP",156,587,661,150,95,21,2,32,81,85,65,3,128,6,3,0,24,5,3,0.255536626,"Manny Machado",11493,592518
"José Ramírez","CLE",129,482,542,123,64,33,3,23,68,83,52,3,74,2,6,0,8,24,4,0.255186721,"Jose Ramirez",13510,608070
"Victor Robles","WSN",155,546,617,139,86,33,3,17,86,65,35,3,140,25,5,6,6,28,9,0.254578754,"Victor Robles",18363,645302
"Mike Moustakas","MIL",143,523,584,133,67,30,1,35,80,87,53,5,98,6,2,0,12,3,0,0.254302103,"Mike Moustakas",4892,519058
"Willy Adames","TBR",152,531,584,135,89,25,1,20,69,52,46,1,153,3,1,3,9,4,2,0.254237288,"Willy Adames",15986,642715
"Evan Longoria","SFG",129,453,508,115,74,19,2,20,59,69,43,1,112,7,5,0,14,3,1,0.253863134,"Evan Longoria",9368,446334
"Nick Ahmed","ARI",158,556,625,141,83,33,6,19,79,82,52,2,113,4,12,1,15,8,2,0.253597122,"Nick Ahmed",12147,605113
"Domingo Santana","SEA",121,451,507,114,72,20,1,21,63,69,50,1,164,2,2,0,11,8,3,0.252771618,"Domingo Santana",10348,570267
"Yolmer Sánchez","CHW",149,496,555,125,99,20,4,2,59,43,44,1,117,5,3,7,7,5,4,0.252016129,"Yolmer Sanchez",11602,570560
"Max Kepler","MIN",134,524,596,132,64,32,0,36,98,90,60,0,99,8,4,0,5,1,5,0.251908396,"Max Kepler",12144,596146
"Jason Heyward","CHC",147,513,589,129,84,20,4,21,78,62,68,5,110,5,3,0,12,8,3,0.251461988,"Jason Heyward",4940,518792
"Dansby Swanson","ATL",127,483,545,121,75,26,3,17,77,65,51,2,124,5,5,1,7,10,5,0.250517598,"Dansby Swanson",18314,621020
"Max Muncy","LAD",141,487,589,122,64,22,1,35,101,98,90,1,149,8,4,0,5,4,1,0.250513347,"Max Muncy",13301,571970
"Brett Gardner","NYY",141,491,550,123,62,26,7,28,86,74,52,0,108,4,3,0,6,10,2,0.250509164,"Brett Gardner",9927,458731
"Ryan McMahon","COL",141,480,539,120,73,22,1,24,70,83,56,1,160,1,1,1,14,5,1,0.25,"Ryan McMahon",15112,641857
"Kyle Schwarber","CHC",155,529,610,132,62,29,3,38,82,92,70,5,156,5,6,0,6,2,3,0.24952741,"Kyle Schwarber",16478,656941
"Franmil Reyes","- - -",150,494,548,123,67,19,0,37,69,81,47,1,156,0,7,0,15,0,0,0.248987854,"Franmil Reyes",14566,614177
"Joc Pederson","LAD",149,450,514,112,57,16,3,36,83,74,50,2,111,12,2,0,4,1,1,0.248888888,"Joc Pederson",11899,592626
"Matt Chapman","OAK",156,583,670,145,70,36,3,36,102,91,73,0,147,11,3,0,12,1,1,0.24871355,"Matt Chapman",16505,656305
"Yasmani Grandal","MIL",153,513,632,126,70,26,2,28,79,77,109,2,139,5,5,0,16,5,1,0.245614035,"Yasmani Grandal",11368,518735
"Jason Kipnis","CLE",121,458,511,112,71,23,1,17,52,65,40,2,88,2,6,5,7,7,2,0.244541484,"Jason Kipnis",9776,543401
"Albert Pujols","LAA",131,491,545,120,75,22,0,23,55,93,43,1,68,3,8,0,21,3,0,0.244399185,"Albert Pujols",1177,405395
"Renato Núñez","BAL",151,541,599,132,77,24,0,31,72,90,44,1,143,10,4,0,9,1,1,0.243992606,"Renato Nunez",14503,600524
"Marcell Ozuna","STL",130,485,549,117,64,23,1,29,80,89,62,2,114,1,1,0,21,12,2,0.241237113,"Marcell Ozuna",10324,542303
"Dexter Fowler","STL",150,487,574,116,72,24,1,19,69,67,74,1,142,8,4,1,6,8,5,0.238193018,"Dexter Fowler",4062,451594
"Brandon Belt","SFG",156,526,616,123,71,32,3,17,76,57,83,3,127,3,4,0,6,4,3,0.233840304,"Brandon Belt",10264,474832
"Paul DeJong","STL",159,583,664,136,74,31,1,30,97,78,62,1,149,13,6,0,15,9,5,0.233276157,"Paul DeJong",18015,657557
"Randal Grichuk","TOR",151,586,628,136,71,29,5,31,75,80,35,0,163,5,2,0,20,2,1,0.232081911,"Randal Grichuk",10243,545341
"Kole Calhoun","LAA",152,552,632,128,65,29,1,33,92,74,70,7,162,7,2,0,14,4,1,0.231884057,"Kole Calhoun",11200,594777
"Brandon Crawford","SFG",147,500,560,114,77,24,2,11,58,59,53,5,117,3,4,0,10,3,2,0.228,"Brandon Crawford",5343,543063
"Mallex Smith","SEA",134,510,566,116,82,19,9,6,70,37,42,0,141,11,1,2,7,46,9,0.22745098,"Mallex Smith",13608,605480
"Rhys Hoskins","PHI",160,570,705,129,62,33,5,29,86,85,116,6,173,11,6,0,10,2,2,0.226315789,"Rhys Hoskins",16472,656555
"Jackie Bradley Jr.","BOS",147,494,567,111,59,28,3,21,69,62,56,3,155,12,2,3,6,8,6,0.224696356,"Jackie Bradley Jr.",12984,598265
"Orlando Arcia","MIL",152,494,546,110,78,16,1,15,51,59,43,5,109,1,6,2,15,8,5,0.222672064,"Orlando Arcia",13185,606115
"Khris Davis","OAK",133,481,533,106,72,11,0,23,61,73,47,3,146,3,2,0,11,0,0,0.22037422,"Khris Davis",9112,501981
"Jurickson Profar","OAK",139,459,518,100,54,24,2,20,65,67,48,2,75,8,3,0,12,9,1,0.217864923,"Jurickson Profar",10815,595777
"Daniel Vogelbach","SEA",144,462,558,96,49,17,0,30,73,76,92,2,149,2,2,0,4,0,0,0.207792207,"Daniel Vogelbach",14130,596129
"Rougned Odor","TEX",145,522,581,107,46,30,1,30,77,93,52,2,178,5,1,1,4,11,9,0.204980842,"Rougned Odor",12282,596059
