"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Hamilton, Billy",571740,"22","12","23","52.2","8","10","80.0","11","13","84.6","17","19","89.5","23","24","95.8"
"Inciarte, Ender",542255,"20","8","26","30.8","5","10","50.0","18","20","90.0","31","33","93.9","25","25","100.0"
"Eaton, Adam",594809,"18","10","35","28.6","7","16","43.8","16","18","88.9","29","34","85.3","38","38","100.0"
"Betts, Mookie",605141,"15","4","28","14.3","6","10","60.0","13","15","86.7","31","32","96.9","28","29","96.6"
"Heyward, Jason",518792,"14","4","27","14.8","5","6","83.3","10","10","100.0","20","20","100.0","23","23","100.0"
"Kepler, Max",596146,"14","10","28","35.7","3","4","75.0","11","14","78.6","21","23","91.3","17","18","94.4"
"Marisnick, Jake",545350,"14","6","23","26.1","6","7","85.7","11","11","100.0","21","22","95.5","15","16","93.8"
"Kiermaier, Kevin",595281,"13","5","12","41.7","4","5","80.0","14","15","93.3","13","14","92.9","15","15","100.0"
"Bradley Jr., Jackie",598265,"12","5","37","13.5","8","10","80.0","14","18","77.8","24","26","92.3","20","21","95.2"
"Martin, Leonys",547982,"11","7","36","19.4","4","8","50.0","18","23","78.3","21","24","87.5","24","26","92.3"
"Pillar, Kevin",607680,"11","3","28","10.7","8","11","72.7","15","19","78.9","21","24","87.5","33","35","94.3"
"Buxton, Byron",621439,"9","3","17","17.6","3","4","75.0","8","11","72.7","21","22","95.5","13","14","92.9"
"Bourjos, Peter",488721,"9","2","17","11.8","3","6","50.0","14","18","77.8","21","22","95.5","13","13","100.0"
"Orlando, Paulo",449181,"8","4","24","16.7","4","8","50.0","9","13","69.2","17","17","100.0","25","26","96.2"
"Cain, Lorenzo",456715,"7","4","27","14.8","0","3","0.0","8","12","66.7","19","20","95.0","25","25","100.0"
"Jankowski, Travis",608671,"7","3","16","18.8","2","4","50.0","7","9","77.8","20","23","87.0","22","22","100.0"
"Yelich, Christian",592885,"6","3","34","8.8","1","2","50.0","12","17","70.6","32","37","86.5","19","20","95.0"
"Dyson, Jarrod",502481,"5","3","11","27.3","2","3","66.7","7","8","87.5","15","17","88.2","23","24","95.8"
"Puig, Yasiel",624577,"5","5","26","19.2","4","9","44.4","6","8","75.0","14","16","87.5","10","11","90.9"
"Herrera, Odúbel",546318,"5","5","33","15.2","3","7","42.9","12","17","70.6","31","34","91.2","30","34","88.2"
"Rosario, Eddie",592696,"4","2","19","10.5","1","2","50.0","4","6","66.7","17","17","100.0","14","15","93.3"
"Davis, Khris",501981,"4","0","14","0.0","4","6","66.7","2","4","50.0","16","16","100.0","13","14","92.9"
"Jones, Adam",430945,"4","2","32","6.3","2","6","33.3","13","20","65.0","24","29","82.8","28","28","100.0"
"Polanco, Gregory",570256,"4","2","29","6.9","4","6","66.7","8","13","61.5","22","26","84.6","16","16","100.0"
"Revere, Ben",519184,"4","2","12","16.7","1","4","25.0","5","7","71.4","8","9","88.9","21","21","100.0"
"Ellsbury, Jacoby",453056,"4","4","26","15.4","1","7","14.3","3","5","60.0","25","27","92.6","21","21","100.0"
"Souza Jr., Steven",519306,"4","4","20","20.0","1","4","25.0","4","6","66.7","21","25","84.0","17","17","100.0"
"Rasmus, Colby",458675,"3","0","14","0.0","0","3","0.0","6","6","100.0","14","15","93.3","17","18","94.4"
"Gardner, Brett",458731,"3","1","22","4.5","1","5","20.0","8","12","66.7","24","26","92.3","19","20","95.0"
"Piscotty, Stephen",572039,"3","3","18","16.7","1","9","11.1","12","16","75.0","17","19","89.5","28","29","96.6"
"Gordon, Alex",460086,"3","1","18","5.6","2","7","28.6","8","11","72.7","14","15","93.3","17","17","100.0"
"Smolinski, Jake",519295,"2","0","11","0.0","2","7","28.6","6","12","50.0","23","24","95.8","17","17","100.0"
"Duvall, Adam",594807,"2","1","28","3.6","5","5","100.0","13","19","68.4","17","20","85.0","26","28","92.9"
"Pederson, Joc",592626,"2","0","13","0.0","0","5","0.0","8","13","61.5","18","19","94.7","22","22","100.0"
"Desmond, Ian",435622,"2","1","29","3.4","0","2","0.0","15","19","78.9","36","39","92.3","20","21","95.2"
"Granderson, Curtis",434158,"2","3","31","9.7","1","6","16.7","9","16","56.3","21","23","91.3","23","25","92.0"
"Reddick, Josh",502210,"2","4","13","30.8","1","5","20.0","7","9","77.8","14","15","93.3","21","23","91.3"
"Springer, George",543807,"2","4","36","11.1","2","8","25.0","11","15","73.3","21","26","80.8","23","25","92.0"
"Guyer, Brandon",446386,"1","1","10","10.0","1","4","25.0","4","5","80.0","13","15","86.7","11","13","84.6"
"Nieuwenhuis, Kirk",543590,"1","1","19","5.3","1","6","16.7","7","9","77.8","18","20","90.0","14","15","93.3"
"Upton, B.J.",425834,"1","0","16","0.0","3","5","60.0","10","15","66.7","20","27","74.1","25","25","100.0"
"Bourn, Michael",456422,"1","1","16","6.3","2","6","33.3","7","11","63.6","17","20","85.0","19","22","86.4"
"Stanton, Giancarlo",519317,"1","2","27","7.4","2","4","50.0","8","10","80.0","24","28","85.7","23","25","92.0"
"Burns, Billy",542993,"0","0","17","0.0","0","1","0.0","2","4","50.0","12","15","80.0","15","15","100.0"
"Bruce, Jay",457803,"0","1","35","2.9","2","6","33.3","13","17","76.5","18","23","78.3","27","29","93.1"
