Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Chris Owings","NYY","AAA",30,208,0.086538461,0.25,0.346153846,0.235294117,0.302884615,0.411764705,0.71464932,0.176470588,5.170947111122716,0.279069767,-0.2726007988676429,23.873404929910617,-3.4499543211117234,0.31526686681004673,88.60823192164776,"10030"
"Tomas Telis","LAD","AAA",31,313,0.095846645,0.099041533,0.967741935,0.287272727,0.365384615,0.341818181,0.707202796,0.054545454,1.3870160150000002,0.31557377,-0.4680110546760261,39.62818621823642,-6.414869852568173,0.328000107445778,91.07456524662254,"10067"
"Jonathan Villar","SEA","AAA",31,155,0.064516129,0.219354838,0.294117647,0.28275862,0.329032258,0.496551724,0.825583982,0.213793104,7.415980573081052,0.333333333,0.30503962840884924,22.91603354150022,0.11515912944043373,0.3509374472402757,104.2255598547986,"10071"
"Billy Hamilton","MIA","AAA",31,106,0.094339622,0.29245283,0.322580645,0.1875,0.264150943,0.229166666,0.493317609,0.041666666,6.340370415978267,0.276923076,0.8878742638044059,4.421224286434306,-10.998490536930905,0.23613897078442123,32.36264987665471,"10199"
"Jon Singleton","MIL","AAA",30,581,0.201376936,0.277108433,0.726708074,0.219298245,0.375215146,0.434210526,0.809425672,0.214912281,3.606747519294573,0.273381294,-1.1447817021980882,90.41443582007257,14.092937142938048,0.36347132684855626,121.38421903421383,"10441"
"Derek Dietrich","NYY","AAA",32,154,0.045454545,0.266233766,0.170731707,0.25,0.318181818,0.426470588,0.744652406,0.176470588,3.15601503375,0.326315789,-0.2437897026538849,19.347859782483365,-0.8819350476004827,0.3280837284280108,96.87769716461048,"10542"
"David Freitas","NYY","AAA",33,127,0.094488188,0.181102362,0.52173913,0.238938053,0.309523809,0.345132743,0.654656552,0.10619469,0.7002895712499999,0.280898876,-0.23617127444595098,12.696182550089077,-3.9868300695255248,0.29779206807651215,77.33345615655779,"10619"
"Carlos Perez","COL","AAA",31,522,0.103448275,0.191570881,0.54,0.254385964,0.340996168,0.524122807,0.865118975,0.269736843,1.9962744025,0.258358662,-0.536168004386127,83.8197652923284,7.032304369133515,0.36468498231807434,100.08419857291355,"10642"
"Rob Brantly","NYY","AAA",32,201,0.054726368,0.15920398,0.34375,0.269230769,0.333333333,0.351648351,0.684981684,0.082417582,3.6883492272806975,0.32,-0.2190135484561324,22.82710059397868,-3.576722528403481,0.3138407492519018,87.68809796600536,"10655"
"Ryan LaMarre","NYY","AAA",33,186,0.112903225,0.225806451,0.5,0.296774193,0.40860215,0.458064516,0.866666666,0.161290323,5.233071401149983,0.376146788,0.02074121218174696,33.31626784097573,8.882879279965376,0.3912084089812412,137.6058697366245,"10700"
"Andrelton Simmons","CHC","AAA",32,50,0.08,0.26,0.307692307,0.133333333,0.22,0.2,0.42,0.066666667,2.8258541335748233,0.161290322,-0.7907189670950174,1.014934979263897,-5.553180225308781,0.2037602710723877,8.849093259920764,"10847"
"Phil Gosselin","ATL","AAA",33,204,0.078431372,0.196078431,0.4,0.296703296,0.357843137,0.472527472,0.830370609,0.175824176,5.992398742299075,0.35,0.3962233169004321,31.85957158464801,5.061661549991488,0.36412721434060263,121.86932069195286,"10953"
"Elliot Soto","MIN","AAA",32,344,0.116279069,0.223837209,0.519480519,0.222591362,0.319767441,0.342192691,0.661960132,0.119601329,6.374703638912102,0.286363636,0.702784713357687,36.48170108236087,-8.706931525099153,0.30496976230033607,77.19754592021569,"11155"
"Adrian Sanchez","WSN","AAA",31,262,0.06870229,0.194656488,0.352941176,0.238683127,0.291187739,0.349794238,0.640981977,0.111111111,5.425776225133562,0.294736842,-0.27628088649362326,24.115970429182738,-10.30095324277809,0.2884394873604464,70.1320690366094,"11338"
"Jake Marisnick","ATL","AAA",31,105,0.047619047,0.295238095,0.161290322,0.239583333,0.304761904,0.322916666,0.62767857,0.083333333,7.393237773617351,0.34375,0.737035115249455,9.72767983414107,-4.065362095461554,0.28914631548381986,72.96949172252998,"11339"
"Delino DeShields","ATL","AAA",29,426,0.180751173,0.272300469,0.663793103,0.219584569,0.367298578,0.264094955,0.631393533,0.044510386,5.5793038766418235,0.325892857,0.8882425148040056,47.54149322010629,-8.418848322852925,0.31151812181088595,87.92582694863756,"11379"
"Drew Maggi","PHI","AAA",33,346,0.115606936,0.242774566,0.476190476,0.212328767,0.32361516,0.273972602,0.597587762,0.061643835,6.595565357110329,0.295238095,1.3975310940295458,31.48914247708653,-13.962214738556394,0.2871551405931701,68.97711089960985,"11381"
"Tony Wolters","LAD","AAA",30,234,0.111111111,0.247863247,0.448275862,0.230392156,0.32051282,0.284313725,0.604826545,0.053921569,2.3158023400000003,0.317567567,-0.29534678207710385,20.423970446776167,-13.997994794656023,0.2855273057252933,64.32942998863591,"11470"
"Dixon Machado","CHC","AAA",30,522,0.101532567,0.122605363,0.828125,0.290672451,0.371647509,0.390455531,0.76210304,0.09978308,4.080072921284904,0.326530612,-0.5153538915328681,73.73782452667464,3.104747188336736,0.34713053623378504,103.47981633752202,"11472"
"Yolmer Sanchez","BOS","AAA",30,396,0.151515151,0.217171717,0.697674418,0.246153846,0.372151898,0.393846153,0.765998051,0.147692307,4.322632603229049,0.301724137,-0.1562418546527624,56.81529086923428,4.795818449018674,0.3490750777509073,107.93558892915638,"11602"
"Stefen Romero","LAD","AAA",33,120,0.091666666,0.2,0.458333333,0.264705882,0.352941176,0.431372549,0.784313725,0.166666667,4.074226507024941,0.311688311,0.0591423069126904,17.115666062831565,-0.5366238045695566,0.34530529505064506,101.9716467766545,"11746"
