Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Alan Trejo","COL","AAA",27,12,46,54,17,11,4,1,1,9,4,7,0,12,1,0,0,0,2,1,0.369565217,"20056"
"Mark Contreras","MIN","AAA",28,90,340,381,93,65,17,1,10,52,54,36,0,99,5,0,0,3,23,8,0.273529411,"20122"
"Matthew Batten","SDP","AAA",28,86,353,413,83,50,20,1,12,71,50,55,0,99,3,2,0,4,27,4,0.235127478,"20157"
"J.J. Matijevic","HOU","AAA",27,118,435,495,106,58,26,6,16,66,76,54,0,122,3,3,0,12,8,1,0.24367816,"20165"
"Miguel Vargas","LAD","AAA",23,60,236,285,68,43,15,0,10,45,43,46,0,57,2,1,0,7,8,0,0.288135593,"20178"
"Jo Adell","LAA","AAA",24,74,278,330,76,37,15,0,24,62,57,40,3,87,7,3,0,7,9,1,0.273381294,"20220"
"Gilberto Celestino","MIN","AAA",24,55,185,233,45,28,11,2,4,31,31,42,0,37,4,1,1,12,4,2,0.243243243,"20233"
"Kevin Smith","OAK","AAA",26,42,170,183,55,31,8,0,16,41,46,13,0,49,0,0,0,1,9,2,0.323529411,"20242"
"Jonathan Arauz","NYM","AAA",24,100,352,415,84,53,14,3,14,59,53,55,0,90,2,6,0,6,2,0,0.238636363,"20275"
"Ben Rortvedt","NYY","AAA",25,29,105,124,30,19,5,0,6,19,22,16,0,31,3,0,0,1,2,0,0.285714285,"20287"
"Corey Julks","HOU","AAA",27,27,104,129,25,9,12,1,3,26,11,24,0,23,1,0,0,7,6,1,0.240384615,"20311"
"Stuart Fairchild","CIN","AAA",27,24,94,114,26,19,2,1,4,19,13,11,0,27,6,1,2,2,3,1,0.276595744,"20321"
"Alex Kirilloff","MIN","AAA",25,16,65,73,24,15,4,0,5,14,18,6,0,13,2,0,0,0,2,1,0.369230769,"20325"
"Luis Gonzalez","SFG","AAA",27,27,94,110,24,17,5,1,1,14,6,13,0,20,2,1,0,4,6,2,0.255319148,"20332"
"Ernie Clement","TOR","AAA",27,72,287,320,100,67,21,1,11,57,58,26,0,16,1,3,3,5,12,2,0.348432055,"20352"
"Luis Garcia Jr.","WSN","AAA",23,25,97,108,26,17,8,0,1,15,13,8,0,13,0,3,0,4,2,0,0.268041237,"20391"
"Jared Young","CHC","AAA",27,90,310,376,96,57,16,2,21,71,72,50,1,84,10,4,2,6,7,3,0.309677419,"20404"
"Royce Lewis","MIN","AAA",24,12,45,51,16,9,1,0,6,11,13,5,0,13,0,1,0,1,3,1,0.355555555,"20437"
"Brewer Hicklen","PHI","AAA",27,72,242,286,57,27,17,3,10,52,33,36,1,70,7,1,0,5,21,3,0.23553719,"20450"
"Irving Lopez","STL","AAA",28,19,54,69,17,9,6,0,2,12,10,14,0,12,1,0,0,1,0,0,0.314814814,"20463"
"Seth Beer","ARI","AAA",26,19,70,79,14,10,2,0,2,5,12,6,0,23,1,2,0,2,0,0,0.2,"20493"
"Drew Waters","KCR","AAA",24,13,52,58,17,7,6,2,2,12,6,6,0,13,0,0,0,3,2,0,0.326923076,"20505"
"Jack Larsen","SEA","AAA",28,32,100,129,27,24,3,0,0,15,10,26,1,32,2,0,1,0,1,1,0.27,"20510"
"Nick Madrigal","CHC","AAA",26,16,59,70,25,15,6,3,1,18,7,8,0,7,3,0,0,2,0,0,0.423728813,"20521"
"Nolan Jones","COL","AAA",25,39,149,187,53,26,13,2,12,38,42,33,0,43,4,1,0,3,5,0,0.355704697,"20529"
"Vidal Brujan","TBR","AAA",25,59,239,276,65,40,11,4,10,41,32,31,0,49,4,2,0,3,19,14,0.271966527,"20536"
"Jose Miranda","MIN","AAA",25,39,161,181,41,31,6,1,3,24,23,15,0,29,3,2,0,6,2,0,0.254658385,"20538"
"Elehuris Montero","COL","AAA",24,35,142,163,51,30,6,0,15,32,48,14,0,28,2,5,0,2,0,1,0.359154929,"20543"
"CJ Alexander","KCR","AAA",26,86,286,314,63,32,17,1,13,44,34,24,0,94,1,3,0,5,4,2,0.22027972,"20557"
"Kody Clemens","PHI","AAA",27,62,234,279,60,28,10,4,18,51,52,43,0,58,1,1,0,3,7,3,0.256410256,"20572"
"Ivan Herrera","STL","AAA",23,83,290,375,86,48,27,1,10,66,60,75,0,77,8,2,0,4,11,2,0.296551724,"20599"
"Logan Porter","KCR","AAA",27,110,379,448,88,59,16,0,13,52,48,60,0,113,4,5,0,12,1,1,0.232189973,"20626"
"Carlos Perez","CHW","AAA",26,77,287,312,69,45,12,0,12,31,34,19,0,41,4,2,0,6,0,0,0.240418118,"20805"
"Dermis Garcia","OAK","AAA",25,45,171,198,45,24,8,1,12,29,29,22,0,63,4,1,0,7,3,0,0.263157894,"20926"
"Oscar Gonzalez","CLE","AAA",25,83,335,362,96,56,23,4,13,49,64,19,0,83,2,6,0,7,2,0,0.286567164,"20970"
"Trey Cabbage","LAA","AAA",26,107,418,474,128,70,25,3,30,83,89,45,1,142,6,3,2,6,32,3,0.306220095,"21078"
"Alejo Lopez","CIN","AAA",27,125,466,558,136,97,30,2,7,76,43,79,1,76,8,3,0,18,18,4,0.291845493,"21127"
"Sean Bouchard","COL","AAA",27,16,54,71,12,9,2,0,1,11,6,17,0,14,0,0,0,1,5,0,0.222222222,"21270"
"Dalton Guthrie","PHI","AAA",27,80,299,343,82,60,15,3,4,36,32,33,0,73,9,1,1,5,7,4,0.274247491,"21293"
"Mark Kolozsvary","BAL","AAA",27,26,82,91,14,9,2,0,3,11,11,6,0,31,3,0,0,2,1,0,0.170731707,"21304"
"Michael Papierski","DET","AAA",27,77,256,305,68,45,14,1,8,43,51,42,1,65,3,4,0,7,0,0,0.265625,"21386"
"Brandon Lockridge","NYY","AAA",26,59,184,211,53,42,9,1,1,28,12,22,0,52,2,0,3,5,23,3,0.288043478,"21496"
"Luken Baker","STL","AAA",26,84,314,380,105,50,22,0,33,71,98,59,1,76,3,4,0,9,0,0,0.334394904,"21497"
"Trevor Larnach","MIN","AAA",26,72,262,323,71,41,14,1,15,56,47,50,1,90,3,8,0,5,2,2,0.270992366,"21501"
"Joey Bart","SFG","AAA",26,60,206,244,51,33,12,0,6,33,28,30,0,69,6,2,0,4,1,0,0.247572815,"21524"
"Connor Kaiser","COL","AAA",26,90,307,363,73,45,14,5,9,64,39,52,0,96,3,1,0,4,16,3,0.237785016,"21535"
"Coco Montes","COL","AAA",26,107,436,507,138,85,26,5,22,96,89,59,0,130,6,6,0,14,11,6,0.316513761,"21547"
"Alfonso Rivas III","SDP","AAA",26,58,208,260,69,38,19,3,9,54,40,49,0,50,2,1,0,4,8,0,0.331730769,"21560"
"Cesar Salazar","HOU","AAA",27,57,173,222,33,23,8,0,2,21,16,31,0,33,16,1,1,5,3,0,0.190751445,"21587"
"Jake McCarthy","ARI","AAA",25,45,197,221,71,46,13,3,9,42,36,17,0,29,4,3,0,2,15,4,0.360406091,"21622"
"Griffin Conine","MIA","AAA",25,23,80,91,18,13,2,1,2,8,10,9,0,35,0,2,0,0,1,0,0.225,"21626"
"Ford Proctor","SFG","AAA",26,74,230,284,53,41,6,0,6,38,29,46,0,60,2,4,2,5,3,0,0.230434782,"21634"
"Nick Maton","DET","AAA",26,38,140,175,41,25,12,1,3,32,27,27,0,37,4,3,1,1,3,1,0.292857142,"21635"
"Rafael Marchan","PHI","AAA",24,51,175,207,52,34,13,3,2,27,30,24,0,20,5,3,0,3,1,2,0.297142857,"21646"
"Luis De Los Santos","TOR","AAA",25,65,214,255,47,27,12,1,7,33,40,32,0,54,7,2,0,7,1,0,0.219626168,"21682"
"Miguel Amaya","CHC","AAA",24,15,48,60,15,9,5,0,1,5,10,11,1,14,1,0,0,0,0,0,0.3125,"21693"
"Enmanuel Valdez","BOS","AAA",24,57,189,232,48,28,8,2,10,38,41,41,1,48,1,1,0,2,4,3,0.253968253,"21716"
"Jair Camargo","MIN","AAA",23,90,332,368,86,48,16,1,21,56,63,29,0,119,4,3,0,13,2,1,0.259036144,"21730"
"Sebastian Rivero","CHW","AAA",24,58,194,213,45,29,11,1,4,17,26,9,0,42,5,5,0,6,0,1,0.231958762,"21735"
"Jose Fermin","STL","AAA",24,20,66,81,15,7,3,1,4,16,7,12,0,5,2,1,0,1,1,0,0.227272727,"21746"
"Andres Chaparro","NYY","AAA",24,137,523,601,129,78,24,2,25,82,89,65,2,131,5,8,0,14,4,0,0.246653919,"21797"
"Jonathan Aranda","TBR","AAA",25,95,357,434,121,73,23,0,25,82,81,64,2,87,10,3,0,4,2,2,0.338935574,"21837"
"Freddy Fermin","KCR","AAA",28,14,46,58,14,7,2,0,5,12,14,11,0,9,1,0,0,0,0,0,0.304347826,"21840"
"Carlos Cortes","NYM","AAA",26,118,369,442,89,51,22,1,15,63,54,65,0,89,3,5,0,9,3,2,0.241192411,"21842"
"Will Benson","CIN","AAA",25,28,97,133,20,9,6,2,3,25,9,32,0,35,2,2,0,1,11,1,0.206185567,"21853"
"Bo Naylor","CLE","AAA",23,60,217,270,55,29,12,1,13,45,48,49,2,52,2,2,0,5,2,2,0.253456221,"21865"
"Jerar Encarnacion","MIA","AAA",25,122,434,516,99,55,17,1,26,63,76,78,1,200,2,2,0,11,6,2,0.228110599,"21871"
"Christopher Morel","CHC","AAA",24,29,115,134,38,16,9,2,11,31,31,17,0,41,2,0,0,0,4,1,0.330434782,"21897"
"Rodolfo Castro","PIT","AAA",24,12,52,57,10,6,2,0,2,7,10,3,0,21,1,1,0,1,0,0,0.192307692,"21987"
"Grant Koch","PIT","AAA",26,60,192,211,49,34,9,1,5,28,23,17,0,56,1,1,0,6,0,0,0.255208333,"22045"
"Dane Myers","MIA","AAA",27,51,192,223,65,48,8,1,8,43,37,23,0,43,5,3,0,9,6,2,0.338541666,"22054"
"Nick Pratto","KCR","AAA",24,31,111,131,20,11,4,1,4,14,17,16,2,37,2,2,0,3,0,0,0.18018018,"22117"
"Payton Henry","MIL","AAA",26,65,238,255,70,50,11,0,9,32,35,12,0,59,5,0,0,11,0,1,0.294117647,"22164"
"Ryan Vilade","PIT","AAA",24,122,440,511,119,86,23,4,6,64,56,64,0,127,6,1,0,16,7,4,0.270454545,"22165"
"Cal Mitchell","PIT","AAA",24,78,280,316,73,48,16,0,9,46,55,29,0,93,3,3,1,8,6,2,0.260714285,"22169"
"Mark Vientos","NYM","AAA",23,61,232,269,71,33,21,1,16,38,50,29,0,58,4,4,0,3,0,0,0.306034482,"22184"
"Brice Turang","MIL","AAA",23,15,57,63,17,8,6,0,3,10,15,6,0,10,0,0,0,0,2,0,0.298245614,"22186"
