Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chris Owings","NYY","AAA",30,59,187,208,44,28,7,1,8,27,30,18,0,52,1,2,0,1,5,2,0.235294117,"10030"
"Tomas Telis","LAD","AAA",31,80,275,313,79,68,9,0,2,34,36,30,0,31,5,2,1,12,0,0,0.287272727,"10067"
"Jonathan Villar","SEA","AAA",31,37,145,155,41,24,9,2,6,20,24,10,0,34,0,0,0,7,10,3,0.28275862,"10071"
"Billy Hamilton","MIA","AAA",31,25,96,106,18,14,4,0,0,13,6,10,0,31,0,0,0,0,5,0,0.1875,"10199"
"Jon Singleton","MIL","AAA",30,134,456,581,100,52,22,2,24,84,87,117,1,161,1,7,0,5,3,1,0.219298245,"10441"
"Derek Dietrich","NYY","AAA",32,44,136,154,34,17,13,1,3,16,21,7,0,41,8,3,0,2,0,0,0.25,"10542"
"David Freitas","NYY","AAA",33,36,113,127,27,19,6,0,2,9,9,12,0,23,0,1,0,7,0,0,0.238938053,"10619"
"Carlos Perez","COL","AAA",31,117,456,522,116,56,28,1,31,75,87,54,0,100,8,4,0,8,0,0,0.254385964,"10642"
"Rob Brantly","NYY","AAA",32,59,182,201,49,37,10,1,1,18,22,11,0,32,7,1,0,5,1,0,0.269230769,"10655"
"Ryan LaMarre","NYY","AAA",33,53,155,186,46,31,10,0,5,33,21,21,0,42,9,1,0,2,7,2,0.296774193,"10700"
"Andrelton Simmons","CHC","AAA",32,12,45,50,6,5,0,0,1,3,2,4,0,13,1,0,0,1,1,2,0.133333333,"10847"
"Phil Gosselin","ATL","AAA",33,49,182,204,54,34,13,2,5,25,24,16,0,40,3,3,0,3,4,0,0.296703296,"10953"
"Elliot Soto","MIN","AAA",32,92,301,344,67,41,20,2,4,48,32,40,0,77,3,0,0,9,9,1,0.222591362,"11155"
"Adrian Sanchez","WSN","AAA",31,79,243,262,58,37,17,2,2,32,29,18,0,51,0,0,1,5,3,1,0.238683127,"11338"
"Jake Marisnick","ATL","AAA",31,24,96,105,23,18,3,1,1,10,3,5,0,31,4,0,0,0,7,1,0.239583333,"11339"
"Delino DeShields","ATL","AAA",29,109,337,426,74,61,12,0,1,61,26,77,0,116,4,4,4,4,35,11,0.219584569,"11379"
"Drew Maggi","PHI","AAA",33,94,292,346,62,45,16,1,0,43,22,40,0,84,9,2,3,6,22,5,0.212328767,"11381"
"Tony Wolters","LAD","AAA",30,61,204,234,47,37,9,1,0,21,29,26,0,58,2,2,0,3,0,0,0.230392156,"11470"
"Dixon Machado","CHC","AAA",30,121,461,522,134,101,26,1,6,60,46,53,0,64,7,1,0,15,10,3,0.290672451,"11472"
"Yolmer Sanchez","BOS","AAA",30,100,325,396,80,53,16,1,10,49,40,60,2,86,7,3,1,6,6,1,0.246153846,"11602"
"Stefen Romero","LAD","AAA",33,30,102,120,27,16,8,0,3,18,22,11,0,24,4,2,0,1,1,0,0.264705882,"11746"
"Yadiel Rivera","ARI","AAA",30,25,79,85,15,12,1,0,2,8,8,5,0,21,0,1,0,2,2,0,0.189873417,"11863"
"Niko Goodrum","HOU","AAA",30,13,45,62,14,9,3,0,2,12,5,17,0,14,0,0,0,0,2,0,0.311111111,"12092"
"Juniel Querecuto","CIN","AAA",29,108,398,432,102,62,27,2,11,52,34,29,0,80,2,3,0,12,10,5,0.256281407,"12140"
