Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Christian Bethancourt","PIT","AAA",29,363,0.321138211,1.388235294,0.200787401,0.464566929,0.334645669,0.094117647,0.164705882,0.44230769,0.23461538,0.32307692,0.1751663,469,884,1353,"10028"
"Tomas Telis","MIN","AAA",30,453,0.319209039,1.663551401,0.214876033,0.490358126,0.29476584,0.14953271,0.112149532,0.39509537,0.26975477,0.33514986,0.09052248,575,1071,1646,"10067"
"Rafael Ortega","CHC","AAA",30,73,0.255319148,0.782608695,0.18,0.36,0.46,0.217391304,0.173913043,0.49019608,0.17647059,0.33333333,0.08609272,119,183,302,"10323"
"Wilfredo Tovar","NYM","AAA",29,407,0.29738562,1.367924528,0.19032258,0.467741935,0.341935483,0.283018867,0.066037735,0.42675159,0.20063694,0.37261146,0.0584538,620,971,1591,"10416"
"Cheslor Cuthbert","CIN","AAA",28,350,0.233944954,0.910891089,0.171673819,0.394849785,0.433476394,0.267326732,0.158415841,0.46351931,0.21888412,0.31759657,0.10846954,532,814,1346,"10473"
"Rocky Gale","CIN","AAA",33,80,0.258064516,2.285714285,0.245901639,0.524590163,0.229508196,0.214285714,0,0.42857143,0.20634921,0.36507937,0.10580205,88,205,293,"10533"
"Derek Dietrich","NYY","AAA",31,303,0.231343283,0.633802816,0.171428571,0.321428571,0.507142857,0.38028169,0.112676056,0.47183099,0.28169014,0.24647887,0.14935557,537,782,1319,"10542"
"David Freitas","TBR","AAA",32,66,0.243902439,1.058823529,0.204545454,0.409090909,0.386363636,0.117647058,0.176470588,0.40909091,0.22727273,0.36363636,0.09756098,123,164,287,"10619"
"Carlos Perez","OAK","AAA",30,418,0.246478873,0.677215189,0.158730158,0.339682539,0.501587301,0.284810126,0.196202531,0.51746032,0.27301587,0.20952381,0.07578558,597,1026,1623,"10642"
"Rob Brantly","NYY","AAA",31,264,0.316666666,1.136363636,0.245989304,0.401069518,0.352941176,0.196969696,0.136363636,0.51322751,0.2010582,0.28571429,0.10783316,365,618,983,"10655"
"Ryan LaMarre","NYY","AAA",32,240,0.369565217,1.3,0.201388888,0.451388888,0.347222222,0.24,0.12,0.41258741,0.27272727,0.31468531,0.13129103,359,555,914,"10700"
"Arismendy Alcantara","SFG","AAA",29,255,0.355555555,0.774193548,0.261744966,0.322147651,0.416107382,0.161290322,0.274193548,0.46710526,0.25,0.28289474,0.13675214,366,687,1053,"10711"
"Rangel Ravelo","LAD","AAA",29,113,0.391891891,1.863636363,0.222222222,0.506172839,0.271604938,0.181818181,0.363636363,0.48780488,0.19512195,0.31707317,0.05882353,169,256,425,"10839"
"Christian Colon","TOR","AAA",32,413,0.258389261,1.032520325,0.183006535,0.415032679,0.401960784,0.268292682,0.121951219,0.52063492,0.1968254,0.28253968,0.07211232,582,985,1567,"11145"
