Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chris Owings","BOS","AAA",27,44,163,183,53,31,11,0,11,26,34,15,0,50,2,2,1,0,6,4,0.325153374,"10030"
"Tomas Telis","MIN","AAA",28,82,306,327,101,70,21,2,8,44,46,16,0,33,2,3,0,1,0,0,0.330065359,"10067"
"Nick Franklin","LAA","AAA",28,85,260,307,63,37,18,2,6,40,36,38,0,59,3,5,1,8,5,3,0.242307692,"10166"
"Francisco Arcia","NYY","AAA",29,65,205,220,42,33,8,0,1,17,20,9,1,39,3,2,1,13,0,2,0.204878048,"10286"
"Rafael Ortega","ATL","AAA",28,111,431,493,123,65,34,3,21,83,58,59,1,95,2,1,0,1,14,7,0.28538283,"10323"
"Gift Ngoepe","PHI","AAA",29,41,122,135,27,14,8,0,5,17,21,12,1,56,1,0,0,1,1,0,0.221311475,"10340"
"John Ryan Murphy","ARI","AAA",28,50,171,186,39,22,7,0,10,31,29,14,1,47,1,0,0,3,0,0,0.228070175,"10346"
"Wilfredo Tovar","LAA","AAA",27,85,327,349,105,78,17,6,4,53,57,19,0,45,0,3,0,17,3,6,0.321100917,"10416"
"Adeiny Hechavarria","NYM","AAA",30,25,92,102,32,23,9,0,0,15,17,6,1,14,1,3,0,1,2,1,0.347826086,"10459"
"Cheslor Cuthbert","KCR","AAA",26,51,197,219,61,35,17,1,8,25,35,17,1,46,3,2,0,10,0,0,0.30964467,"10473"
"Rocky Gale","LAD","AAA",31,47,162,173,45,36,6,1,2,18,20,9,0,33,1,1,0,4,1,0,0.277777777,"10533"
"Bryce Brentz","BOS","AAA",30,95,310,357,67,32,17,0,18,47,50,39,0,122,6,2,0,5,0,2,0.216129032,"10607"
"David Freitas","SEA","AAA",30,91,328,384,125,90,23,0,12,55,81,47,2,55,4,3,0,19,0,1,0.38109756,"10619"
"Rob Brantly","PHI","AAA",29,82,236,272,74,53,13,2,6,32,28,32,4,29,4,0,0,7,0,0,0.313559322,"10655"
"Ryan LaMarre","ATL","AAA",30,112,405,455,126,85,24,8,9,55,53,38,0,118,9,3,0,7,19,9,0.311111111,"10700"
"Arismendy Alcantara","NYM","AAA",27,92,303,339,89,56,14,6,13,60,48,32,1,84,0,3,1,3,16,2,0.293729372,"10711"
"Lane Adams","PHI","AAA",29,72,271,306,69,38,17,2,12,41,29,30,0,103,5,0,0,3,8,2,0.254612546,"10767"
"Tyler Saladino","MIL","AAA",29,79,265,310,76,38,19,2,17,51,64,41,0,67,2,2,0,10,8,1,0.286792452,"10807"
"Rangel Ravelo","STL","AAA",27,95,334,381,100,67,20,1,12,50,56,37,1,61,9,1,0,9,0,1,0.299401197,"10839"
"Adam Duvall","ATL","AAA",30,101,369,429,98,42,20,4,32,74,93,48,4,86,10,2,0,9,1,0,0.265582655,"10950"
"Phil Gosselin","PHI","AAA",30,78,296,353,93,60,20,5,8,54,47,46,0,61,3,6,2,2,3,2,0.314189189,"10953"
"Christian Colon","CIN","AAA",30,136,497,582,149,100,37,2,10,63,70,57,0,58,7,12,9,20,24,13,0.299798792,"11145"
"Cameron Rupp","DET","AAA",30,59,186,215,42,22,10,0,10,19,23,22,0,61,6,1,0,6,0,0,0.225806451,"11146"
"Elliot Soto","COL","AAA",29,112,410,463,125,83,22,10,10,79,50,45,0,91,5,1,2,5,8,5,0.304878048,"11155"
"Ramon Flores","MIN","AAA",27,30,107,131,33,25,4,1,3,19,17,23,1,22,1,0,0,5,2,2,0.308411214,"11165"
"Matt Szczur","ARI","AAA",29,44,149,172,48,27,12,1,8,34,28,19,0,27,0,4,0,1,0,3,0.322147651,"11255"
"Aaron Altherr","NYM","AAA",28,28,74,88,20,10,5,1,4,9,13,10,0,16,3,1,0,4,3,2,0.27027027,"11270"
"Bryan Holaday","MIA","AAA",31,35,93,118,23,14,7,0,2,8,12,17,2,12,5,2,1,5,1,1,0.247311827,"11287"
"Delino DeShields","TEX","AAA",26,15,66,75,17,11,3,0,3,10,11,8,0,17,0,0,1,1,8,0,0.257575757,"11379"
"Drew Maggi","MIN","AAA",30,108,388,472,100,67,19,4,10,71,46,60,1,96,20,1,3,3,9,3,0.257731958,"11381"
"Ronald Torreyes","MIN","AAA",26,79,308,330,79,56,11,1,11,48,42,12,0,33,4,5,1,6,2,1,0.256493506,"11400"
"Dixon Machado","CHC","AAA",27,102,329,393,86,49,19,1,17,53,65,54,2,79,4,1,5,8,0,2,0.261398176,"11472"
"Henry Ramos","SFG","AAA",27,96,335,366,90,57,21,0,12,50,40,24,0,74,2,3,2,8,3,2,0.268656716,"11481"
"Kaleb Cowart","LAA","AAA",27,85,287,317,83,56,15,4,8,42,60,25,1,55,1,3,1,4,3,4,0.289198606,"11494"
"Andrew Romine","PHI","AAA",33,106,380,417,110,84,15,3,8,57,53,27,0,67,5,3,2,8,21,4,0.289473684,"1159"
"Rosell Herrera","MIA","AAA",26,48,165,180,51,34,11,1,5,21,24,14,0,32,1,0,0,1,2,1,0.309090909,"11611"
"Jarrett Parker","LAA","AAA",30,96,346,424,92,48,19,1,24,71,75,72,4,125,3,3,0,8,2,1,0.265895953,"11624"
"Drew Robinson","STL","AAA",27,55,189,234,50,34,8,2,6,28,28,36,3,71,3,3,3,2,10,3,0.264550264,"11761"
"Tyler Austin","MIL","AAA",27,15,54,63,18,11,3,0,4,15,10,8,0,17,0,1,0,3,3,1,0.333333333,"11850"
"Mason Williams","BAL","AAA",27,121,442,494,136,100,15,3,18,62,67,46,1,86,0,3,3,7,4,7,0.307692307,"11859"
"Yadiel Rivera","MIA","AAA",27,82,300,312,88,62,11,1,14,38,46,6,0,81,2,2,2,10,15,6,0.293333333,"11863"
"Ronny Rodriguez","DET","AAA",27,44,172,181,55,33,9,2,11,33,31,6,0,41,1,2,0,3,5,0,0.319767441,"11875"
"Noel Cuevas","COL","AAA",27,60,205,233,57,37,12,3,5,35,33,24,0,46,2,1,1,6,3,3,0.27804878,"11894"
"Orlando Calixte","SEA","AAA",27,25,97,104,27,23,2,0,2,13,10,7,0,24,0,0,0,2,3,2,0.278350515,"11905"
"Travis Taijeron","NYM","AAA",30,123,371,453,85,37,21,3,24,65,70,64,0,165,16,2,0,12,6,3,0.229110512,"11935"
"Travis Shaw","MIL","AAA",29,42,133,174,38,22,4,0,12,27,33,36,0,37,2,3,0,0,3,1,0.285714285,"11982"
"Nick Martini","OAK","AAA",29,70,274,329,90,64,18,0,8,57,42,49,1,51,3,3,0,8,0,0,0.328467153,"12005"
"Jon Berti","MIA","AAA",29,22,62,79,18,13,1,0,4,14,8,15,0,11,1,1,0,2,5,0,0.29032258,"12037"
"Matt Skole","CHW","AAA",29,92,314,392,78,42,15,0,21,65,56,70,4,99,2,5,0,6,0,0,0.248407643,"12119"
"Juniel Querecuto","ARI","AAA",26,102,386,408,111,77,19,6,9,48,51,16,0,70,2,3,1,10,7,4,0.287564766,"12140"
"Austin Barnes","LAD","AAA",29,23,87,104,23,11,6,0,6,19,17,14,0,20,2,1,0,2,1,1,0.264367816,"12158"
"Jorge Bonifacio","KCR","AAA",26,117,451,500,100,57,18,5,20,67,62,38,1,121,4,7,0,5,6,4,0.22172949,"12174"
"Jake Hager","MIL","AAA",26,114,327,366,79,49,16,2,12,45,41,30,1,107,1,4,4,6,5,1,0.241590214,"12198"
"Scott Schebler","CIN","AAA",28,53,194,212,42,31,6,0,5,18,17,12,1,51,4,2,0,2,0,1,0.216494845,"12225"
"Ryan Court","SEA","AAA",31,54,190,228,49,26,10,2,11,40,48,32,0,63,2,4,0,2,2,0,0.257894736,"12268"
"Cory Spangenberg","MIL","AAA",28,113,424,476,131,84,28,5,14,82,62,43,0,136,6,3,0,3,28,4,0.308962264,"12294"
"Jace Peterson","BAL","AAA",29,90,326,377,102,62,25,5,10,58,46,46,0,56,2,3,0,6,13,3,0.312883435,"12325"
"Beau Taylor","TOR","AAA",29,72,223,279,55,31,15,1,8,43,36,52,1,78,2,2,0,4,0,0,0.246636771,"12384"
"Jason Krizan","NYM","AAA",30,20,63,76,23,12,9,0,2,15,11,12,0,9,0,0,1,0,1,0,0.365079365,"12394"
"Jett Bandy","TEX","AAA",29,73,242,269,56,34,9,0,13,34,33,16,0,70,9,0,1,6,0,2,0.231404958,"12508"
"Taylor Featherston","KCR","AAA",29,16,47,56,12,6,0,2,4,7,9,5,0,23,4,0,0,0,2,0,0.255319148,"12590"
"Raffy Lopez","ATL","AAA",31,14,47,55,15,9,4,0,2,13,7,8,1,12,0,0,0,1,0,0,0.319148936,"12606"
"Alex Dickerson","SDP","AAA",29,33,114,137,38,27,5,1,5,19,21,17,2,20,5,1,0,3,0,0,0.333333333,"12649"
"Billy Burns","NYY","AAA",29,93,267,304,69,49,15,3,2,42,25,27,1,41,3,3,4,1,14,3,0.258426966,"12701"
"Tyler Pill","TEX","AAA",29,31,103,121,24,19,3,0,2,13,11,12,0,21,3,3,0,1,0,0,0.233009708,"12751"
"Breyvic Valera","SFG","AAA",27,107,379,440,115,78,21,2,14,54,56,50,2,44,4,1,6,6,10,7,0.303430079,"12758"
"Brad Miller","NYY","AAA",29,41,136,163,40,20,9,1,10,31,29,24,1,40,1,2,0,2,1,3,0.294117647,"12775"
"Andy Burns","TOR","AAA",28,118,411,474,113,74,17,3,19,60,63,57,0,83,2,3,0,14,6,6,0.274939172,"12779"
"Taylor Davis","CHC","AAA",29,61,204,241,48,39,4,0,5,21,23,31,1,38,1,1,4,10,0,0,0.235294117,"12782"
"Gregory Polanco","PIT","AAA",27,13,45,54,12,7,4,0,1,5,11,9,0,16,0,0,0,0,2,0,0.266666666,"12907"
"Alen Hanson","TOR","AAA",26,48,166,180,31,24,3,1,3,19,18,9,0,39,1,1,3,4,7,2,0.186746987,"12926"
"Jose Osuna","PIT","AAA",26,19,71,83,19,9,7,1,2,13,13,9,0,22,2,1,0,4,2,0,0.267605633,"12937"
"Socrates Brito","TOR","AAA",26,97,394,428,111,60,28,7,16,66,67,29,1,97,0,4,1,4,11,7,0.281725888,"12944"
"Phillip Evans","CHC","AAA",26,130,466,539,132,82,30,3,17,79,61,57,0,74,11,5,0,19,1,4,0.283261802,"12950"
"Michael Perez","TBR","AAA",26,54,184,216,45,25,7,0,13,23,42,28,0,51,0,4,0,4,0,2,0.244565217,"12977"
"Charlie Tilson","CHW","AAA",26,61,236,258,68,50,13,2,3,36,34,19,0,43,2,1,0,3,4,3,0.288135593,"12983"
"Erick Castillo","CHC","AAA",26,27,57,63,13,10,3,0,0,7,8,5,0,15,0,1,0,1,0,0,0.228070175,"12990"
"Kelby Tomlinson","ARI","AAA",29,99,335,369,81,63,16,2,0,45,16,27,2,79,2,2,3,13,4,3,0.241791044,"13005"
"Mitch Walding","PHI","AAA",26,90,282,350,58,35,11,1,11,46,40,62,2,133,3,3,0,4,2,1,0.205673758,"13006"
"John Andreoli","MIN","AAA",29,116,408,507,104,60,25,3,16,68,47,90,1,141,3,6,0,2,12,1,0.25490196,"13012"
"Teoscar Hernandez","TOR","AAA",26,19,75,83,19,13,0,1,5,11,11,6,1,21,1,1,0,1,3,0,0.253333333,"13066"
"Mikie Mahtook","DET","AAA",29,98,354,415,92,53,17,1,21,64,56,51,1,106,5,4,1,6,14,7,0.259887005,"13130"
"Andrew Susac","KCR","AAA",29,26,77,93,18,10,4,0,4,11,15,14,0,24,2,0,0,1,3,2,0.233766233,"13132"
"Jose Briceno","LAA","AAA",26,22,79,84,17,10,3,0,4,8,17,3,0,20,2,0,0,4,2,0,0.215189873,"13151"
"Luis Sardinas","WSN","AAA",26,21,60,66,20,17,2,1,0,6,7,3,0,12,1,1,1,1,0,1,0.333333333,"13153"
"Marco Hernandez","BOS","AAA",26,35,137,146,39,25,12,0,2,23,11,6,1,32,0,3,0,3,3,2,0.284671532,"13154"
"Nicky Delmonico","CHW","AAA",26,17,63,76,18,8,7,0,3,13,10,10,1,12,1,2,0,0,1,0,0.285714285,"13157"
