Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Carson Kelly","STL","AAA",21,126,0.340206185,0.902439024,0.195876288,0.381443298,0.422680412,0.243902439,0,0.42857143,0.26530612,0.30612245,0.0794702,167,286,453,"13620"
"Jeimer Candelario","CHC","AAA",22,309,0.383495145,1.515151515,0.220657276,0.469483568,0.309859154,0.181818181,0.136363636,0.52093023,0.25581395,0.22325581,0.08035714,487,745,1232,"13621"
"Preston Tucker","HOU","AAA",25,229,0.354838709,0.797101449,0.225,0.34375,0.43125,0.159420289,0.115942028,0.34545455,0.27272727,0.38181818,0.10939227,337,568,905,"13633"
"Christopher Bostick","WSN","AAA",23,242,0.279220779,0.7,0.217105263,0.322368421,0.460526315,0.214285714,0.028571428,0.51592357,0.22929936,0.25477707,0.11012236,306,593,899,"13718"
"Jacob Stallings","PIT","AAA",26,275,0.264864864,1.322580645,0.229946524,0.438502673,0.331550802,0.14516129,0.096774193,0.48469388,0.24489796,0.27040816,0.10857143,356,694,1050,"13723"
"David Dahl","COL","AAA",22,68,0.54347826,1.4,0.28,0.42,0.3,0.133333333,0.333333333,0.29411765,0.33333333,0.37254902,0.11061947,82,144,226,"13744"
"Chris Taylor","SEA","AAA",25,344,0.400843881,1.614285714,0.234309623,0.472803347,0.292887029,0.085714285,0.042857142,0.42323651,0.26141079,0.3153527,0.0967033,546,819,1365,"13757"
"Adalberto Mondesi","KCR","AAA",20,61,0.444444444,0.705882352,0.216216216,0.324324324,0.459459459,0.352941176,0.058823529,0.58974359,0.15384615,0.25641026,0.11894273,68,159,227,"13769"
"Rob Refsnyder","NYY","AAA",25,230,0.355555555,2.279069767,0.212290502,0.547486033,0.240223463,0.186046511,0.046511627,0.51912568,0.18032787,0.30054645,0.05301205,309,521,830,"13770"
"Adonis Garcia","ATL","AAA",31,80,0.385964912,0.956521739,0.25,0.366666666,0.383333333,0.260869565,0.173913043,0.44262295,0.2295082,0.32786885,0.08588957,109,217,326,"13777"
"Matt Reynolds","NYM","AAA",25,299,0.339901477,2.577777777,0.199004975,0.577114427,0.223880597,0.133333333,0.044444444,0.38647343,0.31400966,0.29951691,0.09254709,470,751,1221,"13788"
"Eric Stamets","CLE","AAA",24,83,0.234042553,0.72,0.104166666,0.375,0.520833333,0.36,0.04,0.53061224,0.34693878,0.12244898,0.18085106,70,212,282,"13795"
"Kevin Plawecki","NYM","AAA",25,207,0.296969696,1.538461538,0.209580838,0.479041916,0.311377245,0.211538461,0.153846153,0.45086705,0.19653179,0.35260116,0.07391911,260,457,717,"13807"
