Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Coby Mayo","BAL","AAA",23,195,0.117948717,0.271794871,0.433962264,0.226190476,0.317948717,0.452380952,0.770329669,0.226190476,4.360530578780597,0.272727272,-0.6130043026059866,25.50972502845073,-0.009323394124268001,0.3391342545166994,103.0477814838032,"28312"
"Tsung-Che Cheng","PIT","AAA",23,397,0.118387909,0.249370277,0.474747474,0.208823529,0.307106598,0.270588235,0.577694833,0.061764706,5.885015639336514,0.286885245,-0.4922648435458541,31.365598655225952,-20.58856659483699,0.27749073036431054,62.35095421180175,"28344"
"Yanquiel Fernandez","COL","AAA",22,271,0.084870848,0.140221402,0.605263157,0.283950617,0.346863468,0.502057613,0.848921081,0.218106996,2.191398908174194,0.287179487,-1.0187009912915528,41.98671959997098,2.1868994748679857,0.3685415263985356,97.55658544194083,"28552"
"Denzer Guzman","LAA","AAA",21,153,0.137254901,0.294117647,0.466666666,0.261538461,0.366013071,0.453846153,0.819859224,0.192307692,5.620787547065429,0.35,0.8784203822724521,23.50058847283094,1.030579324710063,0.36708248518650827,100.13962998240433,"28816"
"Moises Ballesteros","CHC","AAA",21,509,0.09626719,0.131630648,0.731343283,0.316143497,0.385068762,0.47309417,0.858162932,0.156950673,3.300329809289173,0.342245989,-1.1927666449919343,84.8842669767211,18.273007248050973,0.3819026243992341,121.34829208061578,"28820"
"Samuel Basallo","BAL","AAA",20,321,0.137071651,0.236760124,0.578947368,0.27037037,0.37694704,0.588888888,0.965835928,0.318518518,1.24658054,0.287356321,-0.6682669529691339,62.074695529767496,20.066415818759427,0.41356446563636995,150.8711719068286,"28824"
"Carter Jensen","KCR","AAA",21,184,0.163043478,0.282608695,0.576923076,0.287581699,0.404371584,0.647058823,1.051430407,0.359477124,5.451147299807665,0.344827586,0.20242346730083227,40.85667682989457,16.777164472182776,0.447672012088063,166.31701967720633,"29478"
"Blake Dunn","CIN","AAA",26,422,0.127962085,0.241706161,0.529411764,0.290960451,0.397129186,0.401129943,0.798259129,0.110169492,6.484291890872364,0.390243902,2.217182873748243,66.41908119577721,11.193243071025167,0.3707481538564965,121.23000538558922,"29487"
"Bryce Teodosio","LAA","AAA",26,58,0.051724137,0.172413793,0.3,0.320754716,0.368421052,0.490566037,0.858987089,0.169811321,9.700922014168764,0.395348837,0.7701860307715833,9.554291746286967,1.0362490626855883,0.37925701183185245,107.7223171132794,"29524"
"Adrian Del Castillo","ARI","AAA",25,70,0.142857142,0.271428571,0.526315789,0.288135593,0.385714285,0.559322033,0.945036318,0.27118644,1.96350930875,0.351351351,-0.14209332736209035,13.264330678923299,2.9839343366457736,0.4063407344477517,120.89654714001797,"29554"
"Tim Tawa","ARI","AAA",26,78,0.141025641,0.166666666,0.846153846,0.238095238,0.358974358,0.492063492,0.85103785,0.253968254,6.858693011709592,0.244897959,0.25790667859837413,12.224785083201514,0.7694863018065559,0.3705053994288811,98.57714683856135,"29571"
"Billy Cook","PIT","AAA",26,375,0.090666666,0.272,0.333333333,0.247734138,0.322580645,0.3836858,0.706266445,0.135951662,6.071111279568074,0.330357142,0.9063188247382641,42.9566190684591,-6.118474051877429,0.31977940666065063,89.52255357407107,"29573"
"Trey Sweeney","DET","AAA",25,52,0.134615384,0.211538461,0.636363636,0.325581395,0.442307692,0.511627906,0.953935598,0.186046511,5.41355941533773,0.4,0.1815544394776225,10.805871241223034,4.000791661869703,0.43072779132769656,164.55543465659477,"29575"
"Justyn-Henry Malloy","DET","AAA",25,329,0.173252279,0.203647416,0.850746268,0.32183908,0.452887537,0.501915708,0.954803245,0.180076628,3.6886303059347716,0.39893617,-0.2728121653199196,68.55344714304262,25.498232112134037,0.4313987149293662,164.98652091664957,"29606"
"Chad Stevens","LAA","AAA",26,528,0.109848484,0.221590909,0.495726495,0.290393013,0.375,0.480349344,0.855349344,0.189956331,6.741569365214614,0.350609756,1.3178268945775926,86.65988046424624,9.116319482495754,0.3786000721368663,107.3131539222951,"29614"
"Joey Loperfido","TOR","AAA",26,373,0.077747989,0.214477211,0.3625,0.264437689,0.341463414,0.401215805,0.742679219,0.136778116,5.629172873854885,0.329218106,0.9386647334322333,48.247970245183744,-0.5653890451776681,0.3373877432035363,102.55918295495279,"29630"
"Will Wagner","TOR","AAA",26,160,0.09375,0.125,0.75,0.268965517,0.3375,0.427586206,0.765086206,0.158620689,4.752135124508822,0.283333333,-0.4513456644490361,21.276037739576502,-0.9583357405050541,0.3436341658234596,94.75613936102596,"29634"
"Caleb Durbin","MIL","AAA",25,58,0.051724137,0.086206896,0.6,0.277777777,0.315789473,0.481481481,0.797270954,0.203703704,5.8056840143065855,0.276595744,-0.4084961013868451,8.097035706906802,0.5067546376280848,0.3495860831779346,109.6000801352233,"29646"
"Marcelo Mayer","BOS","AAA",22,193,0.103626943,0.196891191,0.526315789,0.270588235,0.347150259,0.470588235,0.817738494,0.2,5.231396838926328,0.296,-0.03141283709555864,28.67043707449649,3.41312248189662,0.360231199922661,112.68761701013364,"29668"
"Braxton Fulford","COL","AAA",26,171,0.099415204,0.233918128,0.425,0.353741496,0.432748538,0.714285714,1.147034252,0.360544218,6.039825131149929,0.40625,-0.8017212986014783,43.76361186181403,18.650072225678922,0.47900923720577304,166.35943203438737,"29704"
"Colson Montgomery","CHW","AAA",23,242,0.078512396,0.338842975,0.231707317,0.217592592,0.297520661,0.435185185,0.732705846,0.217592593,4.89267546954451,0.29032258,-0.47221782710403204,28.68642654246403,-2.983366884526477,0.3245240563203481,82.4740472347331,"29712"
"Zack Gelof","OAK","AAA",25,213,0.159624413,0.253521126,0.629629629,0.255681818,0.370892018,0.517045454,0.887937472,0.261363636,6.638683810288623,0.292035398,1.9737200536765158,36.33660021394103,5.054822772439416,0.3856723300168212,107.22258173943395,"29766"
"Max Muncy","OAK","AAA",22,141,0.078014184,0.226950354,0.34375,0.325203252,0.39716312,0.50406504,0.90122816,0.178861788,4.799851189880952,0.411111111,-1.6520489864051342,25.506331737733852,4.79867624828912,0.3969401585204261,114.24054807817998,"29779"
