Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Chris Owings","NYY","AAA",30,208,0.279069767,0.761194029,0.138686131,0.372262773,0.489051094,0.164179104,0.119402985,0.45255474,0.27737226,0.27007299,0.12620192,296,536,832,"10030"
"Tomas Telis","LAD","AAA",31,313,0.31557377,2.58,0.266393442,0.528688524,0.204918032,0.18,0.04,0.38709677,0.23387097,0.37903226,0.05307498,444,743,1187,"10067"
"Jonathan Villar","SEA","AAA",31,155,0.333333333,3.047619047,0.227272727,0.581818181,0.19090909,0.19047619,0.285714285,0.32432432,0.27927928,0.3963964,0.15630252,219,376,595,"10071"
"Billy Hamilton","MIA","AAA",31,106,0.276923076,1.130434782,0.209677419,0.419354838,0.370967741,0.434782608,0,0.53846154,0.12307692,0.33846154,0.1439206,142,261,403,"10199"
"Jon Singleton","MIL","AAA",30,581,0.273381294,0.738095238,0.27,0.31,0.42,0.253968253,0.19047619,0.46357616,0.24503311,0.29139073,0.10801257,1125,1421,2546,"10441"
"Derek Dietrich","NYY","AAA",32,154,0.326315789,0.787234042,0.142857142,0.37755102,0.479591836,0.276595744,0.063829787,0.34693878,0.28571429,0.36734694,0.15332198,207,380,587,"10542"
"David Freitas","NYY","AAA",33,127,0.280898876,1.121212121,0.213483146,0.415730337,0.370786516,0.121212121,0.06060606,0.41758242,0.21978022,0.36263736,0.08754864,205,309,514,"10619"
"Carlos Perez","COL","AAA",31,522,0.258358662,0.591954022,0.217514124,0.290960451,0.491525423,0.32183908,0.178160919,0.51944444,0.24444444,0.23611111,0.07659972,832,1309,2141,"10642"
"Rob Brantly","NYY","AAA",32,201,0.32,1.3125,0.26,0.42,0.32,0.166666666,0.020833333,0.48344371,0.20529801,0.31125828,0.12,233,467,700,"10655"
"Ryan LaMarre","NYY","AAA",33,186,0.376146788,1.685714285,0.168141592,0.522123893,0.309734513,0.314285714,0.142857142,0.55263158,0.19298246,0.25438596,0.09251701,302,433,735,"10700"
"Andrelton Simmons","CHC","AAA",32,50,0.161290322,1.5,0.21875,0.46875,0.3125,0.2,0.1,0.5,0.15625,0.34375,0.1027027,67,118,185,"10847"
"Phil Gosselin","ATL","AAA",33,204,0.35,1.522727272,0.218309859,0.471830985,0.309859154,0.204545454,0.113636363,0.46896552,0.16551724,0.36551724,0.08915663,296,534,830,"10953"
"Elliot Soto","MIN","AAA",32,344,0.286363636,1.753846153,0.186363636,0.518181818,0.295454545,0.23076923,0.061538461,0.47321429,0.23214286,0.29464286,0.09665698,532,844,1376,"11155"
"Adrian Sanchez","WSN","AAA",31,262,0.294736842,1.620689655,0.195767195,0.497354497,0.306878306,0.206896551,0.034482758,0.42708333,0.22395833,0.34895833,0.10010215,336,643,979,"11338"
"Jake Marisnick","ATL","AAA",31,105,0.34375,0.6,0.238095238,0.285714285,0.476190476,0.3,0.033333333,0.43076923,0.29230769,0.27692308,0.14021164,118,260,378,"11339"
"Delino DeShields","ATL","AAA",29,426,0.325892857,1.394736842,0.18018018,0.477477477,0.342342342,0.210526315,0.013157894,0.38864629,0.24454148,0.36681223,0.10227273,743,1017,1760,"11379"
"Drew Maggi","PHI","AAA",33,346,0.295238095,0.862068965,0.209756097,0.365853658,0.424390243,0.275862068,0,0.44339623,0.27358491,0.28301887,0.10714286,555,845,1400,"11381"
"Tony Wolters","LAD","AAA",30,234,0.317567567,2.052631578,0.216216216,0.527027027,0.256756756,0.105263157,0,0.41610738,0.23489933,0.34899329,0.08278867,351,567,918,"11470"
