Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chris Owings","LAD","AAA",32,80,256,307,67,48,8,2,9,41,32,44,0,79,6,1,0,5,11,4,0.26171875,"10030"
"Tucker Barnhart","CIN","AAA",33,21,75,82,14,9,5,0,0,5,6,6,0,11,0,0,1,1,0,0,0.186666666,"10200"
"Jose Iglesias","NYM","AAA",34,42,165,175,45,31,7,0,7,26,29,9,0,29,0,1,0,4,1,0,0.272727272,"10231"
"Rafael Ortega","CHW","AAA",33,84,249,313,72,44,15,2,11,45,53,56,0,62,1,6,1,5,17,8,0.289156626,"10323"
"Carlos Perez","OAK","AAA",33,112,408,468,106,48,27,4,27,79,77,49,1,80,6,5,0,10,0,0,0.259803921,"10642"
"Rob Brantly","TBR","AAA",34,52,160,179,40,28,6,1,5,21,19,12,0,35,4,1,0,2,0,0,0.25,"10655"
"Elliot Soto","LAA","AAA",34,114,398,468,89,67,15,3,4,67,44,58,1,112,2,4,6,7,21,5,0.22361809,"11155"
"Jake Marisnick","LAA","AAA",33,54,198,231,56,28,15,1,12,43,31,26,0,62,2,2,2,4,6,3,0.282828282,"11339"
"Drew Maggi","DET","AAA",35,40,111,123,25,15,5,0,5,18,12,9,0,35,1,1,1,2,1,0,0.225225225,"11381"
"Dixon Machado","HOU","AAA",32,45,153,182,34,28,3,0,3,12,22,23,0,25,0,4,2,8,1,0,0.222222222,"11472"
"Yolmer Sanchez","NYM","AAA",32,111,336,399,76,41,23,3,9,60,52,55,2,84,7,1,0,9,9,0,0.226190476,"11602"
"Nick Martini","CIN","AAA",34,23,82,100,25,11,7,0,7,20,17,16,0,22,1,1,0,2,0,0,0.304878048,"12005"
"Niko Goodrum","TBR","AAA",32,60,211,243,60,41,8,4,7,28,44,29,0,66,2,1,0,4,7,1,0.284360189,"12092"
"Ben Gamel","NYM","AAA",32,45,156,190,49,29,12,1,7,35,24,31,0,46,0,2,1,0,0,0,0.314102564,"12160"
"Jake Hager","CHC","AAA",31,39,122,131,27,18,7,0,2,12,9,7,0,43,1,0,1,2,0,0,0.221311475,"12198"
"Curt Casali","CHC","AAA",35,23,69,88,25,16,7,0,2,13,11,15,0,16,3,1,0,3,0,0,0.36231884,"12510"
"Kolten Wong","ARI","AAA",33,31,107,121,29,21,6,0,2,15,16,10,0,22,2,2,0,2,2,0,0.271028037,"12532"
"Phillip Evans","ATL","AAA",31,51,176,200,39,31,3,0,5,17,18,20,0,36,2,2,0,5,1,0,0.221590909,"12950"
"Michael Perez","ARI","AAA",31,62,212,246,55,32,14,0,9,29,34,26,0,58,6,2,0,5,0,0,0.259433962,"12977"
"Jackie Bradley Jr.","NYM","AAA",34,25,86,94,18,10,5,1,2,9,9,7,0,23,0,1,0,1,5,1,0.209302325,"12984"
"Jake Lamb","PIT","AAA",33,98,356,414,94,63,23,1,7,48,55,43,3,84,8,7,0,9,0,1,0.264044943,"13329"
"Omar Narvaez","HOU","AAA",32,42,138,169,27,19,4,1,3,16,20,26,0,31,2,3,0,7,0,0,0.195652173,"13338"
"Stephen Piscotty","OAK","AAA",33,31,108,118,19,14,4,0,1,9,9,9,0,34,1,0,0,5,0,0,0.175925925,"13367"
"Erik Gonzalez","CIN","AAA",32,127,435,464,107,76,24,1,6,62,55,24,0,95,2,3,0,16,6,1,0.245977011,"13369"
"Wynton Bernard","MIN","AAA",33,73,250,265,69,50,12,2,5,32,29,12,0,44,2,1,0,4,23,2,0.276,"13408"
"Jack Lopez","LAA","AAA",31,104,387,432,106,76,15,3,12,58,57,31,0,111,5,4,5,9,15,7,0.273901808,"13663"
"David Dahl","PHI","AAA",30,76,267,295,76,48,12,2,14,36,40,28,2,71,0,0,0,3,5,4,0.284644194,"13744"
"Elier Hernandez","TEX","AAA",29,20,76,88,22,13,6,1,2,14,10,11,0,21,1,0,0,2,1,3,0.289473684,"13750"
"Kevin Plawecki","SDP","AAA",33,75,262,299,68,42,15,0,11,39,38,32,0,43,1,2,2,15,0,0,0.259541984,"13807"
"Matt Duffy","TEX","AAA",33,56,193,216,42,34,6,0,2,29,16,22,0,45,0,1,0,7,1,2,0.21761658,"13836"
"Anthony Bemboom","DET","AAA",34,58,185,224,42,25,15,0,2,25,26,33,1,52,2,3,1,5,0,0,0.227027027,"13854"
"Tyler Heineman","BOS","AAA",33,51,159,199,40,29,4,1,6,26,26,28,0,32,6,2,4,4,8,1,0.251572327,"13897"
"Albert Almora Jr.","ARI","AAA",30,127,520,576,152,96,45,2,9,79,69,42,0,81,5,4,5,12,20,7,0.292307692,"14109"
"Eric Haase","MIL","AAA",31,41,147,170,41,26,6,0,9,28,31,19,0,56,2,1,1,0,1,1,0.278911564,"14111"
"Joey Gallo","WSN","AAA",30,19,62,82,11,4,1,0,6,17,15,19,0,23,1,0,0,0,0,0,0.177419354,"14128"
"Andrew Velazquez","ATL","AAA",29,118,429,473,104,71,17,0,16,62,48,34,0,157,1,3,6,5,33,1,0.242424242,"14196"
"Wilmer Difo","CHW","AAA",32,94,304,362,84,61,14,2,7,45,44,44,0,79,4,5,5,5,11,2,0.276315789,"14320"
"Joey Meneses","WSN","AAA",32,51,189,211,48,25,14,0,9,29,30,18,0,38,2,2,0,3,0,0,0.253968253,"14366"
"Harold Ramirez","WSN","AAA",29,29,115,128,30,25,5,0,0,9,13,12,0,27,1,0,0,4,2,1,0.260869565,"14387"
"Joe Hudson","NYM","AAA",33,36,103,128,21,12,4,0,5,15,16,20,0,42,4,0,1,2,4,1,0.203883495,"14412"
"David Bote","CHC","AAA",31,28,108,123,28,12,8,1,7,17,15,12,0,18,2,1,0,4,0,1,0.259259259,"14593"
"Brett Phillips","CHW","AAA",30,17,50,57,6,1,3,1,1,5,7,7,0,27,0,0,0,1,3,0,0.12,"14735"
"Yu Chang","TBR","AAA",28,14,41,51,12,7,3,0,2,6,7,9,1,15,1,0,0,0,2,1,0.292682926,"14773"
"Tony Kemp","MIN","AAA",32,81,283,326,74,52,12,1,9,37,43,35,0,36,5,3,0,5,8,2,0.261484098,"14894"
"Jack Reinheimer","CHC","AAA",31,30,104,109,18,12,5,0,1,10,7,4,0,24,0,1,0,1,3,0,0.173076923,"14938"
"Andrew Knapp","SFG","AAA",32,94,337,400,96,63,21,2,10,54,47,52,1,95,4,6,1,7,1,4,0.284866468,"14942"
"Dom Nunez","CLE","AAA",29,68,218,263,44,26,11,2,5,33,19,42,0,79,0,1,2,2,1,0,0.201834862,"15055"
"Jonathan Davis","MIA","AAA",32,73,242,285,55,38,12,1,4,26,19,33,0,80,9,0,0,6,8,2,0.227272727,"15104"
"Hunter Dozier","LAA","AAA",32,48,198,214,44,25,11,1,7,22,38,12,0,64,1,2,1,3,3,0,0.222222222,"15117"
"Tim Locastro","SDP","AAA",31,33,96,120,32,22,8,0,2,26,11,11,0,18,10,1,2,1,8,2,0.333333333,"15124"
"Josh VanMeter","NYY","AAA",29,59,164,207,29,16,10,0,3,24,27,37,0,53,3,2,1,5,5,1,0.176829268,"15170"
"Austin Wynns","CIN","AAA",33,31,104,114,26,18,4,0,4,10,17,9,0,29,0,1,0,1,0,0,0.25,"15271"
"Garrett Cooper","BAL","AAA",33,20,71,84,22,15,3,0,4,9,24,9,0,20,2,2,0,1,0,0,0.309859154,"15279"
"Jamie Westbrook","BOS","AAA",29,102,358,425,99,62,24,1,12,52,71,48,0,72,8,6,0,16,2,2,0.276536312,"15504"
"Mike Ford","CIN","AAA",31,24,91,105,27,17,4,0,6,15,15,12,0,20,1,1,0,2,2,0,0.296703296,"15585"
"Dominic Smith","TBR","AAA",29,21,80,89,21,16,3,0,2,10,11,8,0,26,1,0,0,3,1,0,0.2625,"15653"
"Billy McKinney","PIT","AAA",29,43,137,165,41,29,7,0,5,21,19,24,3,37,2,2,0,3,0,3,0.299270072,"15654"
"Reese McGuire","BOS","AAA",29,13,44,51,5,4,1,0,0,6,3,6,0,15,0,0,0,1,0,0,0.113636363,"15674"
"Jose Godoy","PHI","AAA",29,20,56,63,8,7,1,0,0,6,1,4,0,12,2,0,1,2,0,0,0.142857142,"15808"
"Erick Mejia","WSN","AAA",29,66,172,203,33,23,4,1,5,28,25,26,0,39,0,4,1,5,13,2,0.191860465,"15817"
"Luis Torrens","NYY","AAA",28,30,111,124,31,20,6,0,5,17,19,10,0,29,1,2,0,5,1,1,0.279279279,"15905"
"Austin Nola","KCR","AAA",34,55,161,191,28,18,5,0,5,19,24,17,0,45,2,1,10,4,0,0,0.173913043,"15941"
"Mark Payton","CHW","AAA",32,112,417,479,129,87,30,2,10,70,53,53,1,81,0,5,4,6,5,7,0.309352517,"16042"
"J.D. Davis","BAL","AAA",31,35,124,136,19,13,3,0,3,10,9,11,0,59,1,0,0,3,0,0,0.153225806,"16219"
"Nick Gordon","MIA","AAA",28,23,72,80,19,16,1,1,1,8,9,3,0,16,3,2,0,1,2,2,0.263888888,"16337"
"Pablo Reyes","NYM","AAA",30,68,230,267,69,48,7,2,12,47,42,33,0,39,0,2,2,3,15,2,0.3,"16357"
"Oscar Mercado","SDP","AAA",29,93,311,361,69,41,11,5,12,51,50,36,0,60,6,7,1,5,16,4,0.221864951,"16375"
"Brian Navarreto","MIL","AAA",29,40,147,159,33,26,5,1,1,16,19,10,0,32,0,1,0,4,0,0,0.224489795,"16398"
"Francisco Mejia","MIL","AAA",28,90,332,376,91,64,14,2,11,46,55,38,0,65,2,4,0,7,1,0,0.274096385,"16403"
"Sergio Alcantara","ARI","AAA",27,123,409,492,111,75,21,7,8,75,58,78,0,91,2,3,0,12,8,1,0.271393643,"16417"
"Jordan Luplow","PHI","AAA",30,62,220,254,56,33,13,0,10,41,32,28,0,52,3,3,0,10,12,2,0.254545454,"16424"
"Thairo Estrada","SFG","AAA",28,19,75,83,25,19,3,0,3,16,8,5,0,14,2,0,1,1,1,0,0.333333333,"16426"
"Jason Martin","LAA","AAA",28,70,269,306,77,44,17,3,13,54,45,31,2,66,3,2,1,9,5,5,0.286245353,"16429"
"Christian Arroyo","MIL","AAA",29,30,114,128,27,17,8,0,2,19,13,9,0,32,3,2,0,6,1,1,0.236842105,"16434"
"Forrest Wall","BAL","AAA",28,78,291,342,81,62,11,2,6,47,24,42,0,88,6,0,3,5,20,5,0.278350515,"16496"
"Kevin Padlo","KCR","AAA",27,64,227,276,43,22,12,0,9,27,37,41,0,79,2,6,0,7,9,1,0.189427312,"16593"
"Luis Urias","SEA","AAA",27,77,288,350,75,52,12,1,10,50,56,48,0,57,9,4,0,6,8,1,0.260416666,"16622"
"Greg Allen","NYY","AAA",31,58,178,218,40,25,9,3,3,29,22,23,0,47,9,3,5,1,13,2,0.224719101,"16623"
"Brian O'Keefe","KCR","AAA",30,72,242,280,68,38,12,0,18,36,58,34,0,55,0,4,0,7,0,1,0.280991735,"16680"
"Jason Vosler","SEA","AAA",30,119,466,524,141,81,25,4,31,92,110,46,1,113,7,4,0,7,4,1,0.302575107,"16686"
"Aramis Garcia","PHI","AAA",31,76,258,278,41,26,7,0,8,29,25,13,0,99,6,1,0,5,6,1,0.158914728,"16925"
"Derek Hill","MIA","AAA",28,44,164,185,57,32,13,4,8,36,17,17,0,44,3,1,0,3,7,1,0.347560975,"16947"
"Chadwick Tromp","ATL","AAA",29,60,234,267,71,49,15,0,7,32,48,29,0,48,1,3,0,6,0,0,0.303418803,"16953"
"Eddy Alvarez","BOS","AAA",34,115,381,454,94,49,26,1,18,74,77,49,0,109,13,4,7,3,18,7,0.24671916,"16959"
"Jose Herrera","ARI","AAA",27,37,127,149,33,25,5,1,2,23,19,19,0,23,0,2,1,3,0,1,0.259842519,"17040"
"Ramon Laureano","ATL","AAA",29,14,58,66,21,14,3,1,3,13,12,6,0,17,1,1,0,0,0,0,0.362068965,"17128"
"Chad Wallach","LAA","AAA",32,87,291,335,72,44,15,1,12,31,46,35,0,96,6,3,0,5,2,2,0.24742268,"17161"
"Alex Jackson","TBR","AAA",28,28,105,118,25,11,5,1,8,17,20,12,1,27,1,0,0,4,0,0,0.238095238,"17276"
"Luis Liberato","ATL","AAA",28,72,257,280,68,46,17,1,4,29,39,21,0,71,1,1,0,7,7,0,0.264591439,"17307"
"Michael Chavis","CHW","AAA",28,113,408,457,105,62,26,1,16,71,56,36,3,99,11,2,0,9,10,1,0.257352941,"17321"
"Cole Tucker","LAA","AAA",27,54,195,231,49,37,9,0,3,27,26,31,0,56,0,2,3,3,1,2,0.251282051,"17326"
"Myles Straw","CLE","AAA",29,123,434,495,104,77,18,6,3,62,47,53,2,95,1,4,3,11,30,1,0.239631336,"17620"
"Skye Bolt","ATL","AAA",30,39,106,127,25,18,4,1,2,20,18,18,0,33,0,3,0,3,1,0,0.235849056,"17723"
"DJ Stewart","NYM","AAA",30,26,82,106,23,15,5,0,3,15,9,19,0,33,4,1,0,2,5,0,0.280487804,"17766"
"Jakson Reetz","SFG","AAA",28,58,197,235,50,25,20,0,5,31,34,29,1,48,7,1,1,5,1,0,0.253807106,"17837"
"Willie Calhoun","LAA","AAA",29,48,174,203,48,34,10,0,4,23,28,24,0,29,3,2,0,5,1,3,0.275862068,"17838"
"Tyler Nevin","OAK","AAA",27,14,54,63,16,5,6,1,4,11,17,6,0,11,1,2,0,2,0,0,0.296296296,"17893"
