Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Christian Bethancourt","MIL","AAA",26,104,391,418,116,74,22,0,20,59,71,20,0,76,1,6,0,12,6,1,0.296675191,"10028"
"Chris Owings","ARI","AAA",26,21,91,92,26,19,4,2,1,15,11,1,0,17,0,0,0,2,1,2,0.285714285,"10030"
"Tomas Telis","MIA","AAA",27,76,282,306,87,73,7,3,4,36,47,20,7,30,2,1,1,10,3,2,0.308510638,"10067"
"Dustin Ackley","LAA","AAA",30,72,241,284,69,51,13,1,4,32,39,37,2,32,1,4,1,7,1,0,0.286307053,"10099"
"Francisco Arcia","LAA","AAA",28,43,145,168,41,33,3,2,3,18,26,11,0,25,5,1,6,3,2,1,0.28275862,"10286"
"Hector Sanchez","SFG","AAA",28,24,79,89,19,14,4,0,1,10,8,9,0,18,1,0,0,1,0,1,0.240506329,"10289"
"Eury Perez","SFG","AAA",28,52,144,157,38,28,7,2,1,21,20,7,0,19,1,1,4,2,8,3,0.263888888,"10299"
"Danny Ortiz","PHI","AAA",28,118,392,418,91,56,20,0,15,43,61,19,1,101,3,4,0,11,0,1,0.232142857,"10317"
"Danny Santana","ATL","AAA",27,82,322,342,85,45,21,3,16,57,40,15,0,80,0,3,2,6,12,5,0.263975155,"10322"
"Rafael Ortega","MIA","AAA",27,92,280,328,77,55,10,10,2,51,28,44,2,31,1,0,3,8,12,1,0.275,"10323"
"Rey Fuentes","ARI","AAA",27,85,302,342,80,58,11,5,6,46,39,34,2,64,4,2,0,8,10,2,0.264900662,"10329"
"Slade Heathcott","OAK","AAA",27,31,109,120,29,19,9,0,1,15,9,10,0,37,1,0,0,0,4,0,0.266055045,"10336"
"Gift Ngoepe","TOR","AAA",28,48,131,159,22,16,3,1,2,15,8,25,0,63,1,1,1,0,2,1,0.167938931,"10340"
"Mike Ohlman","BOS","AAA",27,69,236,276,49,33,6,0,10,28,28,36,0,91,1,3,0,6,1,0,0.207627118,"10347"
