Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Grant Green","MIA","AAA",29,295,0.312195121,1.6,0.223880597,0.47761194,0.298507462,0.233333333,0.016666666,0.45631068,0.24271845,0.30097087,0.12863436,383,752,1135,"10053"
"Max Stassi","HOU","AAA",26,287,0.320987654,1.109375,0.201183431,0.420118343,0.378698224,0.125,0.1875,0.46857143,0.27428571,0.25714286,0.09929078,483,645,1128,"10059"
"Tomas Telis","MIA","AAA",26,306,0.29317269,2.029850746,0.188,0.544,0.268,0.149253731,0.074626865,0.3359375,0.265625,0.3984375,0.05765595,367,691,1058,"10067"
"Dustin Ackley","LAA","AAA",29,505,0.294594594,1.17293233,0.218918918,0.421621621,0.359459459,0.165413533,0.045112781,0.35278515,0.21485411,0.43236074,0.04764173,842,1257,2099,"10099"
"Randal Grichuk","STL","AAA",25,67,0.297297297,0.461538461,0.095238095,0.285714285,0.619047619,0.115384615,0.23076923,0.48837209,0.3255814,0.18604651,0.14444444,97,173,270,"10243"
"Francisco Arcia","LAA","AAA",27,57,0.238095238,2.083333333,0.097560975,0.609756097,0.292682926,0.083333333,0,0.42857143,0.30952381,0.26190476,0.0989011,60,122,182,"10286"
"Adrian Nieto","CIN","AAA",27,101,0.246753246,2,0.108108108,0.594594594,0.297297297,0.318181818,0,0.42307692,0.24358974,0.33333333,0.0994152,123,219,342,"10294"
"Eury Perez","PIT","AAA",27,270,0.417085427,2.354166666,0.186868686,0.57070707,0.242424242,0.229166666,0.020833333,0.4368932,0.24757282,0.31553398,0.09217578,304,629,933,"10299"
"Oswaldo Arcia","ARI","AAA",26,400,0.367088607,0.754385964,0.215686274,0.337254901,0.447058823,0.131578947,0.210526315,0.40684411,0.29277567,0.30038023,0.10793466,684,1030,1714,"10306"
"Danny Ortiz","PIT","AAA",27,441,0.298136645,0.889705882,0.228228228,0.363363363,0.408408408,0.235294117,0.110294117,0.46017699,0.27138643,0.26843658,0.11404639,508,1044,1552,"10317"
"Rafael Ortega","SDP","AAA",26,472,0.345108695,1.013888888,0.21409214,0.395663956,0.390243902,0.222222222,0.041666666,0.41644562,0.27320955,0.31034483,0.04916136,655,1074,1729,"10323"
"Ramon Cabrera","MIA","AAA",27,216,0.2375,1.063492063,0.192546583,0.416149068,0.391304347,0.238095238,0.079365079,0.39393939,0.3030303,0.3030303,0.09581646,255,486,741,"10327"
"Rey Fuentes","ARI","AAA",26,192,0.405405405,2.896551724,0.236486486,0.567567567,0.195945945,0.172413793,0,0.5,0.14864865,0.35135135,0.08392603,252,451,703,"10329"
"Slade Heathcott","SFG","AAA",26,84,0.4,1.833333333,0.260869565,0.478260869,0.260869565,0.083333333,0.166666666,0.34693878,0.36734694,0.28571429,0.14613181,137,212,349,"10336"
"Gift Ngoepe","PIT","AAA",27,299,0.305882352,1.04347826,0.189655172,0.413793103,0.396551724,0.159420289,0.086956521,0.43258427,0.21910112,0.34831461,0.12254902,468,756,1224,"10340"
"John Ryan Murphy","MIN","AAA",26,293,0.261682242,1.209876543,0.182648401,0.447488584,0.369863013,0.24691358,0.074074074,0.49321267,0.239819,0.26696833,0.07862191,453,679,1132,"10346"
"Mike Ohlman","TOR","AAA",26,332,0.316129032,0.54117647,0.215568862,0.275449101,0.508982035,0.247058823,0.14117647,0.47904192,0.26946108,0.25149701,0.12275664,572,821,1393,"10347"
"Wilfredo Tovar","STL","AAA",25,391,0.292096219,1.346153846,0.172881355,0.474576271,0.352542372,0.259615384,0.057692307,0.45150502,0.24414716,0.30434783,0.07843137,485,943,1428,"10416"
"Cheslor Cuthbert","KCR","AAA",24,68,0.266666666,0.72,0.122448979,0.367346938,0.510204081,0.32,0.16,0.55102041,0.26530612,0.18367347,0.0982906,96,138,234,"10473"
"Rocky Gale","SDP","AAA",29,377,0.320689655,1.704545454,0.182130584,0.515463917,0.302405498,0.170454545,0.022727272,0.41016949,0.22372881,0.36610169,0.07761194,434,906,1340,"10533"
"Rico Noel","HOU","AAA",28,73,0.320754716,1.047619047,0.188679245,0.415094339,0.396226415,0.19047619,0,0.51851852,0.22222222,0.25925926,0.1221374,88,174,262,"10585"
"Joey Terdoslavich","PIT","AAA",28,397,0.312280701,1.292929292,0.214532871,0.442906574,0.342560553,0.141414141,0.07070707,0.39590444,0.24573379,0.35836177,0.10980392,611,919,1530,"10593"
"Bryce Brentz","BOS","AAA",28,494,0.292604501,1.181818181,0.221238938,0.421828908,0.356932153,0.231404958,0.256198347,0.51169591,0.27192982,0.21637427,0.12255679,725,1168,1893,"10607"
"David Freitas","ATL","AAA",28,270,0.292079207,2.06,0.23880597,0.51243781,0.248756218,0.12,0.06,0.45853659,0.19512195,0.34634146,0.06974359,384,591,975,"10619"
"Carlos Perez","LAA","AAA",26,300,0.391891891,0.84375,0.216814159,0.358407079,0.424778761,0.229166666,0.052083333,0.48017621,0.25991189,0.25991189,0.07605634,395,670,1065,"10642"
"Rob Brantly","CHW","AAA",27,321,0.304526748,0.781818181,0.216,0.344,0.44,0.2,0.09090909,0.44488189,0.22834646,0.32677165,0.09334566,370,712,1082,"10655"
"Gio Urshela","CLE","AAA",25,325,0.294354838,1.146067415,0.223577235,0.414634146,0.361788617,0.269662921,0.06741573,0.4453125,0.27734375,0.27734375,0.09130435,398,752,1150,"10681"
"Ryan LaMarre","LAA","AAA",28,194,0.371681415,1.676470588,0.165137614,0.522935779,0.311926605,0.117647058,0,0.39130435,0.28695652,0.32173913,0.13478819,275,504,779,"10700"
"Lane Adams","ATL","AAA",27,194,0.357142857,1,0.247863247,0.376068376,0.376068376,0.136363636,0.159090909,0.43697479,0.23529412,0.32773109,0.15890411,257,473,730,"10767"
"Jurickson Profar","TEX","AAA",24,383,0.302083333,1.34,0.1875,0.465277777,0.347222222,0.16,0.07,0.44481605,0.22408027,0.33110368,0.05203469,600,899,1499,"10815"
