Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Chris Owings","BOS","AAA",27,183,0.403846153,0.836734693,0.203539823,0.362831858,0.433628318,0.163265306,0.224489795,0.43103448,0.29310345,0.27586207,0.13642565,259,474,733,"10030"
"Tomas Telis","MIN","AAA",28,327,0.347014925,1.573170731,0.224264705,0.474264705,0.301470588,0.134146341,0.097560975,0.45289855,0.23188406,0.31521739,0.08382727,406,775,1181,"10067"
"Nick Franklin","LAA","AAA",28,307,0.285,0.917647058,0.197044334,0.384236453,0.418719211,0.188235294,0.070588235,0.50241546,0.26570048,0.23188406,0.10945274,488,718,1206,"10166"
"Francisco Arcia","NYY","AAA",29,220,0.245508982,2.47368421,0.195121951,0.573170731,0.231707317,0.184210526,0.026315789,0.49404762,0.16071429,0.3452381,0.10897436,250,530,780,"10286"
"Rafael Ortega","ATL","AAA",28,493,0.32278481,0.984126984,0.249249249,0.372372372,0.378378378,0.261904761,0.166666666,0.60237389,0.1958457,0.20178042,0.06923452,794,1257,2051,"10323"
"Gift Ngoepe","PHI","AAA",29,135,0.360655737,2.125,0.206349206,0.539682539,0.253968253,0.375,0.3125,0.36923077,0.26153846,0.36923077,0.1758034,194,335,529,"10340"
"John Ryan Murphy","ARI","AAA",28,186,0.254385964,0.714285714,0.225806451,0.322580645,0.451612903,0.214285714,0.178571428,0.45967742,0.27419355,0.26612903,0.13710879,244,427,671,"10346"
"Wilfredo Tovar","LAA","AAA",27,349,0.359430604,1.651685393,0.166077738,0.519434628,0.314487632,0.280898876,0.04494382,0.41608392,0.24125874,0.34265734,0.07679871,413,824,1237,"10416"
"Adeiny Hechavarria","NYM","AAA",30,102,0.395061728,1.222222222,0.25,0.4125,0.3375,0.222222222,0,0.3902439,0.20731707,0.40243902,0.09809264,134,233,367,"10459"
"Cheslor Cuthbert","KCR","AAA",26,219,0.365517241,0.923076923,0.177631578,0.394736842,0.427631578,0.23076923,0.123076923,0.4248366,0.26797386,0.30718954,0.13762626,285,507,792,"10473"
"Rocky Gale","LAD","AAA",31,173,0.3359375,1.295454545,0.217054263,0.441860465,0.341085271,0.136363636,0.045454545,0.40458015,0.24427481,0.35114504,0.12053571,212,460,672,"10533"
"Bryce Brentz","BOS","AAA",30,357,0.28488372,1.109589041,0.176470588,0.43315508,0.390374331,0.205479452,0.246575342,0.56544503,0.28795812,0.14659686,0.1556971,538,875,1413,"10607"
"David Freitas","SEA","AAA",30,384,0.428030303,1.481481481,0.263736263,0.439560439,0.296703296,0.074074074,0.148148148,0.40942029,0.26811594,0.32246377,0.08944183,589,898,1487,"10619"
"Rob Brantly","PHI","AAA",29,272,0.338308457,1.242857142,0.230392156,0.426470588,0.343137254,0.171428571,0.085714285,0.50241546,0.14009662,0.35748792,0.09928352,380,597,977,"10655"
"Ryan LaMarre","ATL","AAA",30,455,0.416370106,1.769230769,0.242105263,0.484210526,0.27368421,0.141025641,0.115384615,0.43642612,0.22680412,0.33676976,0.13111888,613,1103,1716,"10700"
"Arismendy Alcantara","NYM","AAA",27,339,0.363636363,1.594202898,0.182648401,0.502283105,0.315068493,0.231884057,0.188405797,0.47533632,0.21524664,0.30941704,0.12319392,493,822,1315,"10711"
"Lane Adams","PHI","AAA",29,306,0.365384615,0.830985915,0.207317073,0.359756097,0.432926829,0.126760563,0.169014084,0.41071429,0.32142857,0.26785714,0.17574257,467,745,1212,"10767"
"Tyler Saladino","MIL","AAA",29,310,0.322404371,1.081081081,0.218274111,0.40609137,0.375634517,0.148648648,0.229729729,0.475,0.225,0.3,0.09674861,520,741,1261,"10807"
"Rangel Ravelo","STL","AAA",27,381,0.335877862,1.658227848,0.227941176,0.481617647,0.290441176,0.189873417,0.151898734,0.41970803,0.20072993,0.37956204,0.08817498,560,903,1463,"10839"
"Adam Duvall","ATL","AAA",30,429,0.260869565,0.585714285,0.195652173,0.297101449,0.507246376,0.285714285,0.228571428,0.52797203,0.23426573,0.23776224,0.07853403,668,1051,1719,"10950"
"Phil Gosselin","PHI","AAA",30,353,0.364806866,0.8317757,0.179916317,0.372384937,0.447698744,0.130841121,0.074766355,0.38271605,0.30452675,0.3127572,0.06638714,556,875,1431,"10953"
"Christian Colon","CIN","AAA",30,582,0.315192743,1.167701863,0.210407239,0.425339366,0.364253393,0.204968944,0.062111801,0.47930283,0.22875817,0.291939,0.06026365,813,1311,2124,"11145"
"Cameron Rupp","DET","AAA",30,215,0.275862068,0.745762711,0.169354838,0.354838709,0.475806451,0.20338983,0.169491525,0.41269841,0.29365079,0.29365079,0.11963883,334,552,886,"11146"
"Elliot Soto","COL","AAA",29,463,0.370967741,1.741573033,0.222929936,0.493630573,0.28343949,0.101123595,0.11235955,0.35714286,0.25465839,0.38819876,0.08301475,708,1123,1831,"11155"
