Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Buster Posey","SFG","C",1069.2,11,1,2,,,5,,,22,,,,,,,28.979999542236328,,1,39.51958880843419,"Buster Posey",9166,457763
"Yasmani Grandal","LAD","C",954.1,14,-1,-1,,,-2,,,16,,,,,,,28.780000686645508,,0,36.929325368953954,"Yasmani Grandal",11368,518735
"Jason Castro","HOU","C",908.2,6,-4,-1,,,1,,,3,,,,,,,16.06999969482422,,-1,23.02992299310485,"Jason Castro",8722,488771
"Billy Hamilton","CIN","CF",942.1,,,,,3,4,11,,18,1.897860050201416,,9.734319686889648,0.21785299479961395,11.850030422210693,15.33671504665115,,22,21,20.98003957926742,"Billy Hamilton",10199,571740
"Russell Martin","TOR","C",1069.1,11,3,-6,,,1,,,8,,,,,,,15.079999923706055,,-4,20.458924471254672,"Russell Martin",4616,431145
"Francisco Lindor","CLE","SS",1364.2,,,,-2,,-2,13,,9,,0.3909820020198822,10.748499870300293,3.5829649567604065,14.722482055425644,14.713396776562032,,15,12,19.825220896415495,"Francisco Lindor",12916,596019
"Addison Russell","CHC","SS",1262.2,,,,-1,,0,16,,15,,-0.5053470134735107,8.81348991394043,1.9622739553451538,10.270452737808228,9.663666314000537,,15,12,19.44358730971839,"Addison Russell",14106,608365
"Adam Eaton","CHW","RF",980.1,,,,,9,4,14,,27,9.626810073852539,,8.047450065612793,0.8194799944758415,18.49374008178711,19.896828257078155,,18,25,19.21173881083766,"Adam Eaton",11205,594809
"Yadier Molina","STL","C",1218.1,3,4,-6,,,2,,,1,,,,,,,9.520000457763672,,-1,19.023166233685185,"Yadier Molina",7007,425877
"Ender Inciarte","ATL","CF",1044,,,,,4,1,8,,13,5.5938801765441895,,1.19173002243042,0.21244598925113678,6.998050212860107,9.569496018254858,,19,18,17.203821321832336,"Ender Inciarte",4922,542255
"Francisco Cervelli","PIT","C",808,5,7,-2,,,-2,,,6,,,,,,,11.210000038146973,,-2,16.497706249753463,"Francisco Cervelli",5275,465041
