Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Robbie Grossman","MIN","LF",133,,,,,-1,-1,3,,1,-1.313770055770874,,0.8255829811096191,-0.38649898767471313,-0.874686062335968,-6.712835582724789,,0,-1,-1.1388063278304135,"Robbie Grossman",5254,543257
"Phillip Ervin","CIN","CF",63,,,,,-1,-1,0,,-2,-1.28889000415802,,-0.8412989974021912,-0.2256065122783184,-2.3558000326156616,-48.15425078074138,,0,-1,-1.1508216861063965,"Phillip Ervin",14738,640447
"Randal Grichuk","STL","LF",440.1,,,,,1,0,0,,1,-0.5723099708557129,,1.1462299823760986,-0.018072009086608887,0.5558500289916992,2.3122129440307617,,0,0,-1.1525857686344079,"Randal Grichuk",10243,545341
"Ben Revere","LAA","LF",594.2,,,,,-5,-2,-1,,-8,-4.295289993286133,,0.5258479714393616,0.23341400921344757,-3.53602796792984,-6.67837717785285,,3,1,-1.1534245380087302,"Ben Revere",4712,519184
"José Pirela","SDP","1B",30,,,,0,,0,0,,0,,,-0.10224699974060059,-0.6182704865932465,-0.7205179929733276,-27.019424736499786,,-1,-1,-1.1581670540375062,"Jose Pirela",5485,517369
"Johnny Giavotella","BAL","2B",19,,,,-1,,0,-1,,-2,,,-0.39541101455688477,0.08490843931213021,-0.31050199270248413,-23.28764945268631,,-2,-1,-1.1652835779023285,"Johnny Giavotella",6740,543213
"Chris Carter","NYY","1B",433.1,,,,-1,,-2,-1,,-3,,-0.06313730031251907,0.0648982971906662,-1.6477615423500538,-1.645997293293476,-13.747593767794907,,3,3,-1.1703815081852613,"Chris Carter",9911,474892
"Scooter Gennett","CIN","LF",55,,,,,0,0,1,,1,-0.3455060124397278,,-0.013271699659526348,0.06798480078577995,-0.29079291224479675,-6.996257305145264,,-1,-1,-1.1738631640395103,"Scooter Gennett",10339,571697
"Drew Robinson","TEX","3B",127.1,,,,0,,0,0,,0,,-0.2814820110797882,0.38015300035476685,-0.18261639773845673,-0.08394500613212585,-0.17622195702185595,,-2,-2,-1.1756239692172548,"Drew Robinson",11761,592685
"Derek Fisher","HOU","LF",267,,,,,0,0,3,,3,1.3130700588226318,,0.3940199911594391,0.34304800629615784,2.0501380562782288,10.719643873827799,,0,0,-1.1787778293516866,"Derek Fisher",16192,605233
"Nelson Cruz","SEA","RF",28,,,,,0,0,-1,,-1,0.0854353979229927,,-0.8442990183830261,0.06781229749321938,-0.6910515949130058,-22.710607387125492,,-1,-1,-1.1872112318745585,"Nelson Cruz",2434,443558
"Hyun Soo Kim","- - -","LF",356.2,,,,,-2,0,-2,,-4,-2.6331549882888794,,-1.6978718638420105,0.5388199985027313,-3.7921948432922363,-14.345305081474724,,-1,0,-1.1881350332171845,"Hyun Soo Kim",18718,547957
"Gio Urshela","CLE","2B",23.2,,,,0,,0,-1,,-1,,,-0.23668800294399261,-0.5608955919742584,-0.7975829839706421,-29.90936189889908,,-2,-1,-1.1904677802957941,"Gio Urshela",10681,570482
"Kirk Nieuwenhuis","MIL","CF",45,,,,,0,0,0,,0,-0.30361199378967285,,-0.5053589940071106,0.07258930057287216,-0.736382007598877,-22.204700112342834,,-1,-1,-1.2013616184600175,"Kirk Nieuwenhuis",6400,543590
"Chad Pinder","OAK","2B",117,,,,0,,1,-1,,0,,-0.21244600415229797,-1.0829800367355347,0.16435309499502182,-1.1310720145702362,-9.907885660466395,,-2,-2,-1.206168102949089,"Chad Pinder",15191,640461
"Chase Utley","LAD","1B",88,,,,0,,0,0,,0,,-0.10769200325012207,0.34699898958206177,-0.5144627708941698,-0.27515600621700287,-4.934816776464383,,-1,-1,-1.2081015842235288,"Chase Utley",1679,400284
"Adam Frazier","PIT","RF",95,,,,,0,-1,-1,,-2,0.07183559983968735,,-1.2097899913787842,0.1482064053416252,-0.9897443428635597,-11.92283178679645,,-1,-1,-1.210295148175707,"Adam Frazier",15223,624428
"Eddie Rosario","MIN","CF",50,,,,,0,0,-4,,-4,-0.12232500314712524,,-2.9975199699401855,0.12141609936952591,-2.998435080051422,-50.55641801584334,,-1,-1,-1.2166684080138301,"Eddie Rosario",12155,592696
"Jason Kipnis","CLE","CF",71,,,,,0,0,-3,,-3,-0.40046998858451843,,-1.9156700372695923,0.1273632012307644,-2.188780039548874,-36.47966732581456,,-1,-1,-1.2280476415977777,"Jason Kipnis",9776,543401
"Rio Ruiz","ATL","3B",337.1,,,,0,,0,1,,1,,-0.08424849808216095,0.3051320016384125,1.9560109376907349,2.1768916100263596,7.439554001364994,,-2,-3,-1.2284331281183063,"Rio Ruiz",14103,547004
"Ryan Flaherty","BAL","3B",19,,,,0,,0,-1,,-1,,,-0.30571499466896057,-0.6357695264741778,-0.9414839744567871,-70.61129808425903,,-2,-1,-1.229520023005309,"Ryan Flaherty",7888,475247
"Garrett Cooper","NYY","1B",103,,,,0,,0,0,,0,,,0.28567400574684143,0.13218678627163172,0.4178610146045685,15.669788047671318,,-1,0,-1.2298132495939338,"Garrett Cooper",15279,643265
"Justin Ruggiano","SFG","LF",33,,,,,0,0,0,,0,-0.15845799446105957,,0.2970139980316162,0.09425750002264977,0.2328140139579773,5.413312784263066,,-1,-1,-1.2324257140525907,"Justin Ruggiano",7620,448605
"Didi Gregorius","NYY","SS",1174.2,,,,-3,,0,11,,8,,-1.53780996799469,4.403590202331543,4.110687077045441,6.976470351219177,6.47547787993038,,-10,-10,-1.2370658706572986,"Didi Gregorius",6012,544369
