Name,Team,Pos,G,GS,Inn,Throwing,Blocking,Framing,Arm,Range,FRV,NameASCII,PlayerId,MLBAMID
"Byron Buxton","MIN","CF",137,131,1143,,,,2,24,25,"Byron Buxton",14161,621439
"Andrelton Simmons","LAA","SS",158,158,1369.2,,,,1,15,20,"Andrelton Simmons",10847,592743
"Ender Inciarte","ATL","CF",156,154,1359.2,,,,1,17,18,"Ender Inciarte",4922,542255
"DJ LeMahieu","COL","2B",153,151,1302,,,,0,15,17,"DJ LeMahieu",9874,518934
"Billy Hamilton","CIN","CF",137,135,1175.1,,,,6,10,16,"Billy Hamilton",10199,571740
"Mookie Betts","BOS","RF",153,153,1389.1,,,,1,14,15,"Mookie Betts",13611,605141
"Adam Engel","CHW","CF",95,91,799,,,,-4,18,14,"Adam Engel",15082,641553
"Adam Duvall","CIN","LF",151,147,1277.1,,,,6,6,12,"Adam Duvall",10950,594807
"Francisco Lindor","CLE","SS",158,158,1377,,,,0,9,12,"Francisco Lindor",12916,596019
"Jackie Bradley Jr.","BOS","CF",132,131,1204.1,,,,0,12,12,"Jackie Bradley Jr.",12984,598265
"Addison Russell","CHC","SS",101,91,808.1,,,,0,12,12,"Addison Russell",14106,608365
"Juan Lagares","NYM","CF",85,58,566.2,,,,4,6,11,"Juan Lagares",5384,501571
"Brian Dozier","MIN","2B",152,151,1311,,,,0,12,11,"Brian Dozier",9810,572821
"Jedd Gyorko","STL","3B",109,102,900,,,,0,11,11,"Jedd Gyorko",10816,576397
"Kevin Kiermaier","TBR","CF",97,95,829.2,,,,0,11,11,"Kevin Kiermaier",11038,595281
"Travis Shaw","MIL","3B",143,142,1221.1,,,,0,10,11,"Travis Shaw",11982,543768
"Manuel Margot","SDP","CF",123,121,1049.2,,,,3,9,11,"Manuel Margot",14712,622534
"Lorenzo Cain","KCR","CF",151,151,1275,,,,-4,13,10,"Lorenzo Cain",9077,456715
"Nolan Arenado","COL","3B",157,156,1343.1,,,,0,8,10,"Nolan Arenado",9777,571448
"Kyle Seager","SEA","3B",154,153,1353.1,,,,0,7,10,"Kyle Seager",9785,572122
