Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Raúl Alcántara 알칸타라","Heroes (KBO)",32,8,4,3.272727272727273,19,19,0,0,0,0,0,121,492,125,50,44,11,10,0,4,3,0,92,"Raul Alcantara","12790",
"William Cuevas 쿠에바스","Wiz (KBO)",34,3,10,5.400000279313441,18,18,0,0,0,0,0,98.1,445,104,69,59,13,46,0,5,4,1,60,"William Cuevas","13331",
"Hyun Jin Ryu 류현진","Eagles (KBO)",38,9,7,3.2296651896669375,26,26,0,0,0,0,0,139.1,574,144,54,50,12,25,2,4,2,0,122,"Hyun Jin Ryu","14444",
"Drew Anderson 앤더슨","Landers (KBO)",31,12,7,2.2543690656269595,30,30,0,0,0,0,0,171.2,694,121,53,43,13,51,1,9,10,0,245,"Drew Anderson","15130",
"Yonny Chirinos 치리노스","Twins (KBO)",31,13,6,3.305084745762712,30,30,0,0,0,0,0,177,737,173,71,65,5,36,0,9,4,0,137,"Yonny Chirinos","16401",
"Elieser Hernández 에르난데스","Twins (KBO)",30,4,4,4.2272727272727275,14,14,0,0,0,0,0,66,276,53,32,31,7,24,0,5,3,0,73,"Elieser Hernandez","16933",
"Ariel Jurado ","Lions (KBO)",,15,8,2.599662229168408,30,30,3,2,0,0,0,197.1,786,177,65,57,17,36,0,4,3,0,142,"Ariel Jurado","17030",
"Cody Ponce 폰세","Eagles (KBO)",31,17,1,1.8929888765964613,29,29,0,0,0,0,0,180.2,697,128,41,38,10,41,0,6,7,3,252,"Cody Ponce","17920",
"James Naile 네일","Tigers (KBO)",32,8,4,2.2454361749749228,27,27,0,0,0,0,0,164.1,664,135,46,41,6,41,0,15,4,0,152,"James Naile","18186",
"Logan Allen 로건","Dinos (KBO)",28,7,12,4.526011560693641,32,31,0,0,0,0,0,173,770,180,98,87,18,67,3,10,6,0,149,"Logan Allen","18555",
"Mitch White 화이트","Landers (KBO)",30,11,4,2.873762593317511,24,24,1,0,0,0,0,134.2,562,111,51,43,9,44,1,8,6,0,137,"Mitch White","19225",
"Cole Irvin 콜어빈","Bears (KBO)",31,8,12,4.479262987779396,28,28,0,0,0,0,0,144.2,649,142,80,72,9,79,1,18,6,0,128,"Cole Irvin","19244",
"Patrick Murphy 패트릭","Wiz (KBO)",30,3,3,3.1153847459807658,15,9,0,0,0,0,2,60.2,267,63,26,21,2,21,0,2,5,0,45,"Patrick Murphy","19712",
"Gerson Garabito 가라비토","Lions (KBO)",29,4,4,2.64255336307304,15,15,0,0,0,0,0,78.1,327,56,31,23,6,37,1,6,2,0,84,"Gerson Garabito","19835",
"Tucker Davidson 데이비슨","Giants (KBO)",29,10,5,3.6486487991188175,22,22,0,0,0,0,0,123.1,529,123,53,50,10,48,0,5,4,1,119,"Tucker Davidson","19871",
"Kenny Rosenberg 로젠버그","Heroes (KBO)",26,4,4,3.2256639346005556,13,13,0,0,0,0,0,75.1,320,63,33,27,5,25,0,4,2,0,80,"Kenny Rosenberg","20009",
"Adam Oller 올러","Tigers (KBO)",30,11,7,3.6241610738255035,26,26,1,0,0,0,0,149,620,125,64,60,8,47,0,8,2,0,169,"Adam Oller","20132",
"Zach Logue 잭로그","Bears (KBO)",29,10,8,2.8125,30,29,0,0,0,0,1,176,722,146,66,55,8,39,0,17,4,0,156,"Zach Logue","20231",
