Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Jong-deok Na 나종덕","Giants (KBO)",25,130.1,7.872123069358223,2.900255867658293,2.71428571,0.5524296890777701,0.20035149,0.07381371,0.12653779,0.26819923,1.3964194918354744,0.33,0.71672355,3.7979541124096694,3.5310890559636885,0.2668650564459809,"Jong-deok Na","sa3012648",
"Sang-won Park 박상원","Eagles (KBO)",28,61.2,8.318919776598934,4.232432868795948,1.96551724,0.2918919219859275,0.20577617,0.10469314,0.10108303,0.25714286,1.4918920457058515,0.32795699,0.65075922,3.6486490248240933,3.530384011369627,0.11826501345446605,"Sang-won Park","sa3012657",
"Been Gwak 곽빈","Bears (KBO)",24,127.1,7.492146896128506,4.099476603542012,1.82758621,0.4947644176688636,0.20152091,0.11026616,0.09125475,0.20734341,1.2094241320794443,0.25428571,0.77077748,2.8979058749176296,3.934685703208941,-1.0367798282913112,"Been Gwak","sa3012674",
"Woo-jin An 안우진","Heroes (KBO)",23,150.2,9.796459846278507,2.2699114277962398,4.31578947,0.29867255628897893,0.26973684,0.0625,0.20723684,0.21265378,1.0553096988877255,0.29,0.75816993,2.3893804503118314,2.4316277523049723,-0.04224730199314086,"Woo-jin An","sa3012678",
"Chae-heung Choi 최채흥","Lions (KBO)",28,63.1,4.689473778362752,2.2736842561758794,2.0625,1.2789473940989322,0.11186441,0.05423729,0.05762712,0.32608696,1.6736842441294668,0.34615385,0.59128631,6.678947502516646,5.105917460396681,1.5730300421199654,"Chae-heung Choi","sa3012683",
"Min-jun Choi 최민준","Landers (KBO)",24,60,5.550001058578693,2.850000543594464,1.94736842,1.0500002002716446,0.14122137,0.07251908,0.06870229,0.30991736,1.566666965484676,0.34343434,0.77464789,4.200000801086579,4.683987846374558,-0.48398704528797953,"Min-jun Choi","sa3012698",
"Young-kyu Kim 김영규","Dinos (KBO)",23,61.2,7.005406994370681,3.3567575181359515,2.08695652,0.2918919580987784,0.19433198,0.09311741,0.10121458,0.20179372,1.102702952817607,0.24855491,0.70996979,3.064865560037173,3.4330867080535237,-0.36822114801635086,"Young-kyu Kim","sa3012700",
"Dong-hyun Son 손동현","Wiz (KBO)",22,73.2,4.8868785028764545,2.5656112140101386,1.9047619,0.6108598128595568,0.13245033,0.06953642,0.06291391,0.2437276,1.2081449632111236,0.26923077,0.71428571,3.4208149520135183,4.133686043696239,-0.7128710916827203,"Dong-hyun Son","sa3012706",
"Woo-young Jung 정우영","Twins (KBO)",23,51.2,7.141936362720165,2.9612906869815316,2.41176471,0.17419356982244305,0.16734694,0.06938776,0.09795918,0.29577465,1.5483872873106048,0.3625731,0.5982906,4.703226385205962,3.9232349777320996,0.7799914074738625,"Woo-young Jung","sa3012714",
"Tae-in Won 원태인","Lions (KBO)",23,150,6.12,2.04,3,0.9,0.16088328,0.05362776,0.10725552,0.26262626,1.2666666666666666,0.29559748,0.77142857,3.18,4.140654268264771,-0.9606542682647707,"Tae-in Won","sa3012723",
"Myung-gi Song 송명기","Dinos (KBO)",22,104.1,5.607029437352073,4.054313593162267,1.38297872,1.0351438961265365,0.1371308,0.09915612,0.03797468,0.25480769,1.4664538528459266,0.27728614,0.67934783,4.83067151525717,5.317587409239838,-0.4869158939826681,"Myung-gi Song","sa3012743",
"Hyo-jun Ko 고효준","Landers (KBO)",40,58,10.241382678256421,6.517243522526814,1.57142857,0.465517394466201,0.2519084,0.16030534,0.09160305,0.22580645,1.5689660332008997,0.31081081,0.70155902,4.500001479839943,4.124792437434417,0.3752090424055261,"Hyo-jun Ko","sa3012882",
"Kyung-eun Noh 노경은","Landers (KBO)",39,83,7.0481940668302,3.903615175475187,1.80555556,0.433735019497243,0.18207283,0.10084034,0.08123249,0.24605678,1.3734942284079363,0.2983871,0.75622776,3.578313910852255,3.9066784576782214,-0.3283645468259664,"Kyung-eun Noh","sa3012918",
"Jin-sung Kim 김진성","Twins (KBO)",38,70.1,8.829385482532354,3.327014819504945,2.65384615,1.023696867539983,0.25555556,0.0962963,0.15925926,0.16803279,0.9526068072941508,0.19760479,0.89605735,2.175355843522464,4.026246798428094,-1.8508909549056298,"Jin-sung Kim","sa3013091",
