Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Seung-min Koo 구승민","Giants (KBO)",30,5,2,3.580111251770199,57,0,0,0,0,5,22,60.1,238,40,25,24,8,26,2,0,1,0,58,"Seung-min Koo","sa3012379",
"Young-chang Koh 고영창","Tigers (KBO)",31,1,1,6.8275875540610125,48,0,0,0,1,0,2,58,275,88,46,44,3,17,2,5,6,2,23,"Young-chang Koh","sa3012388",
"Jun-pyo Park 박준표","Tigers (KBO)",28,7,1,1.56774224415288,50,0,0,0,4,5,13,51.2,205,41,16,9,3,8,2,0,2,0,44,"Jun-pyo Park","sa3012391",
"Se-woong Park 박세웅","Giants (KBO)",24,8,10,4.714285714285714,28,28,0,0,0,0,0,147,658,177,85,77,20,47,0,8,13,0,108,"Se-woong Park","sa3012427",
"Yeong-u Jo 조영우","Wyverns (KBO)",25,2,4,5.961039551676916,35,7,0,0,0,0,0,77,340,96,52,51,12,25,0,2,4,0,38,"Yeong-u Jo","sa3012483",
"Seung-jin Lee 이승진","Bears (KBO)",25,2,4,5.610390583205138,33,5,0,0,0,2,5,51.1,228,55,33,32,3,22,1,2,0,0,54,"Seung-jin Lee","sa3012489",
"Geun-wook Lee 이건욱","Wyverns (KBO)",25,6,12,5.680327868852459,27,25,0,0,0,0,0,122,542,105,77,77,11,81,0,6,6,1,91,"Geun-wook Lee","sa3012490",
"Min-ho Park 박민호","Wyverns (KBO)",28,2,1,2.4230774563446316,57,0,0,0,4,4,11,52,215,43,16,14,4,19,0,2,0,0,36,"Min-ho Park","sa3012493",
"Min-su Kim 김민수","Wiz (KBO)",27,3,8,6.0967744936432124,33,18,0,0,0,2,0,103.1,482,151,80,70,14,30,0,4,6,0,63,"Min-su Kim","sa3012504",
"Kwon Ju 주권","Wiz (KBO)",25,6,2,2.700000588553421,77,0,0,0,0,6,31,70,294,54,25,21,6,32,1,1,0,0,37,"Kwon Ju","sa3012508",
"Won-tae Choi 최원태","Heroes (KBO)",23,7,6,5.072727272727272,21,21,0,0,0,0,0,110,478,115,68,62,16,37,2,7,6,0,67,"Won-tae Choi","sa3012525",
"Je-seong Bae 배제성","Wiz (KBO)",23,10,7,3.948113349630728,26,26,0,0,0,0,0,141.1,619,130,67,62,12,76,0,4,11,1,83,"Je-seong Bae","sa3012544",
"Min-woo Lee 이민우","Tigers (KBO)",27,6,10,6.79245331907836,22,22,0,0,0,0,0,106,486,129,87,80,11,47,0,6,4,0,67,"Min-woo Lee","sa3012546",
"Kyeong-chan Moon 문경찬","- - -",27,0,5,5.019231505648027,56,0,0,0,10,3,14,52,225,51,35,29,11,15,0,2,0,0,44,"Kyeong-chan Moon","sa3012549",
"Min-woo Kim 김민우","Eagles (KBO)",24,5,10,4.341708875624221,26,25,0,0,0,0,0,132.2,593,121,72,64,15,72,3,7,10,2,124,"Min-woo Kim","sa3012556",
"Beom-su Kim 김범수","Eagles (KBO)",24,3,6,5.236364362732539,24,8,0,0,0,2,0,55,259,55,34,32,9,42,3,3,1,0,55,"Beom-su Kim","sa3012557",
"Chang-mo Koo 구창모","Dinos (KBO)",23,9,0,1.735714238419826,15,14,0,0,0,0,1,93.1,348,58,20,18,7,18,0,0,1,0,102,"Chang-mo Koo","sa3012564",
"Young-ha Lee 이영하","Bears (KBO)",23,5,11,4.5681823462494755,42,19,0,0,6,2,0,132,605,148,78,67,9,66,3,5,4,1,85,"Young-ha Lee","sa3012579",
"Sung-young Choi 최성영","Dinos (KBO)",23,2,4,6.082417837391018,14,13,0,0,0,0,0,60.2,278,67,45,41,13,35,0,3,2,0,27,"Sung-young Choi","sa3012618",
"Won-joon Choi 최원준","Bears (KBO)",25,10,2,3.804878284787948,42,18,0,0,0,0,0,123,532,134,52,52,15,35,0,7,2,1,94,"Won-joon Choi","sa3012637",
"Chi-guk Park 박치국","Bears (KBO)",22,4,4,2.888372503005272,63,0,0,0,0,3,9,71.2,317,65,34,23,5,34,4,5,1,0,66,"Chi-guk Park","sa3012638",
"Seung-ho Lee 이승호","Heroes (KBO)",21,6,6,5.081460783057498,24,23,0,0,0,0,0,118.2,517,132,71,67,15,40,0,5,3,1,73,"Seung-ho Lee","sa3012651",
"Sang-won Park 박상원","Eagles (KBO)",25,1,0,4.655173026140545,62,0,0,0,1,4,10,58,256,62,35,30,8,20,4,4,2,1,52,"Sang-won Park","sa3012657",
"Min-gyu Kim 김민규","Bears (KBO)",21,1,1,4.893750466704413,29,4,0,0,1,2,0,53.1,231,47,30,29,3,22,2,3,1,0,54,"Min-gyu Kim","sa3012671",
"Yun-su Kim 김윤수","Lions (KBO)",20,3,5,4.655173332314327,61,0,0,0,0,3,12,58,266,66,34,30,6,31,3,1,7,0,41,"Yun-su Kim","sa3012680",
"Chae-heung Choi 최채흥","Lions (KBO)",25,11,6,3.5753424657534247,26,26,1,1,0,0,0,146,617,131,67,58,12,51,0,7,3,3,123,"Chae-heung Choi","sa3012683",
"Young-kyu Kim 김영규","Dinos (KBO)",20,2,2,5.453202175392271,20,13,0,0,0,0,0,67.2,296,83,47,41,12,14,0,2,5,2,55,"Young-kyu Kim","sa3012700",
