Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Eric Jokisch 요키시","Heroes (KBO)",33,5,3,4.3857869718827365,12,12,0,0,0,0,0,65.2,286,81,37,32,3,14,1,3,1,0,51,"Eric Jokisch","11157",
"David Buchanan 뷰캐넌","Lions (KBO)",34,12,8,2.5372340425531914,30,30,1,0,0,0,0,188,784,174,71,53,4,43,1,6,6,1,139,"David Buchanan","11176",
"Roenis Elías 엘리아스","Landers (KBO)",34,8,6,3.700507757526059,22,21,0,0,0,0,0,131.1,548,140,58,54,12,33,1,6,0,0,93,"Roenis Elias","12673",
"Raúl Alcántara 알칸타라","Bears (KBO)",30,13,9,2.671875,31,31,0,0,0,0,0,192,777,171,67,57,16,35,1,5,3,0,162,"Raul Alcantara","12790",
"William Cuevas 쿠에바스","Wiz (KBO)",32,12,0,2.5976677540445023,18,18,0,0,0,0,0,114.1,460,95,33,33,4,24,1,2,5,0,100,"William Cuevas","13331",
"Félix Peña 페냐","Eagles (KBO)",33,11,11,3.603383561998627,32,32,0,0,0,0,0,177.1,751,149,82,71,14,59,1,18,16,4,147,"Felix Pena","13403",
"Adam Plutko 플럿코","Twins (KBO)",31,11,3,2.4081082074184192,21,21,0,0,0,0,0,123.1,510,115,37,33,5,31,1,3,2,0,101,"Adam Plutko","15846",
"Aaron Wilkerson 윌커슨","Giants (KBO)",34,7,2,2.2594142980667913,13,13,0,0,0,0,0,79.2,327,67,28,20,3,20,0,2,3,1,81,"Aaron Wilkerson","16904",
"Ariel Jurado ","Heroes (KBO)",,11,8,2.646098150186038,30,30,0,0,0,0,0,183.2,763,164,64,54,7,41,0,9,5,0,147,"Ariel Jurado","17030",
"Thomas Pannone 파노니","Tigers (KBO)",29,6,3,4.263158158099721,16,15,0,0,0,0,0,82.1,351,86,41,39,6,23,0,2,0,0,66,"Thomas Pannone","17281",
"Erick Fedde 페디","Dinos (KBO)",30,20,6,1.9963031986343243,30,30,0,0,0,0,0,180.1,708,137,46,40,9,35,0,4,5,0,209,"Erick Fedde","17425",
"Ricardo Sánchez 산체스","Eagles (KBO)",26,7,8,3.7857142857142856,24,24,0,0,0,0,0,126,540,136,62,53,13,28,2,6,3,0,99,"Ricardo Sanchez","17581",
"Brandon Waddell 브랜든","Bears (KBO)",29,11,3,2.4936306338372356,18,18,0,0,0,0,0,104.2,427,80,34,29,4,30,0,12,3,0,100,"Brandon Waddell","18347",
