Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Brooks Raley 레일리","Giants (KBO)",29,13,7,3.7953805696887404,30,30,1,0,0,0,0,187.1,798,199,87,79,19,44,0,17,3,1,156,"Brooks Raley","10061",
"Alexi Ogando 오간도","Eagles (KBO)",33,10,5,3.9272727272727272,19,19,0,0,0,0,0,110,475,115,53,48,8,30,0,11,6,1,74,"Alexi Ogando","10261",
"Donn Roach 로치","Wiz (KBO)",27,4,15,4.6909090909090905,28,28,1,0,0,0,0,165,743,200,106,86,18,60,0,13,10,1,99,"Donn Roach","10620",
"Merrill Kelly 켈리","Wyverns (KBO)",28,16,7,3.6,30,30,0,0,0,0,0,190,815,204,85,76,16,45,2,11,9,1,189,"Merrill Kelly","11156",
"Pat Dean 팻딘","Tigers (KBO)",28,9,7,4.142045454545454,30,29,1,0,0,0,0,176,770,211,86,81,22,39,1,16,3,0,143,"Pat Dean","11350",
"Chang-Yong Lim 임창용","Tigers (KBO)",41,8,6,3.78,51,0,0,0,7,5,9,50,225,51,22,21,3,22,2,5,2,0,58,"Chang-Yong Lim","14445",
"Andy Van Hekken 밴헤켄","Heroes (KBO)",37,8,7,3.7735032718049646,24,24,0,0,0,0,0,138.1,591,140,68,58,13,42,0,2,4,0,139,"Andy Van Hekken","1630",
"Hyeon-Jong Yang 양현종","Tigers (KBO)",29,20,6,3.444833658254034,31,31,1,0,0,0,0,193.1,808,209,88,74,17,45,0,0,14,0,158,"Hyeon-Jong Yang","27513",
"Jake Brigham 브리검","Heroes (KBO)",29,10,6,4.375,24,24,0,0,0,0,0,144,619,166,77,70,17,26,0,13,8,0,98,"Jake Brigham","2851",
"Hector Noesí 헥터","Tigers (KBO)",30,20,5,3.4809858533105222,30,30,1,0,0,0,0,201.2,854,221,83,78,21,45,1,5,7,0,149,"Hector Noesi","3292",
"Carlos Villanueva 비야누에바","Eagles (KBO)",33,5,7,4.178571428571429,20,20,0,0,0,0,0,112,461,108,58,52,12,23,0,5,5,0,68,"Carlos Villanueva","4138",
"David Huff 허프","Twins (KBO)",32,6,4,2.3823465747649393,19,17,2,0,0,0,0,124.2,490,100,37,33,7,14,0,2,2,0,98,"David Huff","4257",
"Dustin Nippert 니퍼트","Bears (KBO)",36,14,8,4.057506218652484,30,30,0,0,0,0,0,179.2,782,175,88,81,20,77,0,10,13,0,161,"Dustin Nippert","4426",
"Michael Bowden 보우덴","Bears (KBO)",30,3,5,4.637406470719275,17,17,0,0,0,0,0,87.1,389,90,47,45,15,38,0,6,6,1,51,"Michael Bowden","4440",
"Scott Diamond 다이아몬드","Wyverns (KBO)",30,10,7,4.421847445723346,24,24,1,1,0,0,0,134.1,581,163,69,66,11,35,1,9,2,0,59,"Scott Diamond","5089",
"Ryan Feierabend 피어밴드","Wiz (KBO)",31,8,10,3.0375,26,26,1,1,0,0,0,160,657,153,67,54,20,31,0,7,4,0,132,"Ryan Feierabend","6336",
"Jeff Manship 맨쉽","Dinos (KBO)",32,12,4,3.67454534755367,21,21,0,0,0,0,0,112.2,478,112,51,46,7,33,0,7,5,1,86,"Jeff Manship","6865",
"Henry Sosa 소사","Twins (KBO)",31,11,11,3.8848992296465426,30,29,2,1,1,0,0,185.1,769,189,86,80,11,38,0,3,3,0,153,"Henry Sosa","6936",
"Josh Lindblom 린드블럼","Giants (KBO)",30,5,3,3.715594509778394,12,12,0,0,0,0,0,72.2,296,66,31,30,10,18,0,2,3,2,76,"Josh Lindblom","7882",
"Jae Kuk Ryu 류제국","Twins (KBO)",34,8,6,5.3451915345103,25,25,0,0,0,0,0,131.1,591,140,87,78,10,55,0,19,15,0,107,"Jae Kuk Ryu","8228",
"Eric Hacker 해커","Dinos (KBO)",34,12,7,3.42412370190176,26,26,1,0,0,0,0,160.1,672,159,64,61,14,29,1,14,6,2,97,"Eric Hacker","8743",
"Changmin Sim 심창민","Lions (KBO)",24,4,7,4.181417905414233,66,0,0,0,6,2,16,75.1,333,55,36,35,12,44,7,7,5,0,103,"Changmin Sim","sa3011907",
"Seongmin Kim 김성민","Heroes (KBO)",23,4,3,4.927754652695888,33,15,1,0,0,0,1,87.2,411,104,54,48,12,40,0,9,2,0,75,"Seongmin Kim","sa3011930",
"Young Soo Bae 배영수","Eagles (KBO)",36,7,8,5.0625,25,25,1,0,0,0,0,128,575,155,82,72,17,29,0,13,2,2,86,"Young Soo Bae","sa3011941",
"Kyu-min Woo 우규민","Lions (KBO)",32,7,10,5.2105263157894735,27,25,0,0,0,0,0,133,591,161,95,77,19,23,1,16,2,0,100,"Kyu-min Woo","sa3012000",
