Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Roenis Elías 엘리아스","Landers (KBO)",35,7,7,4.075471781922863,22,21,0,0,0,0,0,123.2,525,126,59,56,13,30,0,6,3,0,104,"Roenis Elias","12673",
"Raúl Alcántara 알칸타라","Bears (KBO)",31,2,2,4.756477059990052,12,12,0,0,0,0,0,64.1,270,58,35,34,10,22,0,2,0,0,34,"Raul Alcantara","12790",
"William Cuevas 쿠에바스","Wiz (KBO)",33,7,12,4.101923197289194,31,31,0,0,0,0,0,173.1,737,158,86,79,17,59,4,7,11,1,154,"William Cuevas","13331",
"Dietrich Enns 엔스","Twins (KBO)",33,13,6,4.186878600622868,30,30,0,0,0,0,0,167.2,714,169,84,78,16,50,0,6,4,0,157,"Dietrich Enns","13932",
"Hyun Jin Ryu 류현진","Eagles (KBO)",37,10,8,3.8652632820615516,28,28,0,0,0,0,0,158.1,679,182,78,68,12,33,0,3,1,0,135,"Hyun Jin Ryu","14444",
"Drew Anderson 앤더슨","Landers (KBO)",30,11,3,3.890489999083813,24,23,0,0,0,0,0,115.2,496,98,55,50,11,53,0,8,5,1,158,"Drew Anderson","15130",
"Aaron Wilkerson 윌커슨","Giants (KBO)",35,12,8,3.8440679954434667,32,32,1,1,0,0,0,196.2,816,210,90,84,18,27,0,2,3,0,167,"Aaron Wilkerson","16904",
"Ariel Jurado ","Heroes (KBO)",,10,8,3.357268040679238,30,30,0,0,0,0,0,190.1,779,185,78,71,19,32,0,9,3,1,169,"Ariel Jurado","17030",
"Ricardo Sánchez 산체스","Eagles (KBO)",27,2,3,4.218750100582841,11,11,0,0,0,0,0,53.1,245,60,28,25,2,21,1,10,2,1,56,"Ricardo Sanchez","17581",
"James Naile 네일","Tigers (KBO)",31,12,5,2.531250086213864,26,26,0,0,0,0,0,149.1,642,154,69,42,11,35,0,9,3,1,138,"James Naile","18186",
"Brandon Waddell 브랜든","Bears (KBO)",30,7,4,3.12,14,14,0,0,0,0,0,75,315,75,34,26,3,11,0,4,2,0,75,"Brandon Waddell","18347",
"Jaime Barria 바리아","Eagles (KBO)",27,12,14,5.147482155655296,40,38,0,0,0,0,0,185.1,810,228,116,106,20,36,0,0,12,0,166,"Jaime Barria","18356",
"Seunghwan Oh 오승환","Lions (KBO)",41,3,9,4.909091930547249,58,0,0,0,27,9,2,55,262,75,36,30,9,18,3,3,5,0,42,"Seunghwan Oh","18719",
"Wes Benjamin 벤자민","Wiz (KBO)",30,11,8,4.630289847004971,28,28,0,0,0,0,0,149.2,639,141,90,77,28,48,2,4,4,0,156,"Wes Benjamin","19243",
"Kyle Hart 하트","Dinos (KBO)",31,13,3,2.694267515923567,26,26,0,0,0,0,0,157,631,124,51,47,11,38,0,11,2,0,182,"Kyle Hart","19646",
"Daniel Castano 카스타노","Dinos (KBO)",29,8,6,4.352238905089396,19,19,0,0,0,0,0,111.2,476,117,65,54,11,25,0,7,0,1,89,"Daniel Castano","19805",
"Charlie Barnes 반즈","Giants (KBO)",28,9,6,3.345132969215391,25,25,0,0,0,0,0,150.2,624,140,59,56,18,46,0,5,6,0,171,"Charlie Barnes","19865",
"Denyi Reyes 레예스","Lions (KBO)",27,11,4,3.8125,26,26,0,0,0,0,0,144,617,159,65,61,15,30,0,7,4,0,114,"Denyi Reyes","20526",
"Jordan Balazovic 발라조빅","Bears (KBO)",25,2,6,4.263158180046629,12,11,0,0,0,0,0,57,250,54,29,27,3,28,0,2,2,0,69,"Jordan Balazovic","21866",
"Kwang Hyun Kim 김광현","Landers (KBO)",35,12,10,4.934291735711123,31,31,0,0,0,0,0,162.1,709,162,95,89,24,73,1,6,8,0,154,"Kwang Hyun Kim","27458",
"Hyeon-Jong Yang 양현종","Tigers (KBO)",36,11,5,4.097276386224662,29,29,3,0,0,0,0,171.1,727,174,86,78,21,41,0,6,2,0,129,"Hyeon-Jong Yang","27513",
"Casey Kelly 켈리","Twins (KBO)",34,5,8,4.513196581914831,19,19,2,1,0,0,0,113.2,495,131,65,57,13,25,0,6,9,0,69,"Casey Kelly","9174",
"Ryan Weiss 와이스","Eagles (KBO)",27,5,5,3.730909194416648,16,16,0,0,0,0,0,91.2,384,77,43,38,8,29,0,3,6,0,98,"Ryan Weiss","sa3007778",
"In-beom Kim 김인범","Heroes (KBO)",24,2,7,5.400000108417714,19,14,0,0,0,0,0,63.1,297,75,40,38,9,31,0,8,3,1,27,"In-beom Kim","sa3011933",
