Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Eric Jokisch 요키시","Heroes (KBO)",32,10,8,2.573741077827648,30,30,0,0,0,0,0,185.1,746,169,61,53,8,33,0,5,2,0,154,"Eric Jokisch","11157",
"David Buchanan 뷰캐넌","Lions (KBO)",33,11,8,3.0375,26,26,1,1,0,0,0,160,691,176,61,54,10,39,0,8,2,0,117,"David Buchanan","11176",
"Drew Rucinski 루친스키","Dinos (KBO)",33,10,12,2.9741826002837346,31,31,0,0,0,0,0,193.2,797,184,77,64,14,34,1,8,9,0,194,"Drew Rucinski","12499",
"Félix Peña 페냐","Eagles (KBO)",32,5,4,3.724138070999599,13,13,0,0,0,0,0,67.2,293,63,33,28,4,30,0,4,4,0,72,"Felix Pena","13403",
"Yefry Ramírez 라미레즈","Eagles (KBO)",28,2,6,4.132652900358982,13,13,0,0,0,0,0,65.1,285,52,33,30,4,37,0,7,0,1,47,"Yefry Ramirez","15655",
"Adam Plutko 플럿코","Twins (KBO)",30,15,5,2.388888888888889,27,27,0,0,0,0,0,162,644,125,53,43,13,38,2,2,5,0,149,"Adam Plutko","15846",
"Odrisamer Despaigne 데스파이네","Wiz (KBO)",35,8,12,4.52760736196319,30,29,0,0,0,0,0,163,725,198,94,82,14,48,2,9,7,1,123,"Odrisamer Despaigne","16017",
"Thomas Pannone 파노니","Tigers (KBO)",28,3,4,2.721774277280201,14,14,0,0,0,0,0,82.2,348,78,33,25,5,24,0,2,5,0,73,"Thomas Pannone","17281",
"Brandon Waddell 브랜든","Bears (KBO)",28,5,3,3.6,11,11,0,0,0,0,0,65,276,56,29,26,5,24,0,1,2,1,40,"Brandon Waddell","18347",
"Seunghwan Oh 오승환","Lions (KBO)",39,6,2,3.3157896955918225,57,0,0,0,31,7,2,57,239,59,23,21,8,13,0,1,2,0,51,"Seunghwan Oh","18719",
"Wes Benjamin 벤자민","Wiz (KBO)",28,5,4,2.700000071032296,17,17,0,0,0,0,0,96.2,385,75,34,29,11,24,2,4,3,1,77,"Wes Benjamin","19243",
"Charlie Barnes 반즈","Giants (KBO)",26,12,12,3.6225403493301953,31,31,0,0,0,0,0,186.1,788,175,87,75,8,47,1,18,7,0,160,"Charlie Barnes","19865",
"Iván Nova 노바","Landers (KBO)",35,3,4,6.502618060790779,12,12,0,0,0,0,0,63.2,291,78,50,46,5,25,0,5,9,1,32,"Ivan Nova","1994",
"Kwang Hyun Kim 김광현","Landers (KBO)",33,13,3,2.128846216314645,28,28,0,0,0,0,0,173.1,694,141,48,41,10,45,2,5,1,0,153,"Kwang Hyun Kim","27458",
"Hyeon-Jong Yang 양현종","Tigers (KBO)",34,12,7,3.8498099976111,30,30,0,0,0,0,0,175.1,743,170,86,75,14,50,1,3,3,0,141,"Hyeon-Jong Yang","27513",
"Wilmer Font 폰트","Landers (KBO)",32,13,6,2.6902173913043477,28,28,1,0,0,0,0,184,729,141,63,55,18,34,1,6,5,0,170,"Wilmer Font","5257",
"Albert Suárez 수아레즈","Lions (KBO)",32,6,8,2.4875239194690923,30,29,0,0,0,0,0,173.2,714,151,61,48,7,50,0,4,6,0,159,"Albert Suarez","6175",
"Casey Kelly 켈리","Twins (KBO)",32,16,4,2.5430862501090514,27,27,0,0,0,0,0,166.1,664,144,50,47,10,35,0,2,3,0,153,"Casey Kelly","9174",
"Dan Straily 스트레일리","Giants (KBO)",33,4,2,2.310160474933491,11,11,0,0,0,0,0,62.1,260,54,24,16,5,22,0,6,2,0,55,"Dan Straily","9460",
"Jong-hyun Won 원종현","Dinos (KBO)",34,5,0,2.984211305211659,68,0,0,0,1,3,15,63.1,260,55,22,21,5,17,0,1,2,0,50,"Jong-hyun Won","sa3012035",
"Yongchan Lee 이용찬","Dinos (KBO)",33,3,3,2.076923294583341,59,0,0,0,22,4,0,60.2,253,56,16,14,3,13,0,3,1,0,61,"Yongchan Lee","sa3012046",
"Si Hwan Chang 장시환","Eagles (KBO)",34,0,5,4.382199390491205,64,0,0,0,14,5,9,63.2,280,58,37,31,4,33,4,1,2,0,67,"Si Hwan Chang","sa3012048",
"Jae-hak Lee 이재학","Dinos (KBO)",31,3,8,4.747253145260079,26,17,0,0,0,0,0,91,406,75,56,48,5,54,0,8,6,1,72,"Jae-hak Lee","sa3012173",
"Tae-yang Lee 이태양","Landers (KBO)",31,8,3,3.616071674896763,30,17,0,0,0,0,1,112,472,116,50,45,15,24,2,5,0,0,61,"Tae-yang Lee","sa3012211",
"Chan-kyu Im 임찬규","Twins (KBO)",29,6,11,5.035369898446378,23,23,0,0,0,0,0,103.2,459,113,60,58,10,39,0,7,3,0,75,"Chan-kyu Im","sa3012220",
"Geon-hui Hong 홍건희","Bears (KBO)",29,2,9,3.483871396448861,58,0,0,0,18,4,11,62,265,58,30,24,5,21,3,2,4,0,60,"Geon-hui Hong","sa3012262",
"Seung-hyuk Han 한승혁","Tigers (KBO)",29,4,3,5.265560499361315,24,16,0,0,0,1,0,80.1,376,100,52,47,4,40,0,6,6,0,69,"Seung-hyuk Han","sa3012265",
"Jin-yong Seo 서진용","Landers (KBO)",29,7,3,4.009901747354516,68,0,0,0,21,4,13,67.1,297,64,32,30,5,36,3,3,6,0,55,"Jin-yong Seo","sa3012277",
"Hyun-hee Han 한현희","Heroes (KBO)",29,6,4,4.751073116943396,21,14,0,0,0,0,0,77.2,346,83,44,41,9,24,0,8,2,0,59,"Hyun-hee Han","sa3012299",
"Gi-yeong Im 임기영","Tigers (KBO)",29,4,13,4.244845527760831,26,23,0,0,1,0,0,129.1,555,137,63,61,18,36,1,5,2,0,82,"Gi-yeong Im","sa3012323",
"Seung-min Koo 구승민","Giants (KBO)",32,2,4,2.903226342335303,73,0,0,0,0,1,26,62,263,46,20,20,3,35,4,1,7,0,77,"Seung-min Koo","sa3012379",
"Hyun-sik Jang 장현식","Tigers (KBO)",27,2,3,3.1153853010145265,54,0,0,0,1,5,22,52,233,54,20,18,4,26,3,1,4,0,40,"Hyun-sik Jang","sa3012411",
"Young-pyo Ko 고영표","Wiz (KBO)",30,13,8,3.257769743527644,28,28,1,1,0,0,0,182.1,758,191,69,66,7,23,1,16,1,0,156,"Young-pyo Ko","sa3012418",
"Se-woong Park 박세웅","Giants (KBO)",26,10,11,3.7754238508652462,28,28,0,0,0,0,0,157.1,679,180,80,66,8,32,1,8,8,0,146,"Se-woong Park","sa3012427",
"In-bok Lee 이인복","Giants (KBO)",31,9,9,4.1921053473242775,26,23,0,0,0,0,0,126.2,547,153,63,59,6,30,0,4,4,0,71,"In-bok Lee","sa3012467",
"Yu-yeong Kim 김유영","Giants (KBO)",28,6,2,5.647060513084416,68,0,0,0,0,2,16,51,254,72,34,32,4,30,2,3,5,0,44,"Yu-yeong Kim","sa3012469",
"Min-su Kim 김민수","Wiz (KBO)",29,5,4,1.8966946334480232,76,0,0,0,3,7,30,80.2,327,66,19,17,3,15,3,6,6,0,91,"Min-su Kim","sa3012504",
"Sang-baek Eom 엄상백","Wiz (KBO)",25,11,2,2.95011887177017,33,22,0,0,0,0,0,140.1,581,125,52,46,14,46,0,4,1,0,139,"Sang-baek Eom","sa3012505",
"Kwon Ju 주권","Wiz (KBO)",27,3,3,3.9078958156699626,58,0,0,0,1,1,17,50.2,203,58,22,22,3,8,0,0,0,0,31,"Kwon Ju","sa3012508",
"Won-tae Choi 최원태","Heroes (KBO)",25,7,5,3.747634159596781,26,20,0,0,0,1,0,105.2,446,94,50,44,5,40,0,5,5,0,63,"Won-tae Choi","sa3012525",
"Taek-hyeong Kim 김택형","Landers (KBO)",25,3,5,4.922652659939268,64,0,0,0,17,6,11,60.1,261,57,33,33,8,22,1,3,6,0,62,"Taek-hyeong Kim","sa3012526",
"Je-seong Bae 배제성","Wiz (KBO)",25,3,9,4.205607476635514,24,18,0,0,0,0,0,107,458,103,56,50,8,46,0,1,8,0,89,"Je-seong Bae","sa3012544",
"Hyun-sang Joo 주현상","Eagles (KBO)",29,0,1,6.831326400096958,49,0,0,0,1,2,4,55.1,247,69,43,42,5,14,1,5,1,0,33,"Hyun-sang Joo","sa3012555",
"Min-woo Kim 김민우","Eagles (KBO)",26,6,11,4.361963190184049,29,29,1,0,0,0,0,163,711,143,82,79,16,84,8,8,13,0,129,"Min-woo Kim","sa3012556",
"Beom-su Kim 김범수","Eagles (KBO)",26,3,7,4.363637372482155,78,0,0,0,0,5,29,66,289,64,36,32,5,35,5,3,2,0,58,"Beom-su Kim","sa3012557",
"Chang-mo Koo 구창모","Dinos (KBO)",25,11,5,2.095522435783783,19,19,0,0,0,0,0,111.2,451,92,32,26,7,29,0,4,6,0,108,"Chang-mo Koo","sa3012564",
"Young-ha Lee 이영하","Bears (KBO)",25,6,8,4.925675802634879,21,20,0,0,0,0,0,98.2,462,109,65,54,5,57,1,6,8,0,83,"Young-ha Lee","sa3012579",
"Woo-Suk Go 고우석","Twins (KBO)",23,4,2,1.4835166389881007,61,0,0,0,42,2,0,60.2,240,37,12,10,6,21,4,1,5,0,80,"Woo-Suk Go","sa3012630",
"Myeong-sin Kim 김명신","Bears (KBO)",28,3,3,3.615063569310559,68,0,0,0,0,1,10,79.2,333,75,33,32,5,25,0,3,3,0,61,"Myeong-sin Kim","sa3012636",
"Won-joon Choi 최원준","Bears (KBO)",27,8,13,3.6,30,30,0,0,0,0,0,165,713,183,80,66,21,37,0,7,1,1,113,"Won-joon Choi","sa3012637",
"Jong-deok Na 나종덕","Giants (KBO)",24,3,8,3.9773374543306135,39,13,0,0,0,4,2,117.2,506,125,55,52,5,37,1,3,6,0,123,"Jong-deok Na","sa3012648",
"Seung-ho Lee 이승호","Heroes (KBO)",23,3,2,3.5761593017739104,53,0,0,0,10,4,10,50.1,215,44,20,20,7,27,1,3,6,0,44,"Seung-ho Lee","sa3012651",
"Been Gwak 곽빈","Bears (KBO)",23,8,9,3.7787812986890597,27,27,0,0,0,0,0,147.2,645,143,69,62,13,60,1,11,9,1,138,"Been Gwak","sa3012674",
"Shin-zi Park 박신지","Bears (KBO)",22,1,6,6.713514620974092,29,9,0,0,0,0,0,61.2,313,84,50,46,7,40,0,5,4,0,38,"Shin-zi Park","sa3012675",
"Woo-jin An 안우진","Heroes (KBO)",22,15,8,2.1122448979591835,30,30,1,0,0,0,0,196,766,131,51,46,4,55,1,4,7,1,224,"Woo-jin An","sa3012678",
"Min-jun Choi 최민준","Landers (KBO)",23,5,4,3.9512198062967294,51,1,0,0,0,3,5,68.1,288,51,37,30,10,34,2,2,7,0,48,"Min-jun Choi","sa3012698",
"Young-kyu Kim 김영규","Dinos (KBO)",22,2,7,3.4090916972516836,72,0,0,0,1,7,14,66,269,56,26,25,5,22,4,7,3,0,46,"Young-kyu Kim","sa3012700",
"Woo-young Jung 정우영","Twins (KBO)",22,2,3,2.6379320754736835,67,0,0,0,0,5,36,58,248,48,18,17,3,32,5,6,0,0,40,"Woo-young Jung","sa3012714",
"Tae-in Won 원태인","Lions (KBO)",22,10,8,3.919354959283489,27,27,0,0,0,0,0,165.1,700,175,75,72,16,38,3,4,3,0,130,"Tae-in Won","sa3012723",
"Jun-won Seo 서준원","Giants (KBO)",21,3,3,4.80000061035164,33,4,0,0,0,2,2,60,265,65,32,32,3,23,0,5,2,0,45,"Jun-won Seo","sa3012727",
"Myung-gi Song 송명기","Dinos (KBO)",21,5,7,4.513932315028737,25,22,0,0,0,0,0,107.2,496,116,67,54,14,54,0,15,9,0,106,"Myung-gi Song","sa3012743",
