Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Eric Jokisch 요키시","Heroes (KBO)",31,16,9,2.878676551332938,31,31,0,0,0,0,0,181.1,739,171,70,58,12,46,2,4,9,0,131,"Eric Jokisch","11157",
"David Buchanan 뷰캐넌","Lions (KBO)",32,16,5,3.1016949152542375,30,30,1,1,0,0,0,177,758,173,71,61,13,59,2,2,7,0,162,"David Buchanan","11176",
"Nick Kingham 킹험","Eagles (KBO)",29,10,8,3.1875,25,25,0,0,0,0,0,144,591,117,58,51,11,41,1,5,4,2,131,"Nick Kingham","11694",
"Aaron Brooks 브룩스","Tigers (KBO)",31,3,5,3.3461538461538463,13,13,0,0,0,0,0,78,333,93,34,29,4,16,0,1,0,0,55,"Aaron Brooks","12272",
"Drew Rucinski 루친스키","Dinos (KBO)",32,15,10,3.1735073723435083,30,30,0,0,0,0,0,178.2,754,160,76,63,12,55,0,10,6,2,177,"Drew Rucinski","12499",
"Ryan Carpenter 카펜터","Eagles (KBO)",30,5,11,3.9705882352941178,31,30,0,0,0,0,0,170,746,150,90,75,16,72,0,19,7,1,179,"Ryan Carpenter","12699",
"Sam Gaviglio 가빌리오","Landers (KBO)",31,6,4,5.864754465119063,15,15,0,0,0,0,0,81.1,351,88,54,53,7,30,1,6,3,0,70,"Sam Gaviglio","12778",
"William Cuevas 쿠에바스","Wiz (KBO)",30,10,5,3.9121141560430517,24,24,1,1,0,0,0,140.1,604,132,68,61,11,54,0,3,6,0,145,"William Cuevas","13331",
"Odrisamer Despaigne 데스파이네","Wiz (KBO)",34,13,10,3.386925977669219,33,33,0,0,0,0,0,188.2,819,175,81,71,10,78,0,7,15,0,165,"Odrisamer Despaigne","16017",
"Aríel Miranda 미란다","Bears (KBO)",32,14,5,2.332053674502274,28,28,1,1,0,0,0,173.2,709,135,49,45,11,63,0,1,7,1,225,"Ariel Miranda","17526",
"Andrew Suárez 수아레즈","Twins (KBO)",28,10,2,2.1849710500866872,23,22,0,0,0,0,0,115.1,473,91,33,28,4,41,0,4,2,0,126,"Andrew Suarez","18300",
"Seunghwan Oh 오승환","Lions (KBO)",38,0,2,2.021390662978364,65,0,0,0,44,1,0,62.1,253,56,17,14,3,16,3,2,2,0,57,"Seunghwan Oh","18719",
"Jake Brigham 브리검","Heroes (KBO)",33,7,3,2.9508196721311477,10,10,0,0,0,0,0,61,250,49,25,20,6,26,0,4,3,0,49,"Jake Brigham","2851",
"Wilmer Font 폰트","Landers (KBO)",31,8,5,3.459954112597918,25,25,0,0,0,0,0,145.2,604,114,66,56,12,45,1,6,2,1,157,"Wilmer Font","5257",
"Casey Kelly 켈리","Twins (KBO)",31,13,8,3.152542372881356,30,30,0,0,0,0,0,177,744,160,64,62,12,60,3,11,7,1,142,"Casey Kelly","9174",
"Dan Straily 스트레일리","Giants (KBO)",32,10,12,4.020120971195887,31,31,0,0,0,0,0,165.2,714,162,85,74,12,67,0,7,8,1,164,"Dan Straily","9460",
"Changmin Sim 심창민","Lions (KBO)",28,3,2,5.084416843864353,59,0,0,0,0,2,16,51.1,238,47,32,29,8,32,0,6,2,1,58,"Changmin Sim","sa3011907",
"Kyu-min Woo 우규민","Lions (KBO)",36,3,3,3.197369062999738,61,0,0,0,2,4,24,50.2,218,58,22,18,5,9,1,2,1,0,38,"Kyu-min Woo","sa3012000",
"Jong-hyun Won 원종현","Dinos (KBO)",33,2,2,4.24528362998007,61,0,0,0,14,7,6,53,245,67,27,25,5,23,2,3,4,0,45,"Jong-hyun Won","sa3012035",
"Si Hwan Chang 장시환","Eagles (KBO)",33,0,11,7.043478260869565,19,16,1,0,0,0,0,69,342,87,62,54,4,48,2,6,7,0,47,"Si Hwan Chang","sa3012048",
"Jae-hak Lee 이재학","Dinos (KBO)",30,6,6,5.204819277108434,17,17,2,1,0,0,0,83,370,74,49,48,14,52,0,6,3,0,65,"Jae-hak Lee","sa3012173",
"Dae-yu Kim 김대유","Twins (KBO)",30,4,1,2.1315796963068245,64,0,0,0,0,2,25,50.2,209,32,13,12,2,15,0,9,2,0,56,"Dae-yu Kim","sa3012179",
"Tae-yang Lee 이태양","Landers (KBO)",30,5,10,5.72990367754243,40,14,0,0,0,0,5,103.2,456,123,66,66,25,32,1,1,2,0,62,"Tae-yang Lee","sa3012211",
"Jong-hun Park 박종훈","Landers (KBO)",29,4,2,2.8159509861472425,9,9,0,0,0,0,0,54.1,222,40,19,17,2,17,0,7,0,2,41,"Jong-hun Park","sa3012213",
"Chan-kyu Im 임찬규","Twins (KBO)",28,1,8,3.871323637999468,17,17,0,0,0,0,0,90.2,387,76,45,39,7,41,1,3,5,0,67,"Chan-kyu Im","sa3012220",
"Dae-woo Kim 김대우","Lions (KBO)",32,0,2,6.352942126845136,31,4,0,0,0,0,1,51,234,68,39,36,7,15,1,2,1,0,27,"Dae-woo Kim","sa3012247",
"Geon-hui Hong 홍건희","Bears (KBO)",28,6,6,2.7847538395960925,65,0,0,0,3,7,17,74.1,303,65,23,23,3,27,0,0,7,1,82,"Geon-hui Hong","sa3012262",
"Jin-yong Seo 서진용","Landers (KBO)",28,7,5,3.341584789462097,65,0,0,0,9,5,4,67.1,297,57,28,25,9,43,7,0,3,0,62,"Jin-yong Seo","sa3012277",
"Tae-hoon Kim 김태훈","Heroes (KBO)",29,4,2,3.217617216281637,66,0,0,0,11,5,15,64.1,282,60,26,23,1,33,2,1,3,1,52,"Tae-hoon Kim","sa3012298",
"Hyun-hee Han 한현희","Heroes (KBO)",28,6,2,3.887159648469551,18,15,0,0,0,0,1,85.2,372,86,42,37,4,30,0,6,3,0,61,"Hyun-hee Han","sa3012299",
"Won-jung Kim 김원중","Giants (KBO)",28,4,4,3.5904256776211385,61,0,0,0,35,5,0,62.2,268,50,26,25,6,28,4,3,8,0,64,"Won-jung Kim","sa3012308",
"Gi-yeong Im 임기영","Tigers (KBO)",28,8,8,4.882352941176471,28,28,0,0,0,0,0,153,662,155,85,83,15,45,0,11,6,2,129,"Gi-yeong Im","sa3012323",
"Seung-won Moon 문승원","Landers (KBO)",31,2,2,2.8609272245931874,9,9,0,0,0,0,0,50.1,212,42,20,16,1,18,0,2,1,0,32,"Seung-won Moon","sa3012330",
"Jong-ki Park 박종기","Bears (KBO)",26,0,4,5.581006181280699,22,5,0,0,0,0,0,59.2,274,69,42,37,3,29,0,3,3,0,33,"Jong-ki Park","sa3012369",
"Seung-min Koo 구승민","Giants (KBO)",31,6,5,4.331551420667923,68,0,0,0,0,4,22,62.1,262,47,30,30,5,31,0,4,4,1,65,"Seung-min Koo","sa3012379",
"Hyun-sik Jang 장현식","Tigers (KBO)",26,1,5,3.286956957869416,69,0,0,0,1,5,35,76.2,336,67,28,28,7,42,1,3,8,0,80,"Hyun-sik Jang","sa3012411",
"Young-pyo Ko 고영표","Wiz (KBO)",29,11,6,2.915999911010745,26,25,1,1,0,0,0,166.2,664,147,59,54,9,27,1,14,1,0,130,"Young-pyo Ko","sa3012418",
"Se-woong Park 박세웅","Giants (KBO)",25,10,9,3.9754601226993866,28,28,1,1,0,0,0,163,685,141,75,72,20,53,0,10,17,0,125,"Se-woong Park","sa3012427",
