Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Keyvius Sampson 샘슨","Eagles (KBO)",27,13,8,4.676278802594694,30,29,0,0,0,0,0,161.2,703,144,91,84,17,79,0,5,18,2,195,"Keyvius Sampson","10039",
"Brooks Raley 레일리","Giants (KBO)",30,11,13,4.743934298894238,30,30,0,0,0,0,0,178.1,775,180,106,94,24,54,1,18,4,2,178,"Brooks Raley","10061",
"Tim Adleman 아델만","Lions (KBO)",30,8,12,5.052631578947368,31,31,0,0,0,0,0,171,758,202,101,96,20,54,0,11,7,1,137,"Tim Adleman","10968",
"Merrill Kelly 켈리","Wyverns (KBO)",29,12,7,4.092640387505974,28,28,0,0,0,0,0,158.1,674,152,78,72,18,47,1,13,5,2,161,"Merrill Kelly","11156",
"Lisalverto Bonilla 보니야","Lions (KBO)",28,7,10,5.303571428571429,29,29,0,0,0,0,0,168,752,193,111,99,23,63,1,12,9,1,151,"Lisalverto Bonilla","11266",
"Seth Frankoff 후랭코프","Bears (KBO)",29,18,3,3.7366156698380157,28,28,0,0,0,0,0,149.1,621,118,64,62,12,55,1,22,15,0,134,"Seth Frankoff","11346",
"Pat Dean 팻딘","Tigers (KBO)",29,6,7,6.262903100023867,36,21,0,0,0,2,2,129.1,588,174,96,90,23,27,2,4,3,0,101,"Pat Dean","11350",
"Angel Sánchez 산체스","Wyverns (KBO)",28,8,8,4.8922133061922235,29,26,0,0,0,1,1,145.1,632,161,90,79,26,39,1,7,12,0,124,"Angel Sanchez","11776",
"Tyler Wilson 윌슨","Twins (KBO)",28,9,4,3.070588235294118,26,26,1,1,0,0,0,170,689,158,63,58,11,35,1,6,10,1,149,"Tyler Wilson","12691",
"Logan Verrett 베렛","Dinos (KBO)",28,6,10,5.283870967741936,29,29,0,0,0,0,0,155,698,178,94,91,24,59,0,9,10,1,144,"Logan Verrett","12905",
