"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Severino, Luis","622663","495","8",29.7,"111.4","87.2","76.1","92.7","83.7","429","151","387","166",33.5,"30",6.1,3.8
"Pomeranz, Drew","519141","493","13",32.5,"114.4","87.9","76.8","92.2","85.8","449","167","404","174",35.7,"33",6.7,4.5
"Darvish, Yu","506433","493","13.2",35.7,"112.2","86.2","74.6","91","82.7","440","174","396","154",31.4,"31",6.3,4
"Sale, Chris","519242","492","15",35.8,"112.7","86.8","76","91.9","81.7","440","185","402","150",30.5,"30",6.1,3.5
"Miley, Wade","489119","489","7.4",33.9,"115.3","87.6","75.8","93.3","83.9","447","154","406","175",35.8,"31",6.3,4.3
"Bauer, Trevor","545333","488","9.7",36.1,"112","89.4","79.3","94","86.1","439","168","396","191",39.2,"38",7.8,5.1
"Bundy, Dylan","605164","488","19.4",34,"115.2","88.8","78.1","92.7","85","456","204","400","178",36.5,"38",7.8,5.4
"Manaea, Sean","640455","486","12.6",32.1,"116.2","89.4","78.8","93.1","87.7","434","167","397","200",41.2,"28",5.8,4.1
"Wacha, Michael","608379","485","9.8",32.2,"111.7","87.2","76.6","91.5","84","450","161","399","145",30.1,"27",5.6,3.9
"Foltynewicz, Mike","592314","480","13.6",33.8,"112.8","88.5","78","92.4","84.3","463","180","407","158",32.9,"26",5.4,3.8
"Arrieta, Jake","453562","479","10.6",31.3,"112.3","87.4","76.7","91.2","84.2","429","170","403","159",33.3,"27",5.6,3.8
"García, Jaime","448802","479","4.8",31.7,"115.6","87.2","75.3","93.9","83.4","444","145","400","176",36.8,"26",5.4,3.9
"Miranda, Aríel","664641","473","20.6",32.8,"114.6","87.9","77.1","92.5","84.4","460","207","398","161",34,"45",9.5,6.6
"Nelson, Jimmy","519076","472","5.9",32,"116.1","85.9","74","90.5","82.8","447","150","409","148",31.4,"19",4,2.6
"Kluber, Corey","446372","471","10.5",33.8,"111.6","85.3","73.5","89.7","82.2","461","164","414","137",29.2,"25",5.3,3.2
"Walker, Taijuan","592836","467","9.6",30.2,"116.7","88.7","78.6","92.6","86.2","449","166","411","161",34.5,"24",5.1,3.5
"Gray, Sonny","543243","465","5.4",29.5,"115.5","87.4","75.1","93.2","83.4","456","146","410","179",38.6,"29",6.2,4.3
"Williams, Trevor","592866","463","10",33.7,"114.5","86.3","75.2","91.9","82.4","444","162","393","136",29.4,"24",5.2,3.7
"Ramírez, JC","500724","460","8",28,"113","87.6","76.3","92.3","85.2","436","160","406","159",34.6,"30",6.5,4.8
"Kuhl, Chad","641771","460","11.6",36.7,"117.1","88.8","78.1","93","85.9","452","181","394","177",38.6,"26",5.7,3.8
"Kennedy, Ian","453178","458","17.5",34.9,"113.3","89.5","79.6","94","84.9","454","208","401","163",35.8,"50",10.9,7.6
"Tomlin, Josh","458708","458","13.7",39.3,"113.8","88.5","77.7","92.9","84.7","437","184","398","166",36.6,"32",7,5.5
"Nola, Aaron","605400","458","9",33.4,"115.3","85.7","74.2","91.1","81.7","445","162","396","142",31,"23",5,3.3
"Montgomery, Jordan","656756","453","13.8",31.8,"113.8","86.9","76.2","90.9","83.9","454","178","391","143",31.6,"28",6.2,4.3
"Cueto, Johnny","456501","451","15.1",39.7,"114.2","88.2","77.6","91.7","85.5","470","184","406","150",33.6,"33",7.3,5.1
"Fiers, Mike","571666","449","12.9",33,"112.7","86.5","75","91.6","82.3","452","178","406","147",32.8,"36",8,5.4
"Sabathia, CC","282332","448","7.4",32.4,"118.5","85","72.8","90.8","81.9","470","154","392","129",28.9,"18",4,2.9
"Scherzer, Max","453286","446","19.1",31.4,"112","86.5","76.1","91.1","82.5","455","189","395","131",29.5,"25",5.6,3.2
"Kershaw, Clayton","477132","446","10.3",30.5,"114.1","85.3","74","91.8","80.4","443","167","408","117",27.1,"28",6.3,4.1
"Jiménez, Ubaldo","434622","446","12.4",35.7,"113","89.3","78.6","94.1","86.9","443","176","399","176",39.5,"35",7.8,5.4
"Hamels, Cole","430935","445","10.6",32.1,"113","87.9","77","93.1","83.8","426","170","399","160",36,"24",5.4,3.9
"Strasburg, Stephen","544931","443","10.8",28.2,"113.5","87.3","76.5","92.3","83.8","461","167","405","138",32,"27",6.1,3.9
"Cain, Matt","430912","441","12",34.9,"112.4","88.5","78.2","92.3","85.7","436","173","400","161",36.6,"27",6.1,4.8
"Boyd, Matthew","571510","439","15.7",34.4,"115.5","86.6","74.9","91.9","83.6","493","185","408","132",30.3,"26",5.9,4.3
"Holland, Derek","502706","438","14.2",37.9,"114.1","88.5","77.4","93.9","82.7","483","195","407","173",39.5,"36",8.2,5.8
"Happ, J.A.","457918","438","9.1",33.3,"118.4","85.9","74.1","92","80.8","456","162","398","135",30.9,"19",4.3,3
"Duffy, Danny","518633","434","16",32,"114.6","87","76.1","90.9","84.7","430","184","403","135",31.1,"24",5.5,3.9
"Chatwood, Tyler","543022","430","1.2",31.2,"114.1","86.4","74.2","92.7","82.7","457","141","405","138",32.1,"24",5.6,3.8
"Gallardo, Yovani","451596","422","12.6",34.1,"113.3","88.3","77.2","93.4","85.6","450","168","395","148",35.1,"30",7.1,5.2
"Chavez, Jesse","445926","420","12",38.3,"114.1","88.9","77.8","93.9","83.4","460","189","402","171",40.8,"37",8.8,6.3
"Wood, Alex","622072","419","7.4",30.8,"112.5","85.6","74.1","92.4","81.7","443","151","401","117",28,"21",5,3.4
"Gsellman, Robert","607229","417","6.9",33.8,"117","86.3","73.9","91.9","82.4","457","158","402","135",32.5,"21",5,3.8
"Berríos, José","621244","416","14.7",32.5,"111.3","86","74.8","91.1","81.5","474","181","400","121",29.1,"21",5,3.4
"Odorizzi, Jake","543606","413","19.6",35.1,"110.5","87.9","77.4","92.5","83","465","206","399","147",35.7,"34",8.2,5.6
"Taillon, Jameson","592791","412","9.2",33,"111.8","86.3","74.9","91.9","82","429","158","386","128",31.2,"17",4.1,2.9
"Senzatela, Antonio","622608","411","7.1",32.8,"112.4","87.7","76.8","93","84.3","446","163","402","142",34.5,"22",5.4,3.9
"Keuchel, Dallas","572971","409","-0.6",23.5,"114.6","85.5","72.7","92.8","82.7","431","115","399","133",32.8,"21",5.1,3.6
"Hendricks, Kyle","543294","405","8.6",32.6,"119","85","72.8","91.6","80.4","440","155","398","118",29.3,"18",4.4,3.2
"Godley, Zack","643327","404","4.9",28.7,"113.5","88","76.4","93.3","85.1","461","150","412","156",38.7,"26",6.4,4.1
"Cotton, Jharel","605194","402","17.4",31.6,"115","86.7","75.3","92.1","83.8","450","187","406","124",30.9,"24",6,4.3
"Wainwright, Adam","425794","400","8.5",34.8,"113.2","86.7","75.3","90.5","83.8","430","157","387","134",33.8,"17",4.3,3.1
"Eickhoff, Jerad","595191","400","15.4",33.8,"115.1","89","78.8","92.9","85.5","446","183","410","138",34.6,"25",6.3,4.3
"Ramírez, Erasmo","541640","397","12.4",33,"118.7","88.5","77.6","93.7","83.5","456","177","408","141",35.8,"30",7.6,5.6
"Pelfrey, Mike","460059","395","8.6",29.9,"114.7","87.8","76.6","92.1","85.4","454","158","409","147",37.2,"30",7.6,5.5
"Morton, Charlie","450203","390","7.1",32.6,"112.8","85.4","73.6","91.3","81.3","427","151","381","116",29.8,"18",4.6,2.9
"Anderson, Chase","502624","388","14.5",31.7,"110.4","85.6","74.8","91.6","80.9","441","181","398","101",26,"17",4.4,3
"Bridwell, Parker","592170","385","17.2",35.3,"111.2","88.3","77.7","93.1","84.8","446","189","404","138",35.9,"21",5.5,4.3
"Pivetta, Nick","601713","383","13.1",36.6,"114.4","88.3","77.3","91.8","86","450","176","401","142",37.2,"28",7.3,4.8
"Martinez, Nick","607259","381","14",35.4,"113.2","87.1","76.4","92.5","82.2","438","183","395","115",30.4,"31",8.1,6.5
"Garza, Matt","490063","379","14.6",33,"115.3","86.7","75.5","90.6","83.9","437","174","389","120",31.7,"18",4.7,3.6
"Maeda, Kenta","628317","378","15",34.9,"111.7","86.2","75.4","90.9","82.9","423","174","389","107",28.4,"18",4.8,3.2
"Montgomery, Mike","543557","377","3.8",30.5,"114.1","86","74.9","90.7","83.2","423","147","389","107",28.5,"12",3.2,2.2
"Rodriguez, Eduardo","593958","377","16.6",35.5,"113.6","86.3","74.8","91.7","81.2","434","191","392","118",31.3,"29",7.7,5
"Ryu, Hyun Jin","547943","376","10.1",36.2,"113.9","87.5","76.8","92.1","83.8","454","169","404","118",31.6,"26",6.9,4.8
"Biagini, Joe","607352","376","5.8",29.3,"116.2","86.2","74.1","92","83","420","144","390","117",31.2,"20",5.3,3.9
"Ray, Robbie","592662","371","14.4",31.5,"112.7","89.9","79.7","92.9","89.2","448","176","399","152",41,"23",6.2,3.5
"Snell, Blake","605483","368","13.3",30.4,"113.1","86.4","75.3","90.8","84","468","166","399","110",30,"16",4.3,2.9
"Adleman, Tim","534947","366","18.3",35,"114.6","87.7","77","93.4","81.3","448","208","405","119",32.7,"29",7.9,5.5
"Montero, Rafael","606160","364","10.4",30.8,"110.7","84.6","72.7","89.8","81.5","448","156","399","92",25.3,"15",4.1,2.7
"Shields, James","448306","357","15",35.6,"112.9","87.7","76.5","92.5","82.9","428","190","396","133",37.6,"31",8.7,6
"Paxton, James","572020","356","12.3",31.7,"112.2","87.2","76.4","90.1","86.7","430","159","388","111",31.3,"10",2.8,1.8
"Sánchez, Aníbal","434671","345","17.1",37.7,"111.5","88.2","76.8","92.6","85","443","191","398","127",36.8,"26",7.5,5.4
"Conley, Adam","543045","341","15.6",33.1,"111.3","88.2","77.1","93.2","85","425","182","395","127",37.4,"28",8.2,6
"Feldman, Scott","444857","338","11.4",37.6,"113.3","85.8","74.5","89.7","82.3","467","173","400","94",27.9,"27",8,5.7
"Graveman, Kendall","608665","338","6.1",31.1,"116.8","89.2","78.1","94.6","85.4","444","160","406","133",39.3,"21",6.2,4.7
"Musgrove, Joe","605397","331","9.9",36.3,"112.1","86.7","74.8","91.5","82.5","457","169","393","108",32.7,"20",6,4.3
"McCullers Jr., Lance","621121","329","1",30.4,"114.9","87.4","76.4","92.5","85.2","437","134","404","107",32.8,"15",4.6,2.9
"Hill, Rich","448179","328","17.6",31.4,"109.5","86","74.9","90.9","82","436","183","400","95",29.1,"23",7,4.2
"Norris, Daniel","596057","326","14.2",35.6,"114.9","89.3","78.9","93.8","85.6","451","191","412","124",38,"25",7.7,5.4
"Tillman, Chris","501957","326","13",37.7,"121.1","90.2","79.7","94.6","86.3","466","188","407","139",42.6,"28",8.6,6.3
"Bumgarner, Madison","518516","326","15.4",31.9,"111.3","88.6","78.1","93.4","85","438","180","408","111",34.5,"26",8,5.8
"Peacock, Brad","502748","325","12.9",31.1,"112.6","85.7","74.7","91.6","81.1","446","170","402","92",28.3,"17",5.2,3.1
"Lugo, Seth","607625","324","12.1",34.9,"110","87.1","75.8","92.2","82.3","444","174","397","115",35.5,"19",5.9,4.4
"Wood, Travis","475243","324","16",38,"118.2","88.9","78.4","92","86.3","462","194","394","120",37.4,"25",7.7,5.7
"Gray, Jon","592351","317","7.4",33.8,"115.5","85.7","73.7","90.5","82.5","449","155","414","100",31.8,"13",4.1,2.8
