"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Márquez, Germán","608566","246","7.2",32.9,"111","88.8","77.8","92.7","86.7","445","149","405","99",40.2,"12",4.9,3.5
"Hendricks, Kyle","543294","242","11",34.3,"110.8","86.1","75","90.9","82.6","450","154","407","77",32,"11",4.5,3.5
"Senzatela, Antonio","622608","240","9.1",27.9,"111.9","88.3","77.1","92.5","85.8","447","149","399","92",38.3,"13",5.4,4.3
"Freeland, Kyle","607536","232","7.4",31.9,"115.7","87.3","75.8","91.9","84","451","146","411","83",35.8,"13",5.6,4.3
"Lynn, Lance","458681","224","17.5",34.4,"113.4","88.6","78","91","87.9","445","178","401","84",37.5,"12",5.4,3.5
"Civale, Aaron","650644","224","10.4",36.6,"108.6","87.1","76","91.3","83.4","426","166","398","75",33.5,"15",6.7,4.8
"Corbin, Patrick","571578","217","11.9",32.3,"114.8","90.7","80.6","93.8","89.1","453","164","394","96",44.2,"14",6.5,4.7
"Wheeler, Zack","554430","212","3.8",30.7,"115.6","85.7","73.2","92","83.1","426","126","385","72",34,"8",3.8,2.8
"Gibson, Kyle","502043","207","6.2",33.3,"112.9","88.2","76.8","92.1","86.2","453","143","419","82",39.6,"15",7.2,5
"Lyles, Jordan","543475","205","14.5",28.8,"112.5","89.6","79.6","93.9","86.6","464","176","411","86",42,"16",7.8,6
"Lester, Jon","452657","203","11.9",34,"112.5","88.9","77.8","93.1","86","443","169","403","79",38.9,"25",12.3,9.4
"Gonzales, Marco","594835","202","17.6",36.6,"112","86.6","75.2","92.3","81.5","425","178","385","69",34.3,"17",8.4,6.1
"Fiers, Mike","571666","200","20.3",33.5,"108.4","88.6","78.6","93.1","84.8","429","176","399","67",33.5,"15",7.5,5.8
"Keuchel, Dallas","572971","198","5.6",34.3,"114.9","86.8","75","92.5","83.9","426","134","417","62",31.3,"8",4,3.1
"Greinke, Zack","425844","196","11.7",34.7,"115.9","86.8","74.9","91.9","82.9","413","166","391","69",35.2,"16",8.2,5.9
"Davies, Zach","605200","194","14.6",35.6,"111.3","87.5","76","91.8","84.9","468","165","418","71",36.6,"20",10.3,7.2
"Cueto, Johnny","456501","192","13",34.4,"113.1","87.9","77.2","91.5","84.3","447","172","417","65",33.9,"11",5.7,4
"Wainwright, Adam","425794","191","12",33,"113.2","87.3","75.7","93.1","82.9","442","158","402","70",36.6,"12",6.3,4.6
"Valdez, Framber","664285","191","-0.8",33.5,"114.6","91.4","81.4","95.7","88.5","418","133","384","93",48.7,"15",7.9,5.2
"Porcello, Rick","519144","190","16.4",35.3,"109.8","87.2","75","91.9","83.5","408","162","378","70",36.8,"16",8.4,6.1
"Anderson, Tyler","542881","190","21.6",38.4,"109.4","86.8","76.3","90.3","84.2","422","188","391","59",31.1,"11",5.8,4.2
"Heaney, Andrew","571760","188","16.3",35.6,"110.6","88.6","77.7","94.2","83.3","441","181","416","74",39.4,"14",7.4,5
"Darvish, Yu","506433","187","11.9",36.4,"110.9","88.7","78.7","93","85.4","449","162","405","64",34.2,"12",6.4,4
"Bassitt, Chris","605135","187","12.5",28.9,"111.4","88.2","77.4","92.7","86.3","418","166","398","70",37.4,"11",5.9,4.2
"Ryu, Hyun Jin","547943","185","9.6",32.4,"109.6","87","76.6","91.4","84.9","427","140","401","54",29.2,"6",3.2,2.2
"Mills, Alec","621219","185","10.1",30.8,"114.5","86.9","74.5","93","83.6","453","154","401","73",39.5,"17",9.2,6.7
"Pérez, Martín","527048","185","14.3",34.6,"111.2","86.3","75.5","91.1","81.3","428","172","400","54",29.2,"14",7.6,5.3
