"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Littell, Zack","641793","587","14.6",32.7,"114.5","90.2","80.2","94.3","87.2","428","172","391","240",40.9,"58",9.9,7.6
"Irvin, Jake","663623","578","12.8",34.3,"112.6","90.5","79.5","94.8","87","464","170","401","272",47.1,"69",11.9,9
"Gallen, Zac","668678","568","12.4",34.2,"112","90.1","79.5","93.6","86.6","467","170","401","244",43,"55",9.7,6.8
"Webb, Logan","657277","568","5.8",32.6,"116.8","89.8","78.5","93.7","87.4","454","136","395","231",40.7,"48",8.5,5.7
"Pfaadt, Brandon","694297","556","12.5",39,"114.8","90.7","79.5","94.8","87.4","449","170","406","253",45.5,"60",10.8,8
"Parker, Mitchell","680730","553","14.9",37.4,"115.4","92.2","82.4","95","90.4","466","182","400","275",49.7,"53",9.6,7.4
"Fried, Max","608331","551","6.9",29.4,"113.8","87.2","74.9","91.6","85","429","140","395","205",37.2,"38",6.9,4.7
"Valdez, Framber","664285","540","2.7",28,"115.9","90.8","80","94.6","88.9","425","127","391","250",46.3,"36",6.7,4.5
"Keller, Mitch","656605","537","11.8",34.6,"115.4","90.1","79.4","93.9","88.1","451","165","402","235",43.8,"42",7.8,5.6
"Pallante, Andre","669467","536","1.4",28.4,"119.4","89.2","77.9","93.1","87.3","448","125","394","214",39.9,"35",6.5,4.9
"Bibee, Tanner","676440","536","13.8",29.5,"115.8","88.5","77.5","92.5","86.7","449","157","393","196",36.6,"43",8,5.6
"Alcantara, Sandy","645261","536","9.4",33,"117.9","90.7","80.2","94.9","87.5","433","159","399","241",45,"46",8.6,6.2
"Sánchez, Cristopher","650911","535","2.8",27.1,"115.2","89","77.5","93.2","86.8","418","127","387","215",40.2,"31",5.8,3.9
"Hendricks, Kyle","543294","533","16.3",32.6,"112.5","86.1","73.7","90.6","83","423","169","395","183",34.3,"44",8.3,6.3
"Kelly, Merrill","518876","531","13.8",32.4,"116.9","90.2","79.1","94.3","87.5","448","165","404","231",43.5,"49",9.2,6.6
"Castillo, Luis","622491","530","14.5",32.1,"115.2","90.3","79.2","94","87.4","445","170","389","246",46.4,"55",10.4,7.4
"Mikolas, Miles","571945","529","13.8",34,"113.8","89.3","77.8","94.3","84.7","440","178","403","221",41.8,"67",12.7,10
"Wacha, Michael","608379","526","17.6",37.1,"113.9","87.6","76.2","92.1","84.3","430","175","406","183",34.8,"40",7.6,5.8
"Freeland, Kyle","607536","524","12.6",36.8,"115.4","91.1","81","93.8","88.9","452","172","398","247",47.1,"49",9.4,7.1
"Kikuchi, Yusei","579328","521","14.5",34.2,"112.2","91","80.7","94.2","89.4","434","174","400","220",42.2,"49",9.4,6.3
"Springs, Jeffrey","605488","518","19.2",37.8,"115.3","88.3","77","92.8","82.9","463","192","397","193",37.3,"42",8.1,5.9
"Gausman, Kevin","592332","518","16.9",35.3,"116.5","89.5","78.4","93.6","85.3","425","182","392","216",41.7,"45",8.7,6
"Kremer, Dean","665152","516","15.1",32.9,"113","88.1","76.6","93.6","83.2","429","173","401","182",36,"44",8.5,6.3
"Severino, Luis","622663","515","14",35.3,"112.4","88.3","75.8","92","85.9","455","167","406","216",41.9,"31",6,4.4
"Martinez, Nick","607259","514","16.2",37,"111.4","88.3","78.1","91.6","86.4","432","172","399","178",34.6,"36",7,5.3
"Boyd, Matthew","571510","513","18",31.4,"114.7","88.5","77.3","91.4","88","425","174","388","195",38,"46",9,6.4
"Sugano, Tomoyuki","608372","510","14.1",38,"116.3","89.8","79.4","93.8","86.7","433","174","399","201",39.4,"59",11.6,9
"Crochet, Garrett","676979","509","10.5",32,"115.5","87.7","75.5","92.1","85.2","453","150","390","190",37.3,"37",7.3,4.5
"Gray, Sonny","543243","508","11",34.8,"114.3","88.9","77","94.4","85.6","429","159","399","207",40.7,"50",9.8,6.6
"Bassitt, Chris","605135","505","10.5",34.5,"116.7","87.7","75.6","92.3","85.2","417","151","392","185",36.6,"43",8.5,5.8
"Bello, Brayan","678394","504","9",30.6,"113.7","88.8","77.4","92.5","86.3","430","147","393","198",39.3,"36",7.1,5.1
"Rodón, Carlos","607074","504","12.8",32.3,"115.5","88.6","77.3","93.2","84.4","434","162","380","196",38.9,"38",7.5,4.8
"Paddack, Chris","663978","503","16.1",35.4,"113.9","90.8","80.1","94.7","89.4","448","174","398","229",45.5,"49",9.7,7.6
"Peterson, David","656849","500","4.3",34.4,"113.3","90.6","79.6","93.6","88.9","432","139","403","230",46,"32",6.4,4.4
"Berríos, José","621244","497","15",32.2,"118.1","90.3","79.8","94.1","87.9","436","167","394","211",42.5,"56",11.3,8
"Woo, Bryan","693433","493","13.8",32.5,"120.4","89.1","77.6","93","87.1","429","162","393","206",41.8,"45",9.1,6.2
"Ray, Robbie","592662","492","17.7",35.2,"114.6","91","81.4","94","88.4","420","188","394","220",44.7,"47",9.6,6.2
"Elder, Bryce","693821","491","8.5",34,"117.6","90","78.8","94","86.2","445","156","404","215",43.8,"38",7.7,5.6
"Soriano, José","667755","488","-2.8",26.8,"115.4","91.4","80","95.7","89.6","427","107","400","235",48.2,"35",7.2,4.8
"Rea, Colin","607067","485","13.6",38.6,"115.7","89.8","79.3","93.7","87.5","440","172","396","199",41,"50",10.3,7.6
"Senzatela, Antonio","622608","485","10.3",36.7,"114.7","91","80","94.5","87.6","466","171","414","225",46.4,"45",9.3,7.3
"Luzardo, Jesús","666200","482","13.1",34,"112","88.5","77.5","91.4","86.4","420","162","399","179",37.1,"32",6.6,4.2
"Liberatore, Matthew","669461","482","15.3",36.1,"114.5","90.6","80.5","93.8","88","444","178","408","198",41.1,"51",10.6,7.9
"Holmes, Clay","605280","482","4.3",30.9,"114","89.9","78.7","95.8","86.3","433","135","396","208",43.2,"34",7.1,5
"Pivetta, Nick","601713","478","19.1",36.4,"115.5","90.3","79.7","94.3","85.5","467","190","403","215",45,"52",10.9,7.2
"Abbott, Andrew","671096","472","19.6",34.5,"111.1","87.8","77.1","91.6","85","437","183","395","159",33.7,"37",7.8,5.6
"Rodriguez, Eduardo","593958","471","16.5",35.5,"113.6","88","76.6","92.1","85.8","438","170","401","161",34.2,"37",7.9,5.5
"Warren, Will","701542","470","12.2",36,"114.4","91","80.4","95","87.6","438","167","396","213",45.3,"51",10.9,7.2
"Allen, Logan","671106","470","13.1",32.6,"117.5","88.5","77.1","93.4","85.7","441","159","395","178",37.9,"42",8.9,6.4
"Fedde, Erick","607200","470","14.9",35.1,"113.2","90.2","80.2","93","88.7","450","168","391","200",42.6,"37",7.9,5.9
"Singer, Brady","663903","469","13.9",36,"116.5","90.2","79.9","94.4","86.8","439","174","393","190",40.5,"43",9.2,6.2
"Skenes, Paul","694973","469","12.2",29.4,"115.8","87.6","75.5","91.6","85.6","437","154","398","188",40.1,"27",5.8,3.7
"Skubal, Tarik","669373","469","12.7",35.6,"114.2","86.1","73.8","92.3","80.3","450","165","407","155",33,"38",8.1,5.1
"Ober, Bailey","641927","468","22.5",33.8,"116.6","89.6","78.8","93.8","85.6","445","193","399","183",39.1,"51",10.9,8.2
"Corbin, Patrick","571578","467","14.4",34.3,"113","89.2","78.2","93.2","86.1","441","168","400","188",40.3,"40",8.6,6.2
"Priester, Quinn","682990","465","4.9",28.4,"114.1","89","78.2","94.4","86.3","418","133","390","183",39.4,"34",7.3,5.2
"Baz, Shane","669358","462","10.7",32.3,"113.9","89","77.8","94.1","86.1","433","153","384","182",39.4,"44",9.5,6.2
"Brown, Hunter","686613","459","10.1",31.4,"114.3","86.1","73.8","91.8","82.5","426","151","392","148",32.2,"27",5.9,3.7
"Márquez, Germán","608566","452","15.6",35.8,"112.7","91.7","81.6","94.5","89.9","456","183","407","219",48.5,"50",11.1,8.5
"Verlander, Justin","434378","451","18.4",37.5,"112.1","88.6","77.9","92.7","84.4","428","178","392","167",37,"36",8,5.6
"Mize, Casey","663554","449","14",36.1,"114","90","79.4","93.2","87.4","442","177","399","191",42.5,"41",9.1,6.5
"Williams, Gavin","668909","445","9.8",35.1,"115","90.4","80.2","94.6","86.8","445","165","402","197",44.3,"40",9,5.7
"Pepiot, Ryan","686752","445","15.9",36.6,"115.7","90.1","79.2","94.5","86.2","442","179","387","189",42.5,"43",9.7,6.3
"deGrom, Jacob","594798","444","16",33.1,"112.5","90.1","79.7","93.5","86.6","447","176","390","186",41.9,"41",9.2,6.1
"Ryan, Joe","657746","444","18.7",33.1,"115.3","90.2","79.8","93.5","87.7","448","183","391","186",41.9,"51",11.5,7.4
"Martin, Davis","663436","442","11.2",36,"114.7","90.7","79.5","93.2","89.4","423","162","389","197",44.6,"43",9.7,7.2
