"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Leake, Mike","502190","671","11.6",31.4,"114.4","90.7","80.5","94","89","471","174","404","287",42.9,"59",8.8,7.1
"Gonzales, Marco","594835","657","14.7",31.5,"112.9","88.3","77.9","93.1","85.3","447","172","395","224",35.2,"32",4.9,3.7
"Nova, Iván","467100","635","10.7",34.5,"118.9","88.8","77.4","93.3","85.6","440","161","396","244",38.4,"46",7.2,5.7
"Anderson, Brett","474463","600","5",30.5,"115.1","89.6","79","94.6","86.9","486","142","419","240",40,"44",7.3,5.9
"Alcantara, Sandy","645261","598","11.8",29.9,"111.7","87.3","76","92.3","83.8","444","164","404","205",34.3,"39",6.5,4.7
"Greinke, Zack","425844","589","11",34.1,"114","87.5","77.1","91.7","84.8","432","165","398","196",33.3,"37",6.3,4.6
"Minor, Mike","501985","588","16.5",31.3,"113.1","86.9","76.2","90.2","85.2","450","174","401","179",30.4,"41",7,4.8
"Berríos, José","621244","587","13.9",34.1,"115.2","87","76.2","91.2","84","441","172","405","188",32,"38",6.5,4.5
"Bumgarner, Madison","518516","587","18.3",35.6,"113.2","90.4","80.5","93","88.8","473","192","404","245",41.8,"53",9,6.3
"Wheeler, Zack","554430","580","12.3",34.5,"117.6","87","76","90.4","84.7","447","167","404","188",32.4,"31",5.3,3.7
"Mikolas, Miles","571945","576","10.3",33,"112.9","88.5","77.9","92.4","86.1","429","164","397","204",36.6,"35",6.1,4.6
"Porcello, Rick","519144","573","15.7",34.7,"116.1","88.4","77.5","93.5","83.9","452","183","397","216",37.7,"55",9.6,7.2
"Tanaka, Masahiro","547888","568","11.1",32.9,"113","89.1","78.8","93.1","87","455","161","405","215",37.9,"35",6.2,4.6
"López, Reynaldo","625643","567","17.7",36.3,"114.2","88.8","77.8","92.7","85.8","505","193","401","217",38.3,"43",7.6,5.3
"Syndergaard, Noah","592789","567","9.8",29.6,"111","86.8","76.3","90.3","85","447","153","402","177",31.2,"28",4.9,3.4
"Fiers, Mike","571666","566","15.7",31.4,"111.3","88.1","77","93.3","84.2","458","176","401","212",38.3,"41",7.2,5.4
