"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Mikolas, Miles","571945","674","15",38.9,"115.5","90.4","80.2","93.7","88","479","180","404","290",43,"66",9.8,7.7
"Webb, Logan","657277","619","0.6",28.3,"114.2","90.7","79.7","95","88.8","483","120","403","285",46,"43",6.9,5.1
"Corbin, Patrick","571578","605","11.7",37.5,"116.3","90.7","80.2","94.2","87.9","444","167","403","266",44,"56",9.3,7.1
"Gibson, Kyle","502043","589","8.2",33.3,"113.3","89.7","78.4","93.9","86.7","436","151","400","262",44.5,"45",7.6,5.6
"Lyles, Jordan","543475","575","19.8",34.6,"115","89","78.6","92.8","86.1","445","184","402","204",35.5,"57",9.9,7.6
"Gallen, Zac","668678","574","12.3",36.4,"113.8","91.5","82","94.5","88.9","437","177","400","265",46.2,"53",9.2,6.3
"Bassitt, Chris","605135","569","13.2",36,"113.2","87.5","75.8","91.9","84.3","450","165","397","201",35.3,"47",8.3,5.7
"Kirby, George","669923","560","12.4",32,"115.6","89.2","78.4","92.8","87.7","432","156","396","229",40.9,"42",7.5,5.5
"Montgomery, Jordan","656756","559","12",36.1,"114","88.3","77.2","92.8","84.9","438","162","399","212",37.9,"42",7.5,5.4
"Alcantara, Sandy","645261","557","7",31.1,"115.1","88.8","77.3","93.4","86","442","144","402","226",40.6,"39",7,5.1
"Keller, Mitch","656605","548","10.3",36.5,"115.1","87.7","76","91.6","85.3","455","161","406","195",35.6,"47",8.6,5.7
"Nola, Aaron","605400","545","12.7",36.3,"114","89.3","78.5","93.5","85.9","461","167","405","210",38.5,"45",8.3,5.7
"Cole, Gerrit","543037","543","14.8",33.7,"114.9","89.2","78.7","93.2","85.9","431","173","397","213",39.2,"41",7.6,5
"Gilbert, Logan","669302","543","13.6",35,"117.3","90.5","80.4","93.7","88.6","430","169","389","242",44.6,"49",9,6.4
"Valdez, Framber","664285","540","4.2",30.7,"114.8","91.5","81.8","95.7","88.7","472","139","402","246",45.6,"43",8,5.3
"Lynn, Lance","458681","540","17",34.8,"114.3","88.7","77.1","93.3","84.6","461","179","405","212",39.3,"56",10.4,6.9
"Freeland, Kyle","607536","540","14.3",35,"115.5","90.2","79.8","94","86.3","466","181","410","235",43.5,"47",8.7,6.9
"Berríos, José","621244","537","11.8",38.9,"113.1","88.2","77.3","92.5","84.7","444","167","405","192",35.8,"46",8.6,5.9
"Elder, Bryce","693821","532","8.5",32,"115","89.9","79.5","93.4","88.3","473","148","409","218",41,"32",6,4.4
"Wheeler, Zack","554430","527","14.2",35.1,"113.2","86.9","75.4","90.5","85.3","430","162","390","192",36.4,"27",5.1,3.4
"Oviedo, Johan","670912","525","11.9",32.2,"114.8","88.6","77.2","93.3","85.4","448","160","399","211",40.2,"40",7.6,5.1
"Castillo, Luis","622491","522","15.9",31,"113","90","79","94.1","86.9","440","174","401","218",41.8,"49",9.4,6.1
"Kremer, Dean","665152","518","12.7",36.9,"115.2","89.7","79.1","93.4","85.5","431","175","403","209",40.3,"46",8.9,6.3
"Dunning, Dane","641540","517","10.8",32.5,"115.6","88.8","77.8","93","86.4","430","155","400","208",40.2,"39",7.5,5.4
"Walker, Taijuan","592836","516","11.1",32.9,"111.3","89.1","77.9","93","87.4","432","157","394","211",40.9,"35",6.8,4.8
"Singer, Brady","663903","512","9",34.8,"113.9","91","80.4","95","88.4","453","158","407","249",48.6,"40",7.8,5.7
"Burnes, Corbin","669203","510","10.5",30.8,"111.8","86.4","74.9","90.7","82.8","427","155","401","165",32.4,"27",5.3,3.4
"Gray, Sonny","543243","510","9.6",32.7,"113.7","89.1","78.4","92.5","87.2","447","150","408","200",39.2,"35",6.9,4.6
"López, Pablo","641154","509","12.6",32.2,"112.8","87.1","75.9","90.7","85.5","417","158","391","177",34.8,"32",6.3,4
"Giolito, Lucas","608337","507","18.5",33.3,"115.1","89.2","78","93","86.9","442","182","403","211",41.6,"56",11,7.1
"Sears, JP","676664","505","22.6",32.7,"112.1","88.6","77.3","92.9","85.4","445","196","398","194",38.4,"56",11.1,7.6
"Steele, Justin","657006","497","9.3",33.4,"111.1","87.8","76.6","91.6","86.1","453","141","403","182",36.6,"27",5.4,3.8
"Eflin, Zach","621107","490","9.1",29,"115.5","87.5","75.6","94.5","83","438","149","396","172",35.1,"44",9,6.3
"Williams, Trevor","592866","490","15.9",36.9,"114.3","88.3","77","93.4","84.3","447","177","399","189",38.6,"50",10.2,7.6
"Schmidt, Clarke","657376","488","13.8",31.1,"116.7","89.2","77.8","92.4","88.1","452","159","383","200",41,"37",7.6,5.3
"Bello, Brayan","678394","485","4.9",28,"116.7","89.5","78","93.6","87.5","470","135","389","215",44.3,"34",7,5.1
"Cease, Dylan","656302","481","15.4",36.8,"113","90","79.8","92.9","87.7","455","179","394","200",41.6,"30",6.2,3.8
"Verlander, Justin","434378","475","18.9",30.5,"118.3","90","80","94.1","87.2","433","175","390","196",41.3,"39",8.2,5.8
"Nelson, Ryne","669194","475","16.2",37.1,"113.2","90.8","80.7","95.1","87.4","451","184","408","203",42.7,"55",11.6,8.9
"Luzardo, Jesús","666200","472","14.5",34.5,"115.3","89.5","78.5","93.8","86.2","464","175","408","189",40,"45",9.5,6.1
"Cobb, Alex","502171","472","1.3",33.1,"113.9","89.8","78.2","95.2","86.4","440","136","397","205",43.4,"33",7,5.1
"Gomber, Austin","596295","470","12.8",31.3,"113.7","90.5","79.8","94.5","87.9","463","169","414","208",44.3,"42",8.9,7
"Taillon, Jameson","592791","469","16.7",36.2,"111.3","88.3","76.8","93","84.6","452","177","409","180",38.4,"50",10.7,7.6
"Greinke, Zack","425844","469","11.9",32.6,"117.1","89.6","79.1","92.7","87.3","440","169","404","182",38.8,"36",7.7,6.1
"Kikuchi, Yusei","579328","467","13.3",37.5,"114.1","90.5","80.9","94","88.5","455","172","395","198",42.4,"42",9,6
"Gausman, Kevin","592332","466","12.3",36.9,"117.9","89.4","77.9","93.8","86","436","170","402","202",43.3,"46",9.9,6
"Gray, Josiah","680686","466","16.8",35,"111.6","87.6","75.9","92.8","83.3","455","175","400","171",36.7,"44",9.4,6.3
"Hill, Rich","448179","464","14.3",37.3,"113.4","89.4","78.9","94","85.5","435","174","400","185",39.9,"47",10.1,7.1
"Garrett, Braxton","666129","463","7.4",32.2,"116.7","90.2","78.9","93.9","87.6","461","150","409","209",45.1,"36",7.8,5.5
"Lorenzen, Michael","547179","463","13.8",33.9,"114.5","90","80.1","93.1","87.7","461","173","401","186",40.2,"37",8,5.9
"Kelly, Merrill","518876","462","11.8",35.1,"113.2","89.6","78.6","93.2","86.7","441","158","396","193",41.8,"36",7.8,5
