Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Domingo Santana ","Swallows (NPB)",32,60,212,240,58,44,11,0,3,25,15,25,0,65,3,0,0,4,1,1,0.273584905,"Domingo Santana","10348",
"Tyler Austin ","BayStars (NPB)",33,65,219,246,59,34,14,0,11,35,28,26,6,45,1,0,0,10,0,0,0.269406392,"Tyler Austin","11850",
"Orlando Calixte ","Dragons (NPB)",33,61,176,192,40,29,9,1,1,13,14,12,0,37,0,3,1,4,1,1,0.227272727,"Orlando Calixte","11905",
"Maikel Franco ","Golden Eagles (NPB)",32,101,317,347,75,59,9,0,7,21,32,24,1,65,1,5,0,6,0,1,0.236593059,"Maikel Franco","12179",
"Gregory Polanco ","Marines (NPB)",33,39,139,154,28,20,3,0,5,13,13,14,1,35,0,1,0,1,0,0,0.201438848,"Gregory Polanco","12907",
"José Osuna ","Swallows (NPB)",32,141,528,574,135,99,22,0,14,38,67,40,6,76,1,5,0,13,4,1,0.255681818,"Jose Osuna","12937",
"Elier Hernandez ","Giants (NPB)",30,52,152,171,32,22,8,0,2,14,8,18,1,34,1,0,0,5,0,3,0.210526315,"Elier Hernandez","13750",
"Franmil Reyes ","Fighters (NPB)",29,132,476,531,132,83,17,0,32,62,90,52,5,129,0,3,0,8,0,0,0.277310924,"Franmil Reyes","14566",
"Luke Voit ","Golden Eagles (NPB)",34,67,243,276,73,51,9,0,13,29,39,27,2,59,6,0,0,5,0,0,0.300411522,"Luke Voit","14811",
"Mike Ford ","BayStars (NPB)",32,25,46,51,9,8,1,0,0,1,1,5,0,13,0,0,0,0,0,0,0.195652173,"Mike Ford","15585",
"J.D. Davis ","Lions (NPB)",32,72,226,262,46,34,6,0,6,16,18,34,0,48,2,0,0,8,0,0,0.203539823,"J.D. Davis","16219",
"Jason Vosler ","Dragons (NPB)",31,122,452,493,118,70,33,2,13,37,58,30,3,101,6,5,0,5,0,1,0.261061946,"Jason Vosler","16686",
"Michael Chavis ","Dragons (NPB)",29,38,105,120,18,9,4,0,5,7,8,11,2,32,3,1,0,2,0,0,0.171428571,"Michael Chavis","17321",
"Tyler Nevin ","Lions (NPB)",28,137,509,570,141,96,24,0,21,51,63,45,6,78,11,5,0,13,2,1,0.277013752,"Tyler Nevin","17893",
"Sandro Fabian ","Carp (NPB)",27,138,539,572,149,102,30,0,17,60,65,22,3,84,9,2,0,8,2,3,0.276437847,"Sandro Fabian","19910",
"Elehuris Montero ","Carp (NPB)",26,105,368,396,94,63,21,1,9,23,41,23,2,89,2,3,0,11,0,0,0.255434782,"Elehuris Montero","20543",
