Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Gregory Polanco ","Giants (NPB)",30,138,438,484,105,59,21,1,24,55,58,42,1,109,1,3,0,6,2,3,0.239726027,"Gregory Polanco","12907",
"José Osuna ","Swallows (NPB)",29,138,496,529,135,94,19,2,20,49,74,29,4,93,1,3,0,11,2,3,0.272177419,"Jose Osuna","12937",
"Ryan McBroom ","Carp (NPB)",30,128,448,508,122,80,25,0,17,57,74,52,2,105,5,3,0,13,0,0,0.272321428,"Ryan McBroom","16524",
"Brian O'Grady ","Lions (NPB)",30,123,404,465,86,47,24,0,15,42,46,54,3,129,5,2,0,8,2,1,0.212871287,"Brian O'Grady","16729",
"Masataka Yoshida ","Buffaloes (NPB)",28,119,412,508,138,88,28,1,21,56,88,80,18,41,9,7,0,11,4,0,0.334951456,"Masataka Yoshida","31837",
"Dayan Viciedo ","Dragons (NPB)",33,129,483,532,142,101,27,0,14,52,63,40,2,59,7,2,0,20,1,1,0.293995859,"Dayan Viciedo","3917",
"Brandon Laird ","Marines (NPB)",34,112,365,396,69,45,9,0,15,24,48,19,2,92,6,6,0,9,0,0,0.189041095,"Brandon Laird","5476",
"Neftali Soto ","BayStars (NPB)",33,117,368,412,98,56,25,0,17,35,49,38,2,103,5,1,0,11,0,0,0.266304347,"Neftali Soto","5663",
"Tomoya Mori ","Lions (NPB)",26,102,366,412,92,60,21,3,8,45,38,41,0,66,1,1,3,11,2,1,0.25136612,"Tomoya Mori","sa3063014",
"Takuya Kinoshita ","Dragons (NPB)",30,120,419,466,103,78,16,3,6,24,48,27,3,38,1,6,12,5,2,0,0.245823389,"Takuya Kinoshita","sa3063015",
"Hideto Asamura ","Golden Eagles (NPB)",31,143,532,633,134,90,17,0,27,73,86,92,7,137,5,4,0,13,4,3,0.251879699,"Hideto Asamura","sa3063022",
"Sosuke Genda ","Lions (NPB)",29,108,414,456,110,92,8,8,2,39,17,30,0,72,1,0,11,6,12,4,0.265700483,"Sosuke Genda","sa3063023",
"Toshiki Abe ","Dragons (NPB)",32,133,486,548,131,89,31,2,9,44,57,49,0,105,4,6,3,14,3,1,0.269547325,"Toshiki Abe","sa3063024",
"Shuta Tonosaki ","Lions (NPB)",29,132,478,547,103,63,25,3,12,54,47,52,0,113,3,3,11,11,10,6,0.215481171,"Shuta Tonosaki","sa3063038",
"Hotaka Yamakawa ","Lions (NPB)",30,129,448,528,119,61,17,0,41,62,90,68,13,114,11,1,0,12,0,0,0.265625,"Hotaka Yamakawa","sa3063051",
"Yohei Ohshima ","Dragons (NPB)",36,109,436,482,137,117,18,1,1,48,20,34,5,52,9,0,3,1,11,4,0.314220183,"Yohei Ohshima","sa3063061",
"Aito Takeda ","Lions (NPB)",25,121,366,393,89,61,19,0,9,34,28,10,0,70,2,1,14,7,9,4,0.243169398,"Aito Takeda","sa3063065",
"Kensuke Kondoh ","Fighters (NPB)",28,99,325,396,98,63,26,1,8,51,41,66,6,45,1,3,1,7,8,7,0.301538461,"Kensuke Kondoh","sa3063115",
"Takumi Ohshiro ","Giants (NPB)",29,115,346,393,92,67,11,1,13,24,43,36,4,77,2,0,9,10,1,0,0.265895953,"Takumi Ohshiro","sa3063126",
"Kotaro Kiyomiya ","Fighters (NPB)",23,129,406,461,89,43,25,3,18,52,55,45,2,113,6,2,2,6,4,5,0.219211822,"Kotaro Kiyomiya","sa3063130",
"Go Matsumoto ","Fighters (NPB)",28,117,395,445,137,109,23,2,3,48,44,32,5,42,4,4,10,13,21,5,0.346835443,"Go Matsumoto","sa3063132",
"Kazuma Okamoto ","Giants (NPB)",26,140,520,589,131,79,21,1,30,63,82,58,7,94,9,2,0,12,1,1,0.251923076,"Kazuma Okamoto","sa3063134",
"Naoki Yoshikawa ","Giants (NPB)",27,132,516,567,143,110,20,6,7,64,31,32,0,53,8,1,10,6,16,7,0.277131782,"Naoki Yoshikawa","sa3063146",
"Haruki Nishikawa ","Golden Eagles (NPB)",30,108,372,451,81,53,17,4,7,58,37,68,0,103,3,2,6,2,19,8,0.217741935,"Haruki Nishikawa","sa3063153",
"Kento Itohara ","Tigers (NPB)",29,132,445,495,110,94,12,1,3,31,36,35,1,48,5,4,6,7,2,3,0.247191011,"Kento Itohara","sa3063200",
"Yusuke Ohyama ","Tigers (NPB)",27,124,439,510,117,75,18,1,23,54,87,59,5,103,6,5,1,17,0,1,0.266514806,"Yusuke Ohyama","sa3063203",
"Munetaka Murakami ","Swallows (NPB)",22,141,487,612,155,77,21,1,56,114,134,118,25,128,7,0,0,7,12,7,0.318275154,"Munetaka Murakami","sa3063258",
"Tetsuto Yamada ","Swallows (NPB)",29,130,469,540,114,60,31,0,23,69,65,60,1,140,6,5,0,7,10,2,0.243070362,"Tetsuto Yamada","sa3063265",
"Yasutaka Shiomi ","Swallows (NPB)",29,130,508,567,140,88,30,6,16,83,54,43,1,122,12,3,1,6,24,7,0.275590551,"Yasutaka Shiomi","sa3063268",
"Shogo Sakakura ","Carp (NPB)",24,143,539,599,155,118,18,3,16,73,68,46,3,81,10,4,0,15,2,1,0.287569573,"Shogo Sakakura","sa3063308",
"Ryosuke Kikuchi ","Carp (NPB)",32,123,462,522,121,89,25,1,6,51,45,24,0,70,2,2,32,7,2,3,0.261904761,"Ryosuke Kikuchi","sa3063313",
"Ryoma Nishikawa ","Carp (NPB)",27,97,390,424,123,91,19,3,10,60,53,30,4,74,2,2,0,8,2,2,0.315384615,"Ryoma Nishikawa","sa3063318",
"Yoshihiro Maru ","Giants (NPB)",33,143,525,607,143,84,31,1,27,81,65,80,1,88,1,0,1,8,6,7,0.272380952,"Yoshihiro Maru","sa3063325",
"Shuhei Fukuda ","Buffaloes (NPB)",29,118,448,502,120,103,11,6,0,65,24,32,0,50,8,0,14,8,9,7,0.267857142,"Shuhei Fukuda","sa3063365",
"Yuma Mune ","Buffaloes (NPB)",26,130,469,537,127,98,23,1,5,55,43,45,2,81,8,6,9,11,4,5,0.270788912,"Yuma Mune","sa3063369",
"Yutaro Sugimoto ","Buffaloes (NPB)",31,105,379,433,89,58,15,1,15,37,51,40,2,135,11,2,0,9,4,4,0.234828496,"Yutaro Sugimoto","sa3063379",
"Shogo Nakamura ","Marines (NPB)",30,138,498,596,128,85,31,0,12,52,68,70,3,86,10,9,9,13,15,6,0.257028112,"Shogo Nakamura","sa3063430",
"Daichi Suzuki ","Golden Eagles (NPB)",32,125,408,477,105,81,19,0,5,40,35,38,0,52,18,4,9,11,4,2,0.257352941,"Daichi Suzuki","sa3063434",
"Hisanori Yasuda ","Marines (NPB)",23,119,388,440,102,69,23,1,9,33,47,45,0,86,4,3,0,10,1,2,0.262886597,"Hisanori Yasuda","sa3063436",
"Hiroaki Shimauchi ","Golden Eagles (NPB)",32,142,541,613,161,108,36,3,14,59,77,63,1,82,4,3,2,16,7,4,0.297597042,"Hiroaki Shimauchi","sa3063497",
"Takuya Kai ","Hawks (NPB)",29,130,323,405,58,47,9,1,1,25,27,38,0,85,5,1,38,8,1,3,0.179566563,"Takuya Kai","sa3063526",
"Kenta Imamiya ","Hawks (NPB)",30,130,450,510,133,96,30,0,7,56,47,37,0,71,3,1,19,14,3,4,0.295555555,"Kenta Imamiya","sa3063535",
"Taisei Makihara ","Hawks (NPB)",29,120,409,441,123,95,18,4,6,45,42,16,0,71,4,3,9,5,13,4,0.300733496,"Taisei Makihara","sa3063539",
"Masaki Mimori ","Hawks (NPB)",23,102,393,437,101,75,13,4,9,58,36,28,0,81,3,3,10,3,20,3,0.256997455,"Masaki Mimori","sa3063542",
"Akira Nakamura ","Hawks (NPB)",32,114,379,435,96,75,12,2,7,34,51,45,2,48,2,2,7,7,2,3,0.253298153,"Akira Nakamura","sa3063554",
"Yuki Yanagita ","Hawks (NPB)",33,117,437,491,120,77,18,1,24,63,79,43,6,106,6,5,0,6,2,3,0.274599542,"Yuki Yanagita","sa3063557",
"Toshiro Miyazaki ","BayStars (NPB)",33,122,434,482,130,89,24,1,16,51,50,44,9,35,2,2,0,16,0,0,0.29953917,"Toshiro Miyazaki","sa3063601",
"Keita Sano ","BayStars (NPB)",27,133,526,574,161,109,29,1,22,63,72,43,3,57,4,1,0,14,2,1,0.30608365,"Keita Sano","sa3063604",
"Masayuki Kuwahara ","BayStars (NPB)",28,130,475,529,122,85,32,1,4,61,39,42,0,89,4,1,7,3,13,8,0.256842105,"Masayuki Kuwahara","sa3063614",
"Koji Chikamoto ","Tigers (NPB)",27,132,525,580,154,132,16,3,3,71,34,41,0,63,7,1,6,7,30,5,0.293333333,"Koji Chikamoto","sa3063654",
"Kaito Kozono ","Carp (NPB)",22,127,473,511,126,101,12,6,7,57,38,24,2,76,1,5,8,11,2,2,0.266384778,"Kaito Kozono","sa3063663",
"Keita Nakagawa ","Buffaloes (NPB)",26,110,424,468,120,78,25,9,8,54,51,26,2,79,4,6,8,5,11,2,0.283018867,"Keita Nakagawa","sa3063681",
