Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Jabari Blash ","Golden Eagles (NPB)",29,128,426,527,111,58,20,0,33,66,95,81,2,157,17,3,0,7,2,3,0.26056338,"Jabari Blash","11247",
"Norichika Aoki ","Swallows (NPB)",37,134,489,565,145,108,19,2,16,84,58,61,2,72,11,3,1,13,1,2,0.296523517,"Norichika Aoki","13075",
"Yoshi Tsutsugo ","BayStars (NPB)",27,131,464,557,126,73,24,0,29,74,79,88,5,141,2,3,0,5,0,0,0.271551724,"Yoshi Tsutsugo","27459",
"Shogo Akiyama ","Lions (NPB)",31,143,590,678,179,124,31,4,20,112,62,78,2,108,9,1,0,8,12,8,0.30338983,"Shogo Akiyama","27461",
"Seiya Suzuki ","Carp (NPB)",24,140,499,612,167,108,31,0,28,112,87,103,12,81,7,3,0,3,25,16,0.334669338,"Seiya Suzuki","30116",
"Jose Lopez ","BayStars (NPB)",35,142,551,597,133,74,28,0,31,69,84,39,6,107,4,3,0,18,0,0,0.24137931,"Jose Lopez","3114",
"Wladimir Balentien ","Swallows (NPB)",34,120,410,468,115,69,13,0,33,65,93,54,3,117,1,3,0,11,0,1,0.280487804,"Wladimir Balentien","3131",
"Masataka Yoshida ","Buffaloes (NPB)",25,143,521,610,168,113,24,2,29,92,85,79,12,64,5,5,0,12,5,1,0.322456813,"Masataka Yoshida","31837",
"Kosuke Fukudome ","Tigers (NPB)",42,104,348,403,89,62,16,1,10,39,47,49,1,85,1,3,2,5,0,0,0.255747126,"Kosuke Fukudome","3263",
"Dayan Viciedo ","Dragons (NPB)",30,143,534,594,168,107,43,0,18,56,93,41,9,88,13,6,0,22,2,1,0.314606741,"Dayan Viciedo","3917",
"Jefry Marte ","Tigers (NPB)",28,105,349,412,99,67,20,0,12,36,49,51,2,73,7,5,0,14,0,2,0.283667621,"Jefry Marte","5107",
"Brandon Laird ","Marines (NPB)",31,139,487,553,121,71,18,0,32,59,89,55,2,128,8,3,0,18,0,0,0.248459958,"Brandon Laird","5476",
"Neftali Soto ","BayStars (NPB)",30,141,516,584,139,78,18,0,43,82,108,59,4,98,5,4,0,14,0,0,0.269379844,"Neftali Soto","5663",
"Zelous Wheeler ","Golden Eagles (NPB)",32,117,411,472,100,66,15,0,19,53,67,43,0,96,8,10,0,22,3,5,0.243309002,"Zelous Wheeler","8822",
"Tomoya Mori ","Lions (NPB)",23,135,492,573,162,103,34,2,23,96,105,72,3,89,2,6,1,9,3,2,0.329268292,"Tomoya Mori","sa3063014",
"Hideto Asamura ","Golden Eagles (NPB)",28,143,529,635,139,78,26,2,33,93,92,93,9,162,4,9,0,12,1,1,0.262759924,"Hideto Asamura","sa3063022",
"Sosuke Genda ","Lions (NPB)",26,135,540,609,148,117,23,6,2,90,41,40,0,67,1,3,25,9,30,9,0.274074074,"Sosuke Genda","sa3063023",
"Toshiki Abe ","Dragons (NPB)",29,129,447,484,130,96,24,3,7,51,59,31,3,82,1,2,3,9,1,0,0.29082774,"Toshiki Abe","sa3063024",
"Takeya Nakamura ","Lions (NPB)",35,135,496,557,142,82,30,0,30,69,123,54,5,123,4,3,0,12,2,1,0.286290322,"Takeya Nakamura","sa3063032",
"Yota Kyoda ","Dragons (NPB)",25,140,507,574,126,104,14,5,3,46,40,37,3,91,3,3,24,10,17,7,0.24852071,"Yota Kyoda","sa3063037",
"Shuta Tonosaki ","Lions (NPB)",26,143,533,621,146,87,27,6,26,96,90,63,0,132,5,6,14,9,22,6,0.2739212,"Shuta Tonosaki","sa3063038",
"Shuhei Takahashi ","Dragons (NPB)",25,117,430,471,126,86,28,5,7,50,59,32,7,70,3,1,5,10,3,4,0.293023255,"Shuhei Takahashi","sa3063043",
"Ryosuke Hirata ","Dragons (NPB)",31,95,360,407,100,67,21,4,8,52,32,38,2,53,4,4,1,8,3,6,0.277777777,"Ryosuke Hirata","sa3063050",
"Hotaka Yamakawa ","Lions (NPB)",27,143,524,626,134,71,20,0,43,93,120,86,8,142,13,3,0,13,1,0,0.25572519,"Hotaka Yamakawa","sa3063051",
"Yuji Kaneko ","Lions (NPB)",29,133,463,524,116,104,8,1,3,60,33,49,1,81,3,3,6,3,41,10,0.250539956,"Yuji Kaneko","sa3063053",
"Fumikazu Kimura ","Lions (NPB)",30,130,391,441,86,61,12,3,10,46,38,24,0,101,5,6,15,3,16,9,0.219948849,"Fumikazu Kimura","sa3063055",
"Takumi Kuriyama ","Lions (NPB)",35,123,409,466,103,75,21,0,7,35,54,48,2,100,3,3,3,13,0,0,0.25183374,"Takumi Kuriyama","sa3063060",
"Yohei Ohshima ","Dragons (NPB)",33,143,558,623,174,145,23,3,3,89,45,50,3,78,9,3,3,5,30,7,0.311827956,"Yohei Ohshima","sa3063061",
"Kensuke Kondoh ","Fighters (NPB)",25,138,490,600,148,109,32,5,2,74,59,103,3,81,2,5,0,11,1,4,0.302040816,"Kensuke Kondoh","sa3063115",
"Kazuma Okamoto ","Giants (NPB)",23,143,555,628,147,87,29,0,31,84,94,62,3,132,6,3,2,15,3,0,0.264864864,"Kazuma Okamoto","sa3063134",
"Hayato Sakamoto ","Giants (NPB)",30,143,555,639,173,107,26,0,40,103,94,77,6,123,2,2,3,9,5,3,0.311711711,"Hayato Sakamoto","sa3063135",
"Sho Nakata ","Fighters (NPB)",30,124,450,514,109,64,21,0,24,55,80,55,4,83,5,4,0,16,0,0,0.242222222,"Sho Nakata","sa3063138",
"Ryo Watanabe ","Fighters (NPB)",24,132,481,543,126,94,16,5,11,60,58,48,0,120,6,5,3,8,0,2,0.261954261,"Ryo Watanabe","sa3063148",
"Haruki Nishikawa ","Fighters (NPB)",27,142,548,651,158,121,26,6,5,88,41,93,2,111,2,0,8,5,19,5,0.288321167,"Haruki Nishikawa","sa3063153",
"Yoshiyuki Kamei ","Giants (NPB)",36,131,450,503,128,86,27,2,13,67,55,45,3,91,0,5,3,6,9,1,0.284444444,"Yoshiyuki Kamei","sa3063154",
"Taishi Ohta ","Fighters (NPB)",29,132,557,594,161,112,28,1,20,79,77,27,4,111,5,5,0,22,7,2,0.289048473,"Taishi Ohta","sa3063156",
"Ryutaro Umeno ","Tigers (NPB)",28,129,433,492,115,81,22,3,9,49,59,34,4,83,6,3,16,16,14,3,0.265588914,"Ryutaro Umeno","sa3063197",
"Kento Itohara ","Tigers (NPB)",26,143,491,572,131,105,20,4,2,66,45,60,2,70,7,3,11,7,6,5,0.266802443,"Kento Itohara","sa3063200",
"Yusuke Ohyama ","Tigers (NPB)",24,143,538,587,139,91,33,1,14,52,76,39,3,98,5,4,1,12,3,0,0.258364312,"Yusuke Ohyama","sa3063203",
"Yoshio Itoi ","Tigers (NPB)",37,103,382,444,120,92,22,1,5,45,42,52,7,63,7,3,0,10,9,5,0.314136125,"Yoshio Itoi","sa3063213",
"Yuhei Nakamura ","Swallows (NPB)",29,126,372,450,100,69,24,2,5,42,36,53,3,64,10,2,13,11,1,4,0.268817204,"Yuhei Nakamura","sa3063250",
"Munetaka Murakami ","Swallows (NPB)",19,143,511,593,118,62,20,0,36,76,96,74,5,184,5,3,0,9,5,4,0.230919765,"Munetaka Murakami","sa3063258",
"Tetsuto Yamada ","Swallows (NPB)",26,142,520,641,141,66,35,5,35,102,98,110,7,121,6,5,0,14,33,3,0.271153846,"Tetsuto Yamada","sa3063265",
"Yuhei Takai ","Swallows (NPB)",35,131,447,493,122,91,19,0,12,55,56,37,4,71,2,6,1,4,4,3,0.272930648,"Yuhei Takai","sa3063269",
"Tsubasa Aizawa ","Carp (NPB)",31,126,376,447,104,69,21,2,12,38,63,58,5,81,10,0,3,6,2,1,0.276595744,"Tsubasa Aizawa","sa3063303",
"Ryosuke Kikuchi ","Carp (NPB)",29,138,547,619,143,92,36,2,13,77,48,41,0,102,1,2,28,5,14,5,0.261425959,"Ryosuke Kikuchi","sa3063313",
"Ryoma Nishikawa ","Carp (NPB)",24,138,535,585,159,117,23,3,16,70,64,32,4,81,2,5,11,9,6,7,0.297196261,"Ryoma Nishikawa","sa3063318",
"Yoshihiro Maru ","Giants (NPB)",30,143,535,631,156,102,26,1,27,82,89,86,3,125,3,7,0,15,12,5,0.291588785,"Yoshihiro Maru","sa3063325",
"Shuhei Fukuda ","Buffaloes (NPB)",26,135,492,583,123,103,13,5,2,65,38,62,0,57,8,2,19,7,30,14,0.25,"Shuhei Fukuda","sa3063365",
"Seiya Inoue ","Marines (NPB)",29,129,429,509,108,67,16,1,24,60,65,67,1,98,9,3,0,10,0,0,0.251748251,"Seiya Inoue","sa3063426",
