Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Stefen Romero ","Golden Eagles (NPB)",31,103,356,404,97,52,19,2,24,46,63,38,5,108,8,2,0,8,0,0,0.27247191,"Stefen Romero","11746",
"Leonys Martin ","Marines (NPB)",32,104,359,448,84,44,15,0,25,72,65,70,5,100,17,2,0,10,7,2,0.233983286,"Leonys Martin","11846",
"Cory Spangenberg ","Lions (NPB)",29,111,407,446,109,60,26,8,15,52,57,33,0,150,4,2,0,2,13,2,0.267813267,"Cory Spangenberg","12294",
"Norichika Aoki ","Swallows (NPB)",38,107,357,425,113,64,30,1,18,64,51,62,2,51,5,1,0,6,2,1,0.31652661,"Norichika Aoki","13075",
"Seiya Suzuki ","Carp (NPB)",25,118,430,514,129,76,26,2,25,85,75,72,9,73,9,3,0,15,6,3,0.3,"Seiya Suzuki","30116",
"Masataka Yoshida ","Buffaloes (NPB)",26,120,408,492,143,106,22,1,14,55,64,72,17,29,8,4,0,6,8,5,0.350490196,"Masataka Yoshida","31837",
"Dayan Viciedo ","Dragons (NPB)",31,109,409,462,109,69,23,0,17,48,82,34,3,48,9,10,0,17,3,2,0.266503667,"Dayan Viciedo","3917",
"Jerry Sands ","Tigers (NPB)",32,110,377,443,97,62,16,0,19,47,64,61,2,106,3,2,0,11,2,1,0.257294429,"Jerry Sands","4016",
"José Pirela ","Carp (NPB)",30,99,316,337,84,62,9,2,11,47,34,19,2,53,2,0,0,4,2,3,0.265822784,"Jose Pirela","5485",
"Neftali Soto ","BayStars (NPB)",31,114,428,480,108,65,18,0,25,59,78,44,0,103,3,5,0,12,0,0,0.252336448,"Neftali Soto","5663",
"Alcides Escobar ","Swallows (NPB)",33,104,377,402,103,86,14,2,1,27,30,13,6,52,9,2,1,9,6,7,0.273209549,"Alcides Escobar","6310",
"Adam Jones ","Buffaloes (NPB)",34,87,302,338,78,54,12,0,12,29,43,32,0,66,2,2,0,9,1,0,0.258278145,"Adam Jones","6368",
"Justin Bour ","Tigers (NPB)",32,99,329,379,80,55,8,0,17,27,45,45,5,88,3,2,0,13,1,1,0.243161094,"Justin Bour","9744",
"Tomoya Mori ","Lions (NPB)",24,104,357,404,90,64,15,2,9,46,38,38,0,67,3,4,2,7,4,2,0.25210084,"Tomoya Mori","sa3063014",
"Hideto Asamura ","Golden Eagles (NPB)",29,120,432,529,121,64,25,0,32,72,104,91,2,111,4,2,0,15,1,1,0.280092592,"Hideto Asamura","sa3063022",
"Sosuke Genda ","Lions (NPB)",27,120,454,517,123,103,14,5,1,67,21,38,0,80,1,2,22,6,18,7,0.27092511,"Sosuke Genda","sa3063023",
"Toshiki Abe ","Dragons (NPB)",30,115,421,459,108,70,25,0,13,44,61,30,0,92,1,2,5,21,2,4,0.256532066,"Toshiki Abe","sa3063024",
"Yota Kyoda ","Dragons (NPB)",26,120,442,491,109,81,16,7,5,43,29,27,4,80,6,1,15,4,8,4,0.246606334,"Yota Kyoda","sa3063037",
"Shuta Tonosaki ","Lions (NPB)",27,120,433,500,107,79,18,2,8,62,43,54,1,87,4,2,7,7,21,7,0.247113163,"Shuta Tonosaki","sa3063038",
"Shuhei Takahashi ","Dragons (NPB)",26,108,394,438,120,87,25,1,7,46,46,39,6,70,2,3,0,13,1,1,0.304568527,"Shuhei Takahashi","sa3063043",
