Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Domingo Santana ","Swallows (NPB)",28,116,372,418,108,65,23,1,19,39,62,42,2,103,3,1,0,12,2,0,0.29032258,"Domingo Santana","10348",
"Leonys Martin ","Marines (NPB)",33,116,416,499,97,40,30,0,27,66,75,70,3,132,10,3,0,8,4,1,0.233173076,"Leonys Martin","11846",
"Tyler Austin ","BayStars (NPB)",29,107,373,439,113,59,25,1,28,60,74,60,2,111,5,1,0,9,1,0,0.302949061,"Tyler Austin","11850",
"José Osuna ","Swallows (NPB)",28,120,469,495,121,82,24,2,13,42,60,22,2,80,2,2,0,18,3,0,0.257995735,"Jose Osuna","12937",
"Norichika Aoki ","Swallows (NPB)",39,122,446,501,115,77,29,0,9,57,56,43,1,44,10,2,0,10,0,0,0.257847533,"Norichika Aoki","13075",
"Seiya Suzuki ","Carp (NPB)",26,132,435,533,138,74,26,0,38,77,88,87,11,88,6,5,0,7,9,4,0.317241379,"Seiya Suzuki","30116",
"Masataka Yoshida ","Buffaloes (NPB)",27,110,389,455,132,88,22,1,21,61,72,58,6,26,5,3,0,9,0,0,0.339331619,"Masataka Yoshida","31837",
"Dayan Viciedo ","Dragons (NPB)",32,130,480,526,132,91,23,1,17,44,70,35,9,56,8,3,0,15,1,2,0.275,"Dayan Viciedo","3917",
"Jerry Sands ","Tigers (NPB)",33,120,408,461,101,59,21,1,20,47,65,49,5,89,1,3,0,11,1,1,0.247549019,"Jerry Sands","4016",
"Jefry Marte ","Tigers (NPB)",30,128,446,526,115,74,18,1,22,55,71,74,3,72,4,2,0,16,0,0,0.257847533,"Jefry Marte","5107",
"Brandon Laird ","Marines (NPB)",33,136,485,545,127,80,18,0,29,57,95,50,4,109,3,7,0,15,0,1,0.26185567,"Brandon Laird","5476",
"Neftali Soto ","BayStars (NPB)",32,123,410,451,96,56,18,1,21,42,62,35,4,116,5,1,0,12,0,1,0.234146341,"Neftali Soto","5663",
"Zelous Wheeler ","Giants (NPB)",34,121,384,427,111,68,28,0,15,44,56,34,3,78,8,1,0,16,3,1,0.2890625,"Zelous Wheeler","8822",
