Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Kazuma Okamoto ","Giants (NPB)",25,592,0.096283783,0.182432432,0.527777777,0.264875239,0.341216216,0.529750479,0.870966695,0.26487524,1.8132045039296114,0.259842519,-0.3903605208033696,91.18313214706326,31.046320175398833,0.38340646535360895,138.2140775743242,"Kazuma Okamoto","sa3063134",
"Hayato Sakamoto ","Giants (NPB)",32,487,0.119096509,0.184804928,0.644444444,0.271226415,0.358762886,0.466981132,0.825744018,0.195754717,1.5367225675466254,0.302839116,-0.8882201960077509,69.54176683907768,20.071112396171305,0.3682744827686873,127.99976779715196,"Hayato Sakamoto","sa3063135",
"Yuto Takahama ","Fighters (NPB)",24,404,0.056930693,0.202970297,0.280487804,0.261580381,0.305343511,0.389645776,0.694989287,0.128065395,2.868385448693725,0.315412186,0.2528265063883737,40.79480436508472,-0.24450650747005537,0.31192164548805784,102.26413708867535,"Yuto Takahama","sa3063144",
"Haruki Nishikawa ","Fighters (NPB)",29,547,0.162705667,0.180987202,0.898989898,0.232662192,0.362132352,0.317673378,0.67980573,0.085011186,6.133370410948849,0.28939828,0.5549776741536334,58.12891226131008,2.5633106591133803,0.3190519456266259,107.56106848275857,"Haruki Nishikawa","sa3063153",
"Seiya Matsubara ","Giants (NPB)",26,477,0.07966457,0.209643605,0.38,0.273781902,0.333333333,0.422273781,0.755607114,0.148491879,6.031608154744701,0.329192546,0.27471961569972336,58.01965336968034,9.564823453322347,0.33975815521513864,108.75082921923556,"Seiya Matsubara","sa3063168",
"Ryutaro Umeno ","Tigers (NPB)",30,458,0.08951965,0.233624454,0.38317757,0.225247524,0.303097345,0.29950495,0.602602295,0.074257426,4.219324604754636,0.297297297,-0.02888184308540076,34.39689927222025,-12.127864043695809,0.2770542251506202,70.0417912517585,"Ryutaro Umeno","sa3063197",
"Kento Itohara ","Tigers (NPB)",28,488,0.084016393,0.125,0.672131147,0.285714285,0.347022587,0.351473922,0.698496509,0.065759637,3.098757539333158,0.325459317,-0.845610716030933,51.87526897541833,2.3030320798571107,0.3190966873932668,98.42106876753964,"Kento Itohara","sa3063200",
"Yusuke Ohyama ","Tigers (NPB)",26,512,0.072265625,0.173828125,0.415730337,0.259656652,0.3125,0.452789699,0.765289699,0.193133047,2.801468906371362,0.275482093,-0.147366012330167,62.348180573942116,10.337964814664776,0.339945863371026,112.49456778463573,"Yusuke Ohyama","sa3063203",
"Yuhei Nakamura ","Swallows (NPB)",31,445,0.103370786,0.148314606,0.696969696,0.278514588,0.35962877,0.358090185,0.717718955,0.079575597,1.815867222672488,0.329073482,-1.2948347412748262,50.647570970572744,5.443379539169588,0.32922074772642274,98.89114945258238,"Yuhei Nakamura","sa3063250",
"Munetaka Murakami ","Swallows (NPB)",21,615,0.172357723,0.216260162,0.796992481,0.278,0.408130081,0.566,0.974130081,0.288,2.7228371090876093,0.302114803,-0.4195375783601776,115.10670247934813,52.63349409662242,0.4280637353903359,165.61161318788007,"Munetaka Murakami","sa3063258",
"Tetsuto Yamada ","Swallows (NPB)",28,581,0.13080895,0.172117039,0.76,0.271805273,0.370051635,0.515212981,0.885264616,0.243407708,2.4080448915258135,0.273224043,-0.5510583134600893,93.8814258677303,34.862020875269096,0.39359437803803543,142.34429234340075,"Tetsuto Yamada","sa3063265",
"Yasutaka Shiomi ","Swallows (NPB)",28,534,0.08988764,0.292134831,0.307692307,0.278481012,0.357142857,0.44092827,0.798071127,0.162447258,7.582189314196388,0.388157894,2.1543893286725506,72.89019706601968,18.645167348335885,0.3597880170843695,119.5245037742725,"Yasutaka Shiomi","sa3063268",
"Shogo Sakakura ","Carp (NPB)",23,484,0.1053719,0.123966942,0.85,0.315165876,0.390041493,0.466824644,0.856866137,0.151658768,3.116743923333458,0.34084507,-0.5279074258869514,74.56861184354699,25.402704758605122,0.38346281790188097,141.63535870854773,"Shogo Sakakura","sa3063308",
"Ryosuke Kikuchi ","Carp (NPB)",31,542,0.077490774,0.158671586,0.488372093,0.277327935,0.333333333,0.429149797,0.76248313,0.151821862,2.710185129668124,0.306329113,-1.829074382665567,66.62022004593332,11.562530707010822,0.34148441216316366,113.29932027070659,"Ryosuke Kikuchi","sa3063313",
"Ryoma Nishikawa ","Carp (NPB)",26,551,0.067150635,0.127041742,0.528571428,0.285714285,0.334552102,0.398809523,0.733361625,0.113095238,2.5711540582067345,0.309859154,-0.7295610636938363,63.208499284643345,7.236567871827296,0.3304351568222046,105.8409111543697,"Ryoma Nishikawa","sa3063318",
"Yoshihiro Maru ","Giants (NPB)",32,457,0.137855579,0.262582056,0.525,0.265306122,0.365426695,0.494897959,0.860324654,0.229591837,2.537137621826954,0.322709163,-0.2849129174137488,70.8914183178326,24.46823745457138,0.38488592125915594,139.21273196981508,"Yoshihiro Maru","sa3063325",
"Shuhei Fukuda ","Buffaloes (NPB)",28,471,0.091295116,0.110403397,0.826923076,0.274509803,0.353579175,0.321078431,0.674657606,0.046568628,4.363900052673822,0.310924369,1.1964104244252667,48.071277779269444,0.22594257884048047,0.3133836234727806,103.65696473022992,"Shuhei Fukuda","sa3063365",
"Yuma Mune ","Buffaloes (NPB)",25,543,0.06077348,0.114180478,0.532258064,0.272349272,0.334593572,0.392931392,0.727524964,0.12058212,5.877935530918775,0.296116504,-0.07849088788498193,61.795184064606765,6.635912273029425,0.32920527706543606,115.41049711913107,"Yuma Mune","sa3063369",
"Takahiro Okada ","Buffaloes (NPB)",33,407,0.085995085,0.211302211,0.406976744,0.240896358,0.321867321,0.434173669,0.75604099,0.193277311,2.733461317537206,0.266409266,-0.8353038815548643,48.578927107948296,7.234868877428999,0.33669121774195443,120.97162546058935,"Takahiro Okada","sa3063378",
"Yutaro Sugimoto ","Buffaloes (NPB)",30,542,0.09409594,0.21402214,0.439655172,0.30125523,0.378228782,0.552301255,0.930530037,0.251046025,3.0005586545290908,0.336336336,-0.7246001592138782,94.47288029803055,39.415190959108045,0.41073278401420904,175.97535450885346,"Yutaro Sugimoto","sa3063379",
"Yudai Fujioka ","Marines (NPB)",27,493,0.081135902,0.192697768,0.421052631,0.254629629,0.32,0.337962962,0.657962962,0.083333333,4.725427995182258,0.319402985,0.7150870974874124,45.335530100125126,-4.744619058710284,0.2997684919808934,89.05398838565169,"Yudai Fujioka","sa3063422",
"Shogo Nakamura ","Marines (NPB)",29,615,0.123577235,0.146341463,0.844444444,0.282608695,0.381666666,0.415019762,0.796686428,0.132411067,4.245238044591048,0.322891566,-0.422844848013483,84.42554616971776,21.952337786992047,0.3608375019541567,134.4207120644001,"Shogo Nakamura","sa3063430",
