Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Domingo Santana ","Swallows (NPB)",30,136,467,516,140,90,32,0,18,52,66,44,1,114,2,3,0,17,2,0,0.299785867,"Domingo Santana","10348",
"Gregory Polanco ","Marines (NPB)",31,125,447,497,108,67,15,0,26,43,75,47,5,92,0,3,0,3,0,0,0.241610738,"Gregory Polanco","12907",
"José Osuna ","Swallows (NPB)",30,134,501,543,127,81,23,0,23,49,71,39,5,79,1,2,0,13,2,4,0.253493013,"Jose Osuna","12937",
"David MacKinnon ","Lions (NPB)",28,126,461,510,120,86,17,2,15,50,50,47,0,90,0,2,0,7,1,1,0.260303687,"David MacKinnon","19625",
"Sheldon Neuse ","Tigers (NPB)",28,133,475,516,114,91,13,1,9,42,56,36,0,85,2,3,0,13,0,0,0.24,"Sheldon Neuse","19635",
"Shogo Akiyama ","Carp (NPB)",35,115,434,483,119,89,20,6,4,48,38,35,3,81,4,1,9,12,8,3,0.274193548,"Shogo Akiyama","27461",
"Neftali Soto ","BayStars (NPB)",34,109,354,399,83,47,22,0,14,31,50,39,2,99,4,2,0,11,0,2,0.234463276,"Neftali Soto","5663",
"Tomoya Mori ","Buffaloes (NPB)",27,110,384,453,113,69,24,2,18,49,64,54,4,61,7,7,1,9,4,1,0.294270833,"Tomoya Mori","sa3063014",
"Hideto Asamura ","Golden Eagles (NPB)",32,143,522,601,143,97,20,0,26,64,78,75,4,108,3,1,0,9,2,1,0.27394636,"Hideto Asamura","sa3063022",
"Sosuke Genda ","Lions (NPB)",30,99,393,431,100,87,9,4,0,30,22,26,0,82,3,1,8,5,5,6,0.254452926,"Sosuke Genda","sa3063023",
"Shuta Tonosaki ","Lions (NPB)",30,135,499,567,130,87,28,3,12,59,54,56,0,112,5,4,3,11,26,3,0.260521042,"Shuta Tonosaki","sa3063038",
"Yohei Ohshima ","Dragons (NPB)",37,130,470,494,136,117,17,2,0,34,23,15,1,43,5,3,1,7,6,1,0.289361702,"Yohei Ohshima","sa3063061",
