Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Kotaro Kurebayashi ","Buffaloes (NPB)",22,136,465,523,115,88,25,0,2,32,38,37,0,74,5,8,8,12,0,4,0.247311827,"Kotaro Kurebayashi","sa3063750",
"Hiroto Kobukata ","Golden Eagles (NPB)",28,134,450,522,103,87,9,4,3,50,23,42,0,84,2,3,25,5,29,10,0.228888888,"Hiroto Kobukata","sa3063756",
"Toshiya Satoh ","Marines (NPB)",26,116,410,452,114,89,20,0,5,41,45,29,2,51,3,6,4,10,4,1,0.27804878,"Toshiya Satoh","sa3063762",
"Hideki Nagaoka ","Swallows (NPB)",22,143,566,611,163,131,25,1,6,63,58,29,2,70,3,3,10,6,4,1,0.287985865,"Hideki Nagaoka","sa3063789",
"Yuya Gunji ","Fighters (NPB)",26,127,441,495,113,87,14,0,12,52,49,40,1,71,4,4,6,6,2,2,0.256235827,"Yuya Gunji","sa3063793",
"Yuki Okabayashi ","Dragons (NPB)",22,123,425,460,109,96,10,3,0,34,12,29,2,62,0,0,6,2,10,7,0.256470588,"Yuki Okabayashi","sa3063795",
"Takumu Nakano ","Tigers (NPB)",28,143,547,634,127,104,20,2,1,63,32,46,0,97,5,1,35,10,6,7,0.232175502,"Takumu Nakano","sa3063808",
"Teruaki Sato ","Tigers (NPB)",25,120,451,496,121,80,21,4,16,58,70,36,2,133,5,4,0,11,0,2,0.268292682,"Teruaki Sato","sa3063811",
"Masaya Yano ","Carp (NPB)",25,137,430,495,112,91,13,6,2,45,38,38,1,109,3,4,20,8,13,10,0.260465116,"Masaya Yano","sa3063853",
"Shugo Maki ","BayStars (NPB)",26,133,517,561,152,96,33,0,23,76,74,37,5,59,5,2,0,13,11,0,0.294003868,"Shugo Maki","sa3063879",
"Shota Morishita ","Tigers (NPB)",23,129,458,526,126,84,24,2,16,64,73,53,1,78,12,3,0,13,0,2,0.27510917,"Shota Morishita","sa3063961",
"Hiroki Fukunaga ","Dragons (NPB)",27,111,363,402,111,81,22,2,6,40,32,27,1,82,6,2,4,4,9,3,0.305785123,"Hiroki Fukunaga","sa3063993",
"Kaito Muramatsu ","Dragons (NPB)",23,109,371,418,102,84,14,3,1,35,25,26,1,81,4,3,14,7,3,4,0.274932614,"Kaito Muramatsu","sa3063996",
"Makoto Kadowaki ","Giants (NPB)",23,129,350,405,85,75,9,1,0,29,21,37,7,63,2,0,16,3,9,3,0.242857142,"Makoto Kadowaki","sa3064002",
"Atsuki Tomosugi ","Marines (NPB)",23,125,355,393,73,63,10,0,0,33,15,17,0,52,0,2,19,5,11,2,0.205633802,"Atsuki Tomosugi","sa3064019",
