"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",386,0.9039812646370023,262,"80.981809819",0.9637305699481865,0.24427480916030533,0.16580310880829016,0.21755725190839695,0.14766839378238342,"8.504712883",7,-6.726460946003576,124,0.32124352331606215,131,0.3393782383419689
670242,"Wallner, Matt",386,0.910377358490566,257,"77.402933756",0.7668393782383418,0.2529182879377432,0.16839378238341968,0.17509727626459143,0.11658031088082901,"7.46482651",11,-2.843715487928333,129,0.33419689119170987,110,0.2849740932642487
660271,"Ohtani, Shohei",322,0.9019607843137255,218,"77.382653137",0.7391304347826085,0.29357798165137616,0.19875776397515527,0.22935779816513763,0.15527950310559005,"7.884165643",5,11.587780468998394,104,0.32298136645962733,89,0.27639751552795033
660670,"Acuña Jr., Ronald",481,0.900749063670412,404,"77.302990021",0.6985446985446984,0.35396039603960394,0.2972972972972973,0.25742574257425743,0.21621621621621623,"7.385042646",11,9.783191007711265,77,0.1600831600831601,222,0.46153846153846156
677594,"Rodríguez, Julio",515,0.908289241622575,384,"77.171916019",0.6951456310679611,0.3255208333333333,0.24271844660194175,0.22135416666666666,0.1650485436893204,"7.950040274",10,12.118274895186012,131,0.2543689320388349,199,0.3864077669902913
656941,"Schwarber, Kyle",429,0.897489539748954,317,"77.100348834",0.7435897435897436,0.2902208201892745,0.21445221445221446,0.20504731861198738,0.15151515151515152,"7.873779225",7,1.9499798500477283,112,0.26107226107226106,151,0.351981351981352
592518,"Machado, Manny",452,0.904,359,"76.729379314",0.665929203539823,0.29526462395543174,0.2345132743362832,0.19498607242339833,0.15486725663716813,"7.741457511",9,-7.618761954165244,93,0.20575221238938052,183,0.40486725663716816
670541,"Alvarez, Yordan",379,0.9176755447941889,301,"76.710228786",0.7044854881266494,0.31893687707641194,0.2532981530343008,0.23255813953488372,0.18469656992084432,"7.643810878",0,4.653706416544714,78,0.20580474934036938,165,0.43535620052770446
682829,"De La Cruz, Elly",481,0.9092627599243857,346,"76.650126299",0.6486486486486486,0.2514450867052023,0.18087318087318088,0.16473988439306358,0.11850311850311851,"7.492709958",7,-14.940185824542091,135,0.2806652806652807,148,0.3076923076923077
592450,"Judge, Aaron",349,0.9041450777202072,237,"76.401896103",0.6790830945558739,0.3881856540084388,0.2636103151862464,0.28270042194092826,0.19197707736389685,"8.084411124",2,0.5073368326474781,112,0.3209169054441261,118,0.33810888252148996
