"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Margot, Manuel",622534,"17","7","23","30.4","7","11","63.6","10","11","90.9","21","21","100.0","25","26","96.2"
"Bader, Harrison",664056,"14","5","21","23.8","5","5","100.0","9","11","81.8","19","20","95.0","31","31","100.0"
"Taylor, Michael A.",572191,"14","6","33","18.2","3","6","50.0","17","21","81.0","29","32","90.6","42","43","97.7"
"McCormick, Chas",676801,"12","3","14","21.4","5","5","100.0","7","7","100.0","16","16","100.0","15","15","100.0"
"Kiermaier, Kevin",595281,"12","6","15","40.0","3","5","60.0","5","7","71.4","23","23","100.0","25","26","96.2"
"Mullins, Cedric",656775,"11","3","38","7.9","4","6","66.7","12","14","85.7","26","29","89.7","27","28","96.4"
"Reynolds, Bryan",668804,"11","2","28","7.1","7","12","58.3","10","12","83.3","30","32","93.8","26","26","100.0"
"Phillips, Brett",621433,"10","4","14","28.6","4","5","80.0","6","10","60.0","13","13","100.0","17","17","100.0"
"Hernández, Enrique",571771,"10","8","14","57.1","4","5","80.0","5","5","100.0","12","17","70.6","22","23","95.7"
"García, Adolis",666969,"9","3","28","10.7","3","6","50.0","14","17","82.4","30","34","88.2","35","36","97.2"
"Straw, Myles",664702,"9","3","28","10.7","2","10","20.0","17","20","85.0","35","38","92.1","28","30","93.3"
"Zimmer, Bradley",605548,"9","2","10","20.0","3","3","100.0","8","8","100.0","6","6","100.0","18","18","100.0"
"Kepler, Max",596146,"8","3","19","15.8","2","4","50.0","9","9","100.0","16","18","88.9","16","16","100.0"
"Buxton, Byron",621439,"7","3","10","30.0","2","3","66.7","3","3","100.0","14","15","93.3","14","14","100.0"
"Heredia, Guillermo",628338,"6","2","15","13.3","3","4","75.0","7","9","77.8","15","17","88.2","14","14","100.0"
"Herrera, Odúbel",546318,"5","1","16","6.3","2","9","22.2","10","12","83.3","12","13","92.3","19","19","100.0"
"Robert Jr., Luis",673357,"5","1","14","7.1","1","1","100.0","9","11","81.8","12","12","100.0","13","13","100.0"
"Hampson, Garrett",641658,"5","1","17","5.9","1","2","50.0","8","11","72.7","16","16","100.0","22","23","95.7"
"O'Neill, Tyler",641933,"5","2","17","11.8","5","7","71.4","10","12","83.3","15","18","83.3","19","22","86.4"
"Grisham, Trent",663757,"5","4","23","17.4","4","8","50.0","12","14","85.7","20","27","74.1","26","27","96.3"
"Gallo, Joey",608336,"5","2","30","6.7","2","4","50.0","10","14","71.4","13","13","100.0","28","29","96.6"
"Brown, Seth",664913,"5","1","12","8.3","1","2","50.0","4","5","80.0","10","10","100.0","20","21","95.2"
"Cain, Lorenzo",456715,"5","4","10","40.0","1","1","100.0","5","6","83.3","7","11","63.6","12","12","100.0"
"Peralta, David",444482,"4","1","23","4.3","2","5","40.0","6","7","85.7","25","28","89.3","30","30","100.0"
"Heyward, Jason",518792,"4","3","17","17.6","2","6","33.3","7","12","58.3","14","15","93.3","9","9","100.0"
