"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Doyle, Brenton",686668,"14","4","19","21.1","5","7","71.4","15","17","88.2","23","25","92.0","29","31","93.5"
"Robert Jr., Luis",673357,"12","4","26","15.4","5","6","83.3","13","18","72.2","21","22","95.5","37","37","100.0"
"Rodríguez, Julio",677594,"11","4","23","17.4","2","5","40.0","14","18","77.8","28","29","96.6","28","28","100.0"
"Kiermaier, Kevin",595281,"11","2","11","18.2","3","5","60.0","10","10","100.0","20","21","95.2","26","27","96.3"
"Isbel, Kyle",664728,"10","4","16","25.0","7","11","63.6","9","9","100.0","13","14","92.9","16","17","94.1"
"Varsho, Daulton",662139,"10","1","15","6.7","3","4","75.0","12","15","80.0","28","28","100.0","34","34","100.0"
"Siri, Jose",642350,"9","4","20","20.0","3","3","100.0","6","8","75.0","17","19","89.5","22","22","100.0"
"Outman, James",681546,"9","3","23","13.0","4","4","100.0","6","10","60.0","38","40","95.0","23","24","95.8"
"Tatis Jr., Fernando",665487,"8","5","23","21.7","5","7","71.4","10","11","90.9","23","25","92.0","24","27","88.9"
"Call, Alex",669743,"8","4","28","14.3","3","3","100.0","9","14","64.3","23","27","85.2","22","22","100.0"
"Taylor, Michael A.",572191,"8","2","16","12.5","7","12","58.3","7","11","63.6","22","24","91.7","23","23","100.0"
"Rojas, Johan",679032,"8","1","4","25.0","3","4","75.0","8","8","100.0","14","15","93.3","15","16","93.8"
"Grisham, Trent",663757,"7","2","21","9.5","4","5","80.0","16","24","66.7","22","24","91.7","22","22","100.0"
"Meyers, Jake",676694,"7","1","5","20.0","3","5","60.0","8","8","100.0","18","19","94.7","14","16","87.5"
"Kwan, Steven",680757,"7","3","29","10.3","4","7","57.1","10","15","66.7","34","35","97.1","40","43","93.0"
"Marsh, Brandon",669016,"7","2","29","6.9","2","4","50.0","16","18","88.9","16","18","88.9","27","27","100.0"
"Taveras, Leody",665750,"7","3","29","10.3","1","6","16.7","17","22","77.3","24","26","92.3","24","24","100.0"
"Bader, Harrison",664056,"7","0","5","0.0","1","4","25.0","16","21","76.2","14","14","100.0","18","18","100.0"
"Wiemer, Joey",686894,"6","3","12","25.0","7","9","77.8","8","11","72.7","20","25","80.0","23","25","92.0"
"Harris II, Michael",671739,"6","0","29","0.0","5","8","62.5","12","12","100.0","18","19","94.7","30","31","96.8"
"Heyward, Jason",518792,"6","0","16","0.0","3","4","75.0","11","11","100.0","22","24","91.7","9","10","90.0"
