"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Laureano, Ramón",657656,"-7","0","22","0.0","0","3","0.0","3","7","42.9","10","13","76.9","14","15","93.3"
"Suwinski, Jack",669261,"-7","0","21","0.0","0","5","0.0","3","8","37.5","16","20","80.0","7","8","87.5"
"Carlson, Dylan",666185,"-7","0","10","0.0","0","3","0.0","3","8","37.5","14","20","70.0","10","11","90.9"
"De La Cruz, Bryan",650559,"-7","0","18","0.0","0","5","0.0","2","6","33.3","7","12","58.3","18","18","100.0"
"Marte, Starling",516782,"-8","0","10","0.0","1","5","20.0","4","10","40.0","6","12","50.0","21","22","95.5"
"Thomas, Lane",657041,"-8","1","31","3.2","1","6","16.7","4","11","36.4","15","17","88.2","18","23","78.3"
"Castellanos, Nick",592206,"-8","1","20","5.0","0","7","0.0","2","5","40.0","19","28","67.9","25","28","89.3"
"Winker, Jesse",608385,"-9","0","12","0.0","1","7","14.3","4","9","44.4","10","16","62.5","16","19","84.2"
"Hernández, Teoscar",606192,"-9","0","30","0.0","1","9","11.1","3","9","33.3","24","29","82.8","27","29","93.1"
"García, Adolis",666969,"-12","0","21","0.0","1","6","16.7","3","11","27.3","12","16","75.0","24","29","82.8"
"Reynolds, Bryan",668804,"-13","0","29","0.0","0","11","0.0","3","9","33.3","10","12","83.3","25","30","83.3"
