"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Young, Jacob",696285,"20","10","26","38.5","7","8","87.5","13","15","86.7","22","25","88.0","31","31","100.0"
"Siani, Michael",672279,"16","5","16","31.3","2","2","100.0","13","15","86.7","20","20","100.0","26","26","100.0"
"Siri, Jose",642350,"16","8","12","66.7","5","8","62.5","16","21","76.2","20","22","90.9","24","25","96.0"
"Meyers, Jake",676694,"14","3","16","18.8","2","3","66.7","9","11","81.8","25","25","100.0","30","30","100.0"
"Varsho, Daulton",662139,"14","5","28","17.9","3","5","60.0","10","14","71.4","30","31","96.8","32","32","100.0"
"Doyle, Brenton",686668,"14","0","24","0.0","4","8","50.0","21","25","84.0","38","40","95.0","31","31","100.0"
"Crow-Armstrong, Pete",691718,"13","6","17","35.3","5","6","83.3","16","20","80.0","19","20","95.0","23","24","95.8"
"Merrill, Jackson",701538,"12","5","24","20.8","4","6","66.7","11","12","91.7","20","22","90.9","35","36","97.2"
"Kiermaier, Kevin",595281,"11","2","12","16.7","5","6","83.3","10","11","90.9","24","25","96.0","18","19","94.7"
"Taylor, Michael A.",572191,"10","3","17","17.6","0","0",,"9","11","81.8","21","21","100.0","21","21","100.0"
"Perkins, Blake",663368,"10","0","6","0.0","4","11","36.4","10","11","90.9","24","24","100.0","26","27","96.3"
"Duran, Jarren",680776,"10","3","21","14.3","3","3","100.0","14","19","73.7","23","25","92.0","34","35","97.1"
"Carroll, Corbin",682998,"10","5","40","12.5","8","11","72.7","8","14","57.1","27","31","87.1","25","25","100.0"
"Cowser, Colton",681297,"10","2","19","10.5","5","7","71.4","9","12","75.0","17","19","89.5","30","30","100.0"
"Bader, Harrison",664056,"9","1","11","9.1","6","8","75.0","9","11","81.8","22","23","95.7","22","22","100.0"
"Isbel, Kyle",664728,"9","5","26","19.2","7","9","77.8","8","9","88.9","19","24","79.2","28","29","96.6"
"Rojas, Johan",679032,"8","6","21","28.6","5","7","71.4","12","13","92.3","10","14","71.4","14","15","93.3"
"Rodríguez, Julio",677594,"8","5","23","21.7","3","8","37.5","8","11","72.7","25","28","89.3","22","22","100.0"
"Harris II, Michael",671739,"7","4","15","26.7","3","5","60.0","4","5","80.0","27","29","93.1","17","19","89.5"
"Meadows, Parker",678009,"7","4","10","40.0","3","4","75.0","4","5","80.0","15","16","93.8","18","18","100.0"
"DeLuca, Jonny",676356,"7","1","11","9.1","2","3","66.7","4","4","100.0","18","20","90.0","19","19","100.0"
"Abreu, Wilyer",677800,"6","1","17","5.9","7","7","100.0","9","13","69.2","16","17","94.1","22","23","95.7"
"Frelick, Sal",686217,"6","2","18","11.1","1","3","33.3","15","19","78.9","21","24","87.5","27","28","96.4"
"Chourio, Jackson",694192,"5","4","26","15.4","2","4","50.0","10","14","71.4","26","30","86.7","25","28","89.3"
"Kwan, Steven",680757,"5","3","30","10.0","3","4","75.0","9","11","81.8","12","14","85.7","16","18","88.9"
"McCarthy, Jake",664983,"5","2","25","8.0","3","13","23.1","5","7","71.4","24","25","96.0","17","17","100.0"
"Rafaela, Ceddanne",678882,"5","4","12","33.3","4","5","80.0","5","7","71.4","6","8","75.0","15","16","93.8"
"McCormick, Chas",676801,"5","1","11","9.1","1","5","20.0","8","8","100.0","16","17","94.1","13","14","92.9"
"Ward, Taylor",621493,"4","2","24","8.3","2","5","40.0","11","17","64.7","16","17","94.1","32","34","94.1"
"Dubón, Mauricio",643289,"4","2","8","25.0","2","5","40.0","6","7","85.7","14","17","82.4","14","14","100.0"
"Pérez, Wenceel",672761,"4","0","17","0.0","3","3","100.0","4","5","80.0","17","18","94.4","20","20","100.0"
"Fairchild, Stuart",656413,"4","1","10","10.0","0","2","0.0","12","12","100.0","13","15","86.7","12","14","85.7"
"Taveras, Leody",665750,"4","1","25","4.0","4","7","57.1","7","11","63.6","25","26","96.2","27","28","96.4"
"Kepler, Max",596146,"4","0","13","0.0","2","5","40.0","7","9","77.8","8","8","100.0","22","22","100.0"
"Gurriel Jr., Lourdes",666971,"3","0","22","0.0","2","7","28.6","7","11","63.6","28","30","93.3","13","14","92.9"
"Mullins, Cedric",656775,"3","2","16","12.5","1","3","33.3","11","13","84.6","17","20","85.0","18","19","94.7"
"Buxton, Byron",621439,"3","0","19","0.0","5","6","83.3","6","8","75.0","10","12","83.3","12","12","100.0"
"Langford, Wyatt",694671,"3","1","25","4.0","3","6","50.0","11","11","100.0","9","10","90.0","21","23","91.3"
"Schneider, Davis",676914,"2","1","16","6.3","1","3","33.3","5","6","83.3","16","19","84.2","13","14","92.9"
"Taylor, Tyrone",621438,"2","2","14","14.3","0","1","0.0","7","12","58.3","25","26","96.2","17","19","89.5"
"Greene, Riley",682985,"2","2","16","12.5","4","5","80.0","5","10","50.0","14","17","82.4","24","25","96.0"
"Fletcher, Dominic",666150,"2","1","10","10.0","4","7","57.1","7","9","77.8","10","11","90.9","14","16","87.5"
"Sánchez, Jesús",660821,"2","0","19","0.0","3","6","50.0","5","7","71.4","17","18","94.4","25","26","96.2"
"Robles, Victor",645302,"1","2","10","20.0","0","1","0.0","1","1","100.0","12","13","92.3","11","13","84.6"
"Fraley, Jake",641584,"1","1","18","5.6","1","2","50.0","4","7","57.1","16","18","88.9","16","16","100.0"
"Pages, Andy",681624,"1","0","22","0.0","0","2","0.0","7","8","87.5","19","23","82.6","22","23","95.7"
"Duvall, Adam",594807,"1","0","9","0.0","0","4","0.0","5","6","83.3","16","17","94.1","14","16","87.5"
"Robert Jr., Luis",673357,"1","1","15","6.7","2","4","50.0","7","11","63.6","12","17","70.6","21","21","100.0"
"Nootbaar, Lars",663457,"1","0","17","0.0","0","3","0.0","5","7","71.4","16","20","80.0","19","19","100.0"
"Vierling, Matt",663837,"1","0","8","0.0","0","2","0.0","4","8","50.0","15","16","93.8","19","19","100.0"
"Verdugo, Alex",657077,"1","1","33","3.0","3","6","50.0","9","14","64.3","27","29","93.1","31","33","93.9"
"Nimmo, Brandon",607043,"1","0","28","0.0","1","5","20.0","8","12","66.7","16","19","84.2","23","24","95.8"
"Moniak, Mickey",666160,"1","0","18","0.0","2","4","50.0","5","6","83.3","14","18","77.8","27","28","96.4"
"Pillar, Kevin",607680,"0","0","13","0.0","1","3","33.3","4","5","80.0","3","5","60.0","16","17","94.1"
"Adell, Jo",666176,"0","3","14","21.4","0","1","0.0","8","13","61.5","17","22","77.3","21","22","95.5"
"Loperfido, Joey",694388,"0","1","9","11.1","0","2","0.0","1","3","33.3","8","9","88.9","21","21","100.0"
"Donovan, Brendan",680977,"0","0","13","0.0","0","4","0.0","6","10","60.0","16","17","94.1","21","22","95.5"
"Yastrzemski, Mike",573262,"0","0","21","0.0","3","9","33.3","5","8","62.5","18","21","85.7","20","21","95.2"
"Chisholm Jr., Jazz",665862,"0","3","16","18.8","0","5","0.0","9","11","81.8","16","20","80.0","16","17","94.1"
"Marsh, Brandon",669016,"-1","0","24","0.0","1","6","16.7","9","16","56.3","17","18","94.4","24","25","96.0"
"Happ, Ian",664023,"-1","3","24","12.5","3","6","50.0","6","11","54.5","24","30","80.0","28","30","93.3"
"Springer, George",543807,"-1","1","16","6.3","3","5","60.0","4","10","40.0","15","20","75.0","29","30","96.7"
"Tatis Jr., Fernando",665487,"-1","0","17","0.0","3","4","75.0","5","7","71.4","8","12","66.7","10","11","90.9"
"Butler, Lawrence",671732,"-1","1","18","5.6","1","7","14.3","8","13","61.5","14","19","73.7","29","30","96.7"
"Bellinger, Cody",641355,"-1","0","15","0.0","3","7","42.9","1","6","16.7","11","11","100.0","23","25","92.0"
"Lowe, Josh",666139,"-2","2","16","12.5","1","3","33.3","0","4","0.0","11","13","84.6","15","16","93.8"
"Cave, Jake",595909,"-2","0","24","0.0","1","4","25.0","6","10","60.0","10","12","83.3","16","17","94.1"
"Santander, Anthony",623993,"-2","1","26","3.8","0","6","0.0","4","6","66.7","25","29","86.2","37","38","97.4"
"Pham, Tommy",502054,"-2","0","15","0.0","2","5","40.0","5","8","62.5","12","18","66.7","22","23","95.7"
"Benson, Will",666181,"-2","1","25","4.0","2","6","33.3","7","13","53.8","9","12","75.0","17","17","100.0"
"Steer, Spencer",668715,"-2","0","17","0.0","0","3","0.0","6","7","85.7","10","13","76.9","10","10","100.0"
"Freeman, Tyler",671289,"-3","0","16","0.0","0","4","0.0","0","3","0.0","7","8","87.5","21","22","95.5"
"Bleday, JJ",668709,"-3","0","31","0.0","1","7","14.3","7","12","58.3","24","27","88.9","31","32","96.9"
"Conforto, Michael",624424,"-3","0","16","0.0","0","4","0.0","4","4","100.0","9","13","69.2","18","21","85.7"
"Brennan, Will",686823,"-3","0","19","0.0","1","3","33.3","6","9","66.7","11","14","78.6","11","12","91.7"
"Raley, Luke",670042,"-3","0","9","0.0","0","3","0.0","3","7","42.9","9","12","75.0","14","15","93.3"
"Suzuki, Seiya",673548,"-3","0","10","0.0","2","5","40.0","4","9","44.4","14","15","93.3","9","9","100.0"
"O'Neill, Tyler",641933,"-4","0","17","0.0","0","1","0.0","3","8","37.5","14","16","87.5","14","14","100.0"
"Margot, Manuel",622534,"-4","0","11","0.0","1","4","25.0","4","7","57.1","9","13","69.2","14","14","100.0"
"Kelenic, Jarred",672284,"-4","1","13","7.7","2","3","66.7","6","7","85.7","12","19","63.2","23","27","85.2"
"Soto, Juan",665742,"-4","0","34","0.0","1","9","11.1","8","13","61.5","13","16","81.3","30","31","96.8"
"Arozarena, Randy",668227,"-5","0","33","0.0","1","10","10.0","7","15","46.7","17","20","85.0","21","22","95.5"
"Friedl, TJ",670770,"-5","0","14","0.0","2","7","28.6","5","11","45.5","10","16","62.5","26","26","100.0"
"Haniger, Mitch",571745,"-5","3","23","13.0","0","4","0.0","4","7","57.1","13","20","65.0","10","11","90.9"
"Benintendi, Andrew",643217,"-5","1","26","3.8","1","7","14.3","0","8","0.0","12","16","75.0","27","27","100.0"
"Profar, Jurickson",595777,"-5","0","21","0.0","3","9","33.3","6","12","50.0","16","24","66.7","29","30","96.7"
"Brown, Seth",664913,"-5","0","13","0.0","0","4","0.0","2","6","33.3","11","12","91.7","11","13","84.6"
"Ramos, Heliot",671218,"-5","2","20","10.0","2","7","28.6","6","11","54.5","10","17","58.8","18","18","100.0"
"Renfroe, Hunter",592669,"-5","0","28","0.0","0","5","0.0","6","14","42.9","14","15","93.3","12","13","92.3"
"Judge, Aaron",592450,"-6","0","26","0.0","0","3","0.0","5","9","55.6","17","21","81.0","27","31","87.1"
"Melendez, MJ",669004,"-6","1","15","6.7","1","5","20.0","6","9","66.7","11","16","68.8","17","20","85.0"
