"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Inciarte, Ender",542255,"19","5","23","21.7","5","6","83.3","20","23","87.0","28","29","96.6","28","28","100.0"
"Cain, Lorenzo",456715,"19","7","27","25.9","6","8","75.0","16","18","88.9","27","27","100.0","24","25","96.0"
"Bader, Harrison",664056,"18","6","22","27.3","5","5","100.0","17","18","94.4","29","30","96.7","17","17","100.0"
"Engel, Adam",641553,"16","4","32","12.5","4","7","57.1","14","15","93.3","27","27","100.0","33","33","100.0"
"Hamilton, Billy",571740,"16","7","38","18.4","7","9","77.8","9","11","81.8","35","39","89.7","39","39","100.0"
"Bradley Jr., Jackie",598265,"13","5","34","14.7","7","10","70.0","11","14","78.6","22","24","91.7","27","28","96.4"
"Almora Jr., Albert",546991,"12","1","14","7.1","4","6","66.7","14","16","87.5","26","28","92.9","32","32","100.0"
"DeShields, Delino",592261,"11","6","29","20.7","3","5","60.0","14","16","87.5","34","38","89.5","22","23","95.7"
"Margot, Manuel",622534,"11","4","22","18.2","6","10","60.0","15","18","83.3","17","19","89.5","25","25","100.0"
"Betts, Mookie",605141,"11","4","24","16.7","2","8","25.0","11","12","91.7","23","24","95.8","30","31","96.8"
"Jankowski, Travis",608671,"10","7","15","46.7","2","4","50.0","7","9","77.8","9","10","90.0","19","19","100.0"
"Kepler, Max",596146,"9","4","22","18.2","5","11","45.5","15","18","83.3","20","21","95.2","32","35","91.4"
"Marte, Starling",516782,"8","3","27","11.1","3","8","37.5","13","15","86.7","26","27","96.3","33","34","97.1"
"Dickerson, Corey",572816,"8","1","18","5.6","1","5","20.0","14","15","93.3","23","23","100.0","18","20","90.0"
"Reddick, Josh",502210,"8","5","31","16.1","3","3","100.0","9","11","81.8","18","20","90.0","19","22","86.4"
"Taylor, Michael A.",572191,"8","2","20","10.0","4","5","80.0","8","11","72.7","22","24","91.7","22","22","100.0"
"Duvall, Adam",594807,"8","4","17","23.5","1","4","25.0","9","11","81.8","14","16","87.5","16","16","100.0"
