"player_id","player_name","team_name","start_year","end_year","key_target_base","runs_prevented_on_running_attr","n_pitcher_cs_aa","n_init","rate_sbx","n_sb","n_cs","n_pk","n_bk","n_fb","n_plus","n_minus","net_attr_plus","net_attr_minus","r_primary_lead","r_secondary_lead","r_sec_minus_prim_lead","r_primary_lead_sbx","r_secondary_lead_sbx","r_sec_minus_prim_lead_sbx"
445276,"Jansen, Kenley","LAD",2019,2019,"All",-1.217835752250792,-0.813609214054708,388,0.02577319587628866,10,0,0,2,0,12,0,-7.690354027420252,0.7116334516294618,"11.953311377","17.778212575","5.824901198","12.7269","28.1509","15.424"
571437,"Altherr, Aaron","NYM",2019,2019,"All",-0.0004180109420548652,,6,0,0,0,0,0,0,0,0,0.005942445289725698,-0.00357000000000001,"17.086333333","19.495166667","2.408833333",,,
453172,"Hughes, Jared","PHI",2019,2019,"All",-0.011537152776090645,0.21642409125803108,343,0.008746355685131196,1,2,0,0,0,1,2,0.4836990560256732,-0.24061547551383122,"11.838161905","16.570419048","4.732257143","14.161333333","25.125333333","10.964"
595191,"Eickhoff, Jerad","PHI",2019,2019,"All",0.03282579251885309,-0.694590004597293,294,0.013605442176870748,2,2,1,0,0,2,3,-1.5266152169629412,0.7514418575809823,"11.562110294","17.004202206","5.442091912","11.5665","25.904","14.3375"
592612,"Osich, Josh","CWS",2019,2019,"All",-0.12986335655545292,-0.15162252520990538,334,0.005988023952095809,2,0,0,0,0,2,0,1.0478477014347989,-0.7542953263164732,"11.591197531","14.291688272","2.700490741","13.372","29.1445","15.7725"
592454,"Kahnle, Tommy","NYY",2019,2019,"All",-0.041185959267517225,-0.16868584129950004,333,0.006006006006006006,2,0,0,0,0,2,0,0.8016924671667512,-0.44783211711303933,"12.113775701","16.858875389","4.745099688","10.885","24.4165","13.5315"
622259,"Wingenter, Trey","SD",2019,2019,"All",-0.630185542982963,-0.7442816290903009,268,0.018656716417910446,4,1,0,0,0,4,1,-2.4627693298690856,-0.30584817113143775,"12.036871212","17.095992424","5.059121212","11.9184","25.2586","13.3402"
579328,"Kikuchi, Yusei","SEA",2019,2019,"All",0.06119270816608119,0.6214017622300174,982,0.007128309572301426,6,1,0,1,0,7,1,1.7683388810289493,-0.6499445956437969,"11.548989842","14.320837472","2.77184763","11.160714286","20.532285714","9.371571429"
519008,"McFarland, T.J.","AZ",2019,2019,"All",-0.16873958672759576,-0.22072693874242527,424,0.009433962264150943,2,2,0,0,0,2,2,-0.23739644638832824,-0.26946732766651277,"11.958559459","14.351075676","2.392516216","11.8015","23.28975","11.48825"
621289,"Schultz, Jaime","LAD",2019,2019,"All",0.015387146373801815,,34,0,0,0,0,0,0,0,0,0.3258757318690093,-0.11064000000000003,"12.721588235","15.837970588","3.116382353",,,
621261,"Oswalt, Corey","NYM",2019,2019,"All",0.009406558258332766,,42,0,0,0,0,0,0,0,0,0.3225452912916637,-0.12245000000000004,"11.56025641","15.087512821","3.52725641",,,
608717,"Stratton, Chris","PIT",2019,2019,"All",0.30221456051214174,0.3345008877838611,506,0.007905138339920948,2,2,0,0,0,2,2,1.5030316120752905,0.0035738624379629824,"11.620559036","15.644872289","4.024313253","11.65675","22.2825","10.62575"
641438,"Carle, Shane","ATL",2019,2019,"All",0.007941821215387583,,89,0,0,0,0,0,0,0,0,0.4889891060769379,-0.19968000000000014,"12.1183375","16.498975","4.3806375",,,
527054,"Teheran, Julio","ATL",2019,2019,"All",0.21742454716816623,0.03242481771928396,1078,0.014842300556586271,13,3,1,0,0,13,4,-4.68213064265121,2.564112612663135,"11.536932099","16.022040123","4.485108025","12.618133333","25.233","12.614866667"
451584,"Davis, Wade","COL",2019,2019,"All",-0.7910479042916501,-0.7489889308613314,319,0.03761755485893417,12,0,0,0,0,12,0,-7.246959729433375,1.4629867591000438,"11.549064407","16.697376271","5.148311864","12.238583333","25.512833333","13.27425"
663776,"Sandoval, Patrick","LAA",2019,2019,"All",-0.1273580785692009,0.21996369340042182,251,0.00796812749003984,1,1,0,1,0,2,1,-0.8249685373674033,0.08363473089839929,"10.895296748","13.560638211","2.665341463","13.4785","25.793","12.3145"
502239,"Cahill, Trevor","LAA",2019,2019,"All",-0.8460588928173032,-0.8176463717884507,599,0.02003338898163606,11,1,0,0,0,11,1,-6.321835714645664,0.9295738891373994,"11.908570896","16.977466418","5.068895522","13.053909091","24.877818182","11.823909091"
