Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Hoby Milner","TBR","AAA",28,61.2,0.3030303,1.224489795,0.204379562,0.437956204,0.357664233,0.183673469,0.142857142,0.38848921,0.20863309,0.4028777,0.12182741,340,645,985,"13346"
"R.J. Alvarez","MIA","AAA",28,53.2,0.27642276,1.018518518,0.186567164,0.410447761,0.402985074,0.222222222,0.222222222,0.47058824,0.24264706,0.28676471,0.15720524,347,569,916,"13401"
"Matt Koch","ARI","AAA",28,100,0.34545455,1.152542372,0.255131964,0.398826979,0.346041055,0.20338983,0.177966101,0.35612536,0.25925926,0.38461538,0.08605852,625,1118,1743,"13420"
"Drew VerHagen","DET","AAA",28,53,0.35,1.137931034,0.234567901,0.407407407,0.358024691,0.120689655,0.086206896,0.45454545,0.22424242,0.32121212,0.10070258,278,576,854,"13424"
"Lucas Sims","CIN","AAA",25,79,0.32085561,0.649484536,0.170984455,0.32642487,0.502590673,0.24742268,0.092783505,0.3877551,0.2755102,0.33673469,0.14355742,534,894,1428,"13470"
"Steven Okert","SFG","AAA",27,57.2,0.34013605,0.571428571,0.294871794,0.256410256,0.448717948,0.2,0.2,0.40243902,0.27439024,0.32317073,0.14370079,333,683,1016,"13580"
"Shawn Morimando","TOR","AAA",26,70.1,0.34031414,0.987341772,0.222772277,0.386138613,0.391089108,0.11392405,0.164556962,0.37378641,0.26699029,0.3592233,0.11129568,433,771,1204,"13606"
"Josh D. Smith","CLE","AAA",29,52.2,0.22727273,0.857142857,0.1875,0.375,0.4375,0.265306122,0.142857142,0.41025641,0.1965812,0.39316239,0.12392241,344,584,928,"13629"
"Tayler Scott","BAL","AAA",27,51,0.33333333,2.1875,0.15,0.583333333,0.266666666,0.25,0.125,0.36363636,0.28099174,0.3553719,0.16206483,318,515,833,"13652"
"Corey Oswalt","NYM","AAA",25,86.2,0.30364372,1.170212765,0.184,0.44,0.376,0.191489361,0.09574468,0.44140625,0.29296875,0.265625,0.09756098,481,913,1394,"13677"
"Ryan Merritt","TBR","AAA",27,78,0.36641221,1.132653061,0.242753623,0.402173913,0.355072463,0.163265306,0.193877551,0.46453901,0.25177305,0.28368794,0.09723261,455,882,1337,"13688"
"Sal Romano","CIN","AAA",25,69.1,0.34920635,1.533333333,0.22051282,0.471794871,0.307692307,0.133333333,0.1,0.44102564,0.23589744,0.32307692,0.12037037,456,732,1188,"13690"
"Jake Faria","TBR","AAA",25,67.1,0.33333333,0.95522388,0.229411764,0.376470588,0.394117647,0.343283582,0.134328358,0.39766082,0.21637427,0.38596491,0.13808267,402,735,1137,"13699"
"Joey Krehbiel","ARI","AAA",26,64.1,0.31318681,0.986301369,0.256410256,0.369230769,0.374358974,0.178082191,0.219178082,0.42929293,0.27272727,0.2979798,0.1006192,538,754,1292,"13707"
"Walker Lockett","NYM","AAA",25,59,0.34313725,2.035714285,0.178743961,0.550724637,0.2705314,0.178571428,0.089285714,0.4784689,0.25837321,0.26315789,0.09845133,279,625,904,"13804"
"Alec Mills","CHC","AAA",27,104,0.32781457,1.042016806,0.221153846,0.397435897,0.381410256,0.134453781,0.142857142,0.48275862,0.26332288,0.2539185,0.11049383,553,1067,1620,"13834"
"Paul Sewald","NYM","AAA",29,51,0.35714286,0.859375,0.16197183,0.387323943,0.450704225,0.34375,0.09375,0.5,0.19178082,0.30821918,0.10666667,286,539,825,"13892"
"Chris Flexen","NYM","AAA",24,78.2,0.37899543,1.351351351,0.223214285,0.446428571,0.330357142,0.135135135,0.148648648,0.41304348,0.24347826,0.34347826,0.11382114,460,893,1353,"13896"
"Dietrich Enns","SDP","AAA",28,137,0.33333333,1.173076923,0.254945054,0.402197802,0.342857142,0.166666666,0.237179487,0.40764331,0.27176221,0.32059448,0.0964657,879,1526,2405,"13932"
"Tim Peterson","NYM","AAA",28,55,0.24822695,0.685714285,0.197278911,0.326530612,0.476190476,0.285714285,0.1,0.4527027,0.25675676,0.29054054,0.11408615,265,594,859,"13946"
"Ryan Garton","SEA","AAA",29,65.1,0.29813665,1.344262295,0.143712574,0.491017964,0.365269461,0.147540983,0.147540983,0.35294118,0.32941176,0.31764706,0.12168874,453,755,1208,"14016"
"Chris Mazza","NYM","AAA",29,76,0.27830189,2.411764705,0.179245283,0.580188679,0.240566037,0.176470588,0.117647058,0.52293578,0.21559633,0.26146789,0.104,406,719,1125,"14151"
"Kyle Zimmer","KCR","AAA",27,54,0.27586207,0.970149253,0.102040816,0.44217687,0.455782312,0.164179104,0.089552238,0.33112583,0.24503311,0.42384106,0.124,412,588,1000,"14169"
"Williams Jerez","SFG","AAA",27,56,0.26845638,1.105263157,0.194630872,0.422818791,0.382550335,0.157894736,0.105263157,0.39102564,0.33333333,0.27564103,0.126193,342,601,943,"14338"
"Ty Blach","SFG","AAA",28,96.1,0.36826347,1.656565656,0.22418879,0.483775811,0.292035398,0.252525252,0.151515151,0.44126074,0.22636103,0.33237822,0.08559113,579,1045,1624,"14361"
"Jackson Stephens","CIN","AAA",25,84,0.35080645,1.64,0.198380566,0.497975708,0.303643724,0.32,0.08,0.41732283,0.20472441,0.37795276,0.08933333,574,926,1500,"14420"
"Daniel Camarena","NYY","AAA",26,103.1,0.33986928,0.9140625,0.246153846,0.36,0.393846153,0.2109375,0.171875,0.4695122,0.23780488,0.29268293,0.10098522,513,1111,1624,"14467"
"Dakota Bacus","WSN","AAA",28,55.1,0.29559748,1.23076923,0.256410256,0.41025641,0.333333333,0.211538461,0.057692307,0.42857143,0.2484472,0.32298137,0.1347207,351,562,913,"14545"
"Chi Chi Gonzalez","COL","AAA",27,87,0.34220532,1.891891891,0.213235294,0.514705882,0.272058823,0.054054054,0.202702702,0.433213,0.29602888,0.27075812,0.09757739,559,927,1486,"14663"
"Duane Underwood Jr.","CHC","AAA",24,81.2,0.34234234,1.492753623,0.225225225,0.463963963,0.31081081,0.188405797,0.115942028,0.3539823,0.24778761,0.39823009,0.12416107,568,922,1490,"14677"
"Andres Machado","KCR","AAA",26,74.2,0.23786408,1.14117647,0.141509433,0.457547169,0.400943396,0.176470588,0.14117647,0.51376147,0.21100917,0.27522936,0.10347682,455,753,1208,"14681"
"Paul Blackburn","OAK","AAA",25,132.2,0.29336735,1.830508474,0.173267326,0.534653465,0.292079207,0.161016949,0.152542372,0.44634146,0.24146341,0.31219512,0.09731051,768,1277,2045,"14739"
"Wes Parsons","ATL","AAA",26,56.2,0.35625,2.666666666,0.219354838,0.567741935,0.212903225,0.181818181,0.03030303,0.45,0.225,0.325,0.10348361,351,625,976,"14764"
"Ryan Eades","MIN","AAA",27,52.1,0.38571429,1.036363636,0.232876712,0.390410958,0.376712328,0.218181818,0.127272727,0.38095238,0.32653061,0.29251701,0.12688172,313,617,930,"14808"
"Dylan Covey","CHW","AAA",27,51,0.34193548,1.888888888,0.161290322,0.548387096,0.29032258,0.2,0.133333333,0.44099379,0.19875776,0.36024845,0.11152882,266,532,798,"14825"
"Taylor Williams","MIL","AAA",27,54,0.23703704,1.720930232,0.145985401,0.540145985,0.313868613,0.116279069,0.186046511,0.46478873,0.23239437,0.3028169,0.15576694,303,538,841,"14899"
"Ben Lively","KCR","AAA",27,72.1,0.31818182,1.038961038,0.252380952,0.38095238,0.366666666,0.116883116,0.181818181,0.37264151,0.25471698,0.37264151,0.1171875,441,839,1280,"14932"
"Rookie Davis","PIT","AAA",26,52.2,0.325,0.779411764,0.284023668,0.313609467,0.402366863,0.176470588,0.132352941,0.47337278,0.23076923,0.29585799,0.10116279,319,541,860,"14962"
"Luis Santos","TBR","AAA",28,64.1,0.32335329,0.784810126,0.198863636,0.352272727,0.448863636,0.240506329,0.126582278,0.43181818,0.27272727,0.29545455,0.11933798,439,709,1148,"15006"
"Austin Voth","WSN","AAA",27,61.1,0.34463277,1.075757575,0.230337078,0.398876404,0.370786516,0.181818181,0.106060606,0.44021739,0.31521739,0.24456522,0.11101399,410,734,1144,"15047"
"Kyle McGowin","WSN","AAA",27,60.2,0.32075472,1.339285714,0.196319018,0.460122699,0.343558282,0.196428571,0.142857142,0.4491018,0.24550898,0.30538922,0.1508845,339,622,961,"15071"
"Rob Zastryzny","LAD","AAA",27,94.1,0.37328767,1.216494845,0.278523489,0.395973154,0.325503355,0.154639175,0.175257731,0.48387097,0.21935484,0.29677419,0.11255693,561,976,1537,"15094"
"Braden Shipley","ARI","AAA",27,95.1,0.33212996,1.59090909,0.221843003,0.477815699,0.300341296,0.147727272,0.21590909,0.47297297,0.25337838,0.27364865,0.11724985,655,974,1629,"15158"
"Aaron Slegers","TBR","AAA",26,112.1,0.30769231,1.235772357,0.248633879,0.415300546,0.336065573,0.203252032,0.178861788,0.51612903,0.20698925,0.27688172,0.08798646,630,1143,1773,"15231"
"Cole Sulser","TBR","AAA",29,66,0.30718954,0.830508474,0.303225806,0.316129032,0.380645161,0.27118644,0.06779661,0.41772152,0.23417722,0.34810127,0.15210084,403,787,1190,"15256"
"Zac Reininger","DET","AAA",26,57.1,0.3372093,1.225806451,0.21590909,0.431818181,0.352272727,0.225806451,0.112903225,0.45505618,0.28089888,0.26404494,0.09664694,377,637,1014,"15285"
"Jose De Leon","TBR","AAA",26,51.1,0.33035714,0.729166666,0.284482758,0.301724137,0.413793103,0.208333333,0.083333333,0.38793103,0.24137931,0.37068966,0.14331897,351,577,928,"15463"
"Kohl Stewart","MIN","AAA",24,91,0.29739777,1.844155844,0.191881918,0.523985239,0.284132841,0.142857142,0.129870129,0.42446043,0.22302158,0.35251799,0.09458619,651,956,1607,"15502"
"Eric Yardley","SDP","AAA",28,63.2,0.30319149,3.529411764,0.180851063,0.638297872,0.180851063,0.264705882,0.088235294,0.45026178,0.17801047,0.37172775,0.09090909,342,582,924,"15538"
