Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Keyvius Sampson","CIN","AAA",25,3,3,1.877005500753107,18,9,0,0,0,1,,62.1,242,38,14,13,3,21,0,1,2,0,62,"10039"
"Ryan Weber","ATL","AAA",25,2,3,2.7580645161290325,26,5,0,0,1,0,,62,268,65,21,19,1,14,2,4,4,0,41,"10160"
"Edgar Olmos","BAL","AAA",26,4,4,2.883495572802434,42,0,0,0,0,2,,68.2,284,63,26,22,4,28,1,2,5,1,76,"10174"
"Jacob Turner","CHW","AAA",25,4,7,4.710280373831775,18,18,1,1,0,0,,107,463,125,60,56,10,29,0,3,10,0,85,"10185"
"Shelby Miller","ARI","AAA",25,5,1,3.907894344541214,8,8,1,1,0,0,,50.2,209,55,24,22,4,10,0,1,1,0,55,"10197"
"Aaron Northcraft","SDP","AAA",26,5,1,5.04,21,6,0,0,1,0,,50,227,61,33,28,5,21,0,3,1,0,46,"10218"
"Andy Oliver","BAL","AAA",28,3,2,3.42692347915925,28,14,0,0,0,0,,86.2,371,85,35,33,6,36,1,2,7,1,84,"10257"
"Justin Marks","TBR","AAA",28,7,11,3.857142857142857,25,23,1,1,0,0,,140,585,125,70,60,14,53,1,4,5,0,127,"10265"
"Josh Smoker","NYM","AAA",27,3,2,4.105263157894737,52,0,0,0,3,2,,57,253,66,32,26,5,18,1,0,7,0,81,"10285"
"Chad Bell","TEX","AAA",27,11,4,3.2949154246658288,33,12,0,0,0,1,,98.1,413,91,38,36,4,43,5,1,4,0,88,"10297"
"Chris Heston","SFG","AAA",28,2,9,4.536885529620407,15,14,0,0,1,0,,81.1,354,82,42,41,8,32,1,4,4,0,53,"10302"
"Jarred Cosart","MIA","AAA",26,3,4,4.0855259056567235,10,10,0,0,0,0,,50.2,224,55,30,23,8,25,0,0,1,0,30,"10304"
"Roman Mendez","BOS","AAA",25,4,2,3.375,32,0,0,0,2,0,,64,266,49,26,24,6,27,1,4,5,0,59,"10307"
"Edwin Escobar","BOS","AAA",24,6,3,3.9489795918367347,19,17,0,0,0,0,,98,426,105,49,43,8,37,0,4,5,1,65,"10337"
"Juan Minaya","HOU","AAA",25,5,6,3.6346153846153846,34,0,0,0,1,4,,52,223,48,26,21,3,20,3,2,0,0,47,"10341"
"Brooks Pounders","KCR","AAA",25,5,3,3.136929659193975,31,7,0,0,0,1,,80.1,342,67,29,28,5,37,3,5,4,1,90,"10387"
"Drew Hayes","CIN","AAA",28,4,5,4.11864406779661,38,2,0,0,1,2,,59,261,61,37,27,3,27,2,2,2,0,41,"10528"
"Donn Roach","DET","AAA",26,9,7,3.8571427680760775,27,22,0,0,1,1,,137.2,570,145,68,59,8,24,1,5,8,0,83,"10620"
"Scott Copeland","TOR","AAA",28,3,4,3.0397354065078237,9,9,0,0,0,0,,50.1,208,45,19,17,3,17,0,1,2,0,33,"10706"
"Drew Hutchison","TOR","AAA",25,7,6,3.5869565217391304,25,24,0,0,0,0,,138,577,115,63,55,16,50,0,8,3,1,138,"10732"
"Tyler Cravy","MIL","AAA",26,3,3,5.911243137268711,21,9,0,0,0,0,,56.1,250,56,40,37,5,28,0,1,4,1,65,"10770"
"Jake Dunning","SFG","AAA",27,3,4,4.853933000365954,49,0,0,0,2,3,,59.1,266,61,37,32,4,29,0,5,4,0,43,"10803"
"Asher Wojciechowski","HOU","AAA",27,4,5,5.27999986572266,18,15,0,0,0,0,,75,353,90,52,44,11,37,0,6,2,1,54,"10836"
"Christian Bergman","COL","AAA",28,3,3,3.6580641560152944,10,10,0,0,0,0,,51.2,215,52,24,21,8,12,0,2,1,0,33,"10925"
"Jake Buchanan","CHC","AAA",26,12,8,4.340425531914893,24,22,0,0,0,0,,141,608,154,76,68,6,38,1,9,5,0,105,"10962"
"Tim Adleman","CIN","AAA",28,3,1,2.3823527273422487,10,10,0,0,0,0,,56.2,227,52,18,15,4,10,0,2,2,0,38,"10968"
"Ben Rowen","MIL","AAA",27,0,4,2.3275862834399743,45,0,0,0,1,1,,58,236,57,15,15,1,14,3,0,1,0,45,"10983"
"Casey Lawrence","TOR","AAA",28,5,6,3.8275862068965516,15,15,1,0,0,0,,87,370,87,47,37,5,24,0,3,2,0,58,"11121"
"Mike Bolsinger","LAD","AAA",28,3,5,4.638037081176494,19,8,0,0,0,1,,54.1,238,61,31,28,6,21,0,1,4,0,61,"11137"
"Eric Jokisch","MIA","AAA",26,3,2,4.271186440677966,26,5,0,0,1,1,,59,263,70,33,28,5,24,0,2,1,0,37,"11157"
"David Buchanan","PHI","AAA",27,10,9,3.9800794393179575,27,26,1,0,0,0,,167.1,686,163,81,74,15,40,0,2,1,1,95,"11176"
"Kevin Chapman","HOU","AAA",28,3,4,4.868852459016393,51,0,0,0,0,2,,61,288,68,36,33,5,27,1,7,3,0,76,"11240"
"Logan Darnell","MIN","AAA",27,8,8,3.5288757072727663,18,18,2,2,0,0,,109.2,451,105,47,43,7,36,0,0,4,0,53,"11261"
"Lisalverto Bonilla","LAD","AAA",26,4,5,4.2760186900168975,24,6,1,0,2,2,,73.2,319,76,39,35,4,27,1,1,3,2,79,"11266"
"Zach Neal","OAK","AAA",27,7,2,3.210810545983347,11,11,0,0,0,0,,61.2,254,62,27,22,5,8,0,1,1,0,32,"11294"
"Pat Dean","MIN","AAA",27,5,7,5.5648858202802245,16,16,1,0,0,0,,87.1,390,113,58,54,10,19,0,2,2,0,49,"11350"
"Jerome Williams","STL","AAA",34,5,3,4.894736842105263,9,9,2,1,0,0,,57,243,64,31,31,11,15,1,2,4,1,34,"1137"
"Tyrell Jenkins","ATL","AAA",23,9,3,2.4741038864687597,17,12,0,0,0,0,,83.2,357,86,30,23,3,35,0,1,2,1,55,"11378"
"Anthony Ranaudo","TEX","AAA",26,7,6,3.190909478211253,19,19,2,0,0,0,,110,437,98,43,39,15,15,0,5,2,0,83,"11424"
"A.J. Cole","WSN","AAA",24,8,8,4.259358636324358,22,22,2,0,0,0,,124.2,532,131,64,59,16,35,1,1,9,0,109,"11467"
"Zach Lee","LAD","AAA",24,7,14,6.141892525120557,27,27,0,0,0,0,,148,664,193,111,101,22,39,0,4,9,1,107,"11468"
"Dayan Diaz","CIN","AAA",27,7,1,3.0535714285714284,40,1,0,0,1,2,,56,230,52,20,19,2,16,1,0,1,0,46,"11543"
"Deck McGuire","STL","AAA",27,7,11,5.104477611940299,26,26,1,1,0,0,,134,569,134,79,76,22,50,4,5,6,1,111,"11596"
"Toru Murata","CLE","AAA",31,9,4,3.7817591456191044,33,10,0,0,4,0,,102.1,422,102,47,43,7,24,1,3,5,0,62,"11652"
"Jameson Taillon","PIT","AAA",24,4,2,2.0432430747166754,10,10,0,0,0,0,,61.2,236,44,14,14,2,6,0,1,1,0,61,"11674"
"Nick Tepesch","KCR","AAA",27,8,4,3.9568970071575404,22,19,0,0,0,0,,116,488,121,56,51,7,28,0,7,3,0,62,"11716"
"Justin Nicolino","MIA","AAA",24,7,6,4.129411764705883,14,14,0,0,0,0,,85,345,87,43,39,10,13,0,0,4,0,49,"11754"
"James Paxton","SEA","AAA",27,4,3,3.730262783425704,11,11,0,0,0,0,,50.2,204,43,24,21,6,15,0,0,4,0,53,"11828"
"Scott McGough","BAL","AAA",26,2,4,5.185429587520565,28,2,0,0,0,0,,50.1,224,56,31,29,5,22,0,3,2,1,37,"12056"
"Parker Markel","TBR","AAA",25,5,3,2.5219778105366624,34,1,0,0,0,1,,60.2,260,56,19,17,1,24,0,7,7,1,47,"12106"
"Kendry Flores","MIA","AAA",24,3,6,4.532846967758233,18,16,0,0,0,0,,91.1,409,103,51,46,8,39,1,6,4,1,74,"12118"
"David Goforth","MIL","AAA",27,3,4,4.909091395498637,42,0,0,0,2,3,,51.1,238,56,30,28,3,35,2,2,8,1,38,"12166"
"Cody Martin","SEA","AAA",26,10,7,3.6209914147287003,25,20,0,0,0,0,,114.1,469,106,48,46,6,33,0,5,4,0,114,"12182"
"Ryan Sherriff","STL","AAA",26,7,1,2.8350004325867357,49,0,0,0,3,3,,66.2,288,66,27,21,4,23,1,0,0,1,55,"12249"
"Leonel Campos","SDP","AAA",28,2,1,4.32,37,0,0,0,1,1,,50,218,47,25,24,2,30,0,0,13,0,62,"12277"
"Seth Lugo","NYM","AAA",26,3,4,6.504545905688609,21,14,0,0,0,0,,73.1,341,103,63,53,10,20,0,1,4,0,62,"12447"
"Chasen Bradford","NYM","AAA",26,5,3,4.796955057824623,56,0,0,0,5,1,,65.2,292,84,39,35,5,13,1,1,3,0,54,"12452"
"Drew Rucinski","CHC","AAA",27,7,15,5.922580645161291,28,28,0,0,0,0,,155,682,187,108,102,16,43,1,5,7,0,116,"12499"
"Taylor Hill","WSN","AAA",27,6,13,4.5969830609672195,27,27,1,0,0,0,,154.2,659,168,83,79,19,38,0,3,1,0,97,"12515"
