Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Logan Bawcom","LAD","AAA",27,89,6.977528089887641,3.235955056179775,2.15625,0.5056179775280899,0.1890411,0.08767123,0.10136986,0.21212121,1.146067415730337,0.25390625,0.78571429,1.9213483146067416,4.080431737792626,-2.1590834231858844,4.769895099974081,"sa549287"
"Chad Rogers","CIN","AAA",26,62.1,7.941175417616733,3.6096251898257874,2.2,1.2994650683372835,0.20599251,0.09363296,0.11235955,0.24267782,1.3315506255801794,0.28,0.70844687,4.76470525057004,4.629124460081548,0.1355807904884916,3.9732437528808315,"sa549784"
"Aaron Kurcz","OAK","AAA",25,54,7.166666666666667,2.8333333333333335,2.52941176,0.3333333333333333,0.19111111,0.07555556,0.11555556,0.22222222,1.1666666666666667,0.27160494,0.60457516,3.5,3.609770064883762,-0.10977006488376206,4.888891211179672,"sa549903"
"Corey Littrell","STL","AAA",24,51.1,8.590909942122614,5.084416088195017,1.68965517,0.8766234634818995,0.20502092,0.12133891,0.08368201,0.24757282,1.55844171285671,0.30263158,0.7012987,4.558442010105877,5.006595589101659,-0.44815357899578157,5.053216261088764,"sa550166"
"Bryan Rodriguez","SDP","AAA",24,86.1,5.316602629825939,2.710424870107341,1.96153846,1.042471103887439,0.13492063,0.06878307,0.06613757,0.30769231,1.5521236435657424,0.33793103,0.68595041,5.108108409048451,4.983429512925215,0.12467889612323546,4.439468588121006,"sa550590"
"Austin Ross","MIL","AAA",27,71.2,9.920931640757239,2.888372503005272,3.43478261,1.004651305393138,0.26072607,0.07590759,0.18481848,0.23465704,1.2279071510360577,0.3,0.73934837,3.8930238083984103,4.055764944459252,-0.16274113606084173,3.628933866369995,"sa553380"
"Terance Marin","CHW","AAA",26,110,4.827272727272727,2.7818181818181817,1.73529412,1.0636363636363637,0.12742981,0.07343413,0.05399568,0.27570093,1.3818181818181818,0.29494382,0.70474777,4.663636363636364,4.587413423711603,0.0762229399247607,3.9544558227062225,"sa556821"
"Will Roberts","CLE","AAA",25,88,4.295454545454546,3.8863636363636362,1.10526316,1.2272727272727273,0.11140584,0.10079576,0.01061008,0.26488095,1.4431818181818181,0.27304965,0.74204947,4.704545454545454,5.385140696438876,-0.680595241893422,5.005965286764232,"sa577696"
"Will Lamb","CHW","AAA",25,54.1,6.957055865989251,4.472393056707376,1.55555556,1.4907976855691252,0.17355372,0.11157025,0.06198347,0.25821596,1.5092025952675094,0.28395062,0.71428571,5.466258180420126,5.377820769335897,0.08843741108422876,4.566996742584909,"sa577799"
"Matt Crouse","DET","AAA",25,93.1,5.496428870960174,3.18214303055589,1.72727273,0.6750000367845828,0.14467005,0.08375635,0.06091371,0.25633803,1.3285715009728296,0.28865979,0.73211314,3.6642859139734494,4.1763745175575755,-0.5120886035841261,4.549275564038595,"sa577832"
"Jordan Pries","SEA","AAA",26,71.1,7.0654197420988645,3.785046290410106,1.86666667,0.8831774677623581,0.18006431,0.09646302,0.08360129,0.25806452,1.4299063763771511,0.30092593,0.70063694,4.668223758172465,4.772282923331014,-0.1040591651585494,5.048694908599288,"sa577935"
"Chris Jensen","OAK","AAA",25,59.2,4.675977255029326,3.3184354713111346,1.40909091,1.2067038077495036,0.12252964,0.08695652,0.03557312,0.25991189,1.3575417837181916,0.2712766,0.66395664,4.525139279060638,5.732054188910713,-1.2069149098500747,5.340397403253139,"sa579619"
"Matt Flemer","COL","AAA",25,96.1,5.885813459551509,2.2422146512577177,2.625,1.1211073256288588,0.15829146,0.06030151,0.09798995,0.25876011,1.2456748062542875,0.28378378,0.77212806,3.7370244187628625,4.873130371780089,-1.1361059530172266,5.290040427916556,"sa580429"
"Jeff Johnson","CLE","AAA",26,53.1,9.618750917315571,4.050000386238135,2.375,0.5062500482797668,0.2489083,0.10480349,0.1441048,0.22277228,1.2937501233816264,0.29577465,0.73746313,2.8687502735853454,3.281731616258623,-0.4129813426732776,3.383008730309809,"sa598064"
"Clayton Blackburn","SFG","AAA",23,136.1,6.667481165096877,2.3105132750335713,2.88571429,1.1882639700172652,0.17294521,0.05993151,0.1130137,0.26151013,1.2982884116855304,0.29245283,0.67807351,4.356967890063306,4.857800406566948,-0.5008325165036425,4.474335407191564,"sa598302"
"Greg Nappo","MIA","AAA",27,68,7.9411764705882355,4.367647058823529,1.81818182,1.3235294117647058,0.19543974,0.10749186,0.08794788,0.25650558,1.5,0.29648241,0.75268817,4.632352941176471,5.544410587759579,-0.9120576465831078,5.119260461102514,"sa599112"
"Josh Martin","CLE","AAA",26,66,8.181818181818182,3.1363636363636362,2.60869565,0.5454545454545454,0.2166065,0.08303249,0.13357401,0.228,1.2121212121212122,0.28494624,0.73979592,3.409090909090909,3.366201302499482,0.04288960659142704,3.4913392524827613,"sa599246"
"Christian Binford","KCR","AAA",23,105.2,6.217666213716449,3.4069403910775065,1.825,1.533123175984878,0.15466102,0.08474576,0.06991525,0.2759434,1.4858045594421347,0.2972973,0.70815451,5.280757606170135,5.916464983578155,-0.6357073774080204,5.603936242549426,"sa599309"
"Tucker Healy","OAK","AAA",26,52.1,13.070064964543722,4.47133801418601,2.92307692,0.5159236170214627,0.34545455,0.11818182,0.22727273,0.19689119,1.2229300551619857,0.30701754,0.65789474,3.611465319150239,3.1094161484138803,0.5020491707363588,3.5369820136161425,"sa621510"
"Kurt Heyer","STL","AAA",25,72,6.125,2.875,2.13043478,0.75,0.15217391,0.07142857,0.08074534,0.31081081,1.5972222222222223,0.35684647,0.59306569,6.125,4.5264367315504295,1.5985632684495705,4.796984532868697,"sa621615"
